accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001415889-24-013074,2024-05-13,2024-05-09,2024-05-13T20:50:55.000Z,,4,,,,6716,0,0,xslF345X05/form4-05142024_120546.xml,
0001415889-24-013073,2024-05-13,2024-05-09,2024-05-13T20:49:54.000Z,,4,,,,5050,0,0,xslF345X05/form4-05142024_120544.xml,
0001415889-24-013069,2024-05-13,2024-05-09,2024-05-13T18:58:42.000Z,,4,,,,12257,0,0,xslF345X05/form4-05132024_100534.xml,
0001415889-24-013068,2024-05-13,2024-05-09,2024-05-13T18:56:17.000Z,,4,,,,6719,0,0,xslF345X05/form4-05132024_100510.xml,
0001415889-24-013067,2024-05-13,2024-05-09,2024-05-13T18:54:53.000Z,,4,,,,6690,0,0,xslF345X05/form4-05132024_100547.xml,
0001415889-24-013066,2024-05-13,2024-05-09,2024-05-13T18:53:34.000Z,,4,,,,5037,0,0,xslF345X05/form4-05132024_100528.xml,
0001415889-24-013065,2024-05-13,2024-05-09,2024-05-13T18:51:40.000Z,,4,,,,6415,0,0,xslF345X05/form4-05132024_100534.xml,
0001415889-24-013064,2024-05-13,2024-05-09,2024-05-13T18:49:30.000Z,,4,,,,5038,0,0,xslF345X05/form4-05132024_100508.xml,
0000947484-24-000077,2024-05-13,2024-05-09,2024-05-13T16:03:37.000Z,34,8-K,001-16209,24938922,"5.07,8.01,9.01",257350,1,1,acgl-20240509.htm,8-K
0000947484-24-000074,2024-05-09,2024-03-31,2024-05-09T16:24:07.000Z,34,13F-HR,028-20964,24931097,,5964,0,0,xslForm13F_X02/primary_doc.xml,
0000947484-24-000073,2024-05-09,2024-03-31,2024-05-09T16:22:50.000Z,34,10-Q,001-16209,24931083,,13344735,1,1,acgl-20240331.htm,10-Q
0001415889-24-012506,2024-05-07,2024-05-06,2024-05-07T18:20:27.000Z,,4,,,,5310,0,0,xslF345X05/form4-05072024_100521.xml,
0001921094-24-000577,2024-05-06,,2024-05-06T16:27:59.000Z,33,144,001-16209,24917946,,5089,0,0,xsl144X01/primary_doc.xml,
0000947484-24-000063,2024-05-01,2024-05-01,2024-05-01T08:30:02.000Z,34,8-K,001-16209,24900203,7.01,199346,1,1,acgl-20240501.htm,8-K
0000947484-24-000060,2024-04-29,2024-04-29,2024-04-29T16:13:07.000Z,34,8-K,001-16209,24890919,"2.02,9.01",3491869,1,1,acgl-20240429.htm,8-K
0000947484-24-000055,2024-04-05,2024-04-05,2024-04-05T09:17:50.000Z,34,8-K,001-16209,24824913,"1.01,7.01,9.01",2922378,1,1,acgl-20240405.htm,8-K
0000947484-24-000039,2024-03-28,2023-12-31,2024-03-28T07:23:11.000Z,34,ARS,001-16209,24793503,,34559823,0,0,arch-acgl_ar2023xfinal.pdf,ARS
0000947484-24-000037,2024-03-28,,2024-03-28T07:20:45.000Z,34,DEFA14A,001-16209,24793495,,345585,0,0,a2024defa14anotice.htm,DEFA14A
0000947484-24-000035,2024-03-28,2024-05-09,2024-03-28T07:18:48.000Z,34,DEF 14A,001-16209,24793489,,11104471,1,1,acgl-20240327.htm,DEF 14A
0000947484-24-000033,2024-03-28,2024-03-28,2024-03-28T07:13:26.000Z,34,8-K,001-16209,24793474,5.02,197745,1,1,acgl-20240328.htm,8-K
0001415889-24-007701,2024-03-12,2024-03-11,2024-03-12T18:12:05.000Z,,4,,,,9215,0,0,xslF345X05/form4-03122024_100358.xml,
0001415889-24-007394,2024-03-08,2024-03-07,2024-03-08T17:47:37.000Z,,4,,,,5348,0,0,xslF345X05/form4-03082024_100327.xml,
0001415889-24-007200,2024-03-07,2024-03-05,2024-03-07T17:24:06.000Z,,4,,,,5295,0,0,xslF345X05/form4-03072024_100359.xml,
0001415889-24-007199,2024-03-07,2024-03-05,2024-03-07T17:21:40.000Z,,4,,,,15016,0,0,xslF345X05/form4-03072024_100333.xml,
0001921094-24-000346,2024-03-07,,2024-03-07T16:14:57.000Z,33,144,001-16209,24730275,,5134,0,0,xsl144X01/primary_doc.xml,
0001921094-24-000345,2024-03-07,,2024-03-07T16:14:14.000Z,33,144,001-16209,24730261,,5136,0,0,xsl144X01/primary_doc.xml,
0001415889-24-007031,2024-03-06,2024-03-04,2024-03-06T16:25:30.000Z,,4,,,,4905,0,0,xslF345X05/form4-03062024_090319.xml,
0001415889-24-007026,2024-03-06,2024-03-04,2024-03-06T16:23:25.000Z,,4,,,,5649,0,0,xslF345X05/form4-03062024_090313.xml,
0001921094-24-000323,2024-03-05,,2024-03-05T17:19:15.000Z,33,144,001-16209,24722348,,6242,0,0,xsl144X01/primary_doc.xml,
0001415889-24-005906,2024-02-29,2024-02-27,2024-02-29T16:42:30.000Z,,4,,,,9502,0,0,xslF345X05/form4-02292024_090213.xml,
0001415889-24-005902,2024-02-29,2024-02-27,2024-02-29T16:39:39.000Z,,4,,,,7312,0,0,xslF345X05/form4-02292024_090231.xml,
0001415889-24-005900,2024-02-29,2024-02-27,2024-02-29T16:37:56.000Z,,4,,,,9485,0,0,xslF345X05/form4-02292024_090250.xml,
0001415889-24-005897,2024-02-29,2024-02-27,2024-02-29T16:35:51.000Z,,4,,,,9720,0,0,xslF345X05/form4-02292024_090228.xml,
0001415889-24-005894,2024-02-29,2024-02-27,2024-02-29T16:33:28.000Z,,4,,,,8263,0,0,xslF345X05/form4-02292024_090218.xml,
0001415889-24-005891,2024-02-29,2024-02-27,2024-02-29T16:31:22.000Z,,4,,,,7350,0,0,xslF345X05/form4-02292024_090215.xml,
0001415889-24-005887,2024-02-29,2024-02-27,2024-02-29T16:27:40.000Z,,4,,,,8053,0,0,xslF345X05/form4-02292024_090220.xml,
0001415889-24-005536,2024-02-27,2024-02-23,2024-02-27T17:03:02.000Z,,4,,,,4939,0,0,xslF345X05/form4-02272024_100231.xml,
0001415889-24-005534,2024-02-27,2024-02-23,2024-02-27T17:01:28.000Z,,4,,,,5147,0,0,xslF345X05/form4-02272024_100219.xml,
0001415889-24-005531,2024-02-27,2024-02-23,2024-02-27T17:00:24.000Z,,4,,,,5650,0,0,xslF345X05/form4-02272024_100212.xml,
0001415889-24-005524,2024-02-27,2024-02-23,2024-02-27T16:58:53.000Z,,4,,,,5130,0,0,xslF345X05/form4-02272024_090241.xml,
0001415889-24-005520,2024-02-27,2024-02-23,2024-02-27T16:56:01.000Z,,4,,,,9404,0,0,xslF345X05/form4-02272024_090254.xml,
0001415889-24-005503,2024-02-27,2024-02-23,2024-02-27T16:43:25.000Z,,4,,,,12204,0,0,xslF345X05/form4-02272024_090207.xml,
0000947484-24-000022,2024-02-23,2024-02-23,2024-02-23T15:15:50.000Z,34,8-K,001-16209,24670713,8.01,211690,1,1,acgl-20240223.htm,8-K
0000947484-24-000020,2024-02-23,2023-12-31,2024-02-23T15:13:41.000Z,34,10-K,001-16209,24670709,,36207580,1,1,acgl-20231231.htm,10-K
0000947484-24-000012,2024-02-15,2024-02-15,2024-02-15T14:27:23.000Z,34,8-K,001-16209,24643270,7.01,201570,1,1,acgl-20240215.htm,8-K
0000947484-24-000009,2024-02-14,2023-12-31,2024-02-14T16:17:29.000Z,34,13F-HR,028-20964,24638553,,5549,0,0,xslForm13F_X02/primary_doc.xml,
0000947484-24-000007,2024-02-14,2024-02-14,2024-02-14T16:13:46.000Z,34,8-K,001-16209,24638295,"2.02,9.01",3995064,1,1,acgl-20240214.htm,8-K
0001567619-24-000200,2024-02-14,,2024-02-14T09:29:03.000Z,34,SC 13G/A,005-45257,24633112,,113428,0,0,doc1.htm,NONE
0001104659-24-020316,2024-02-13,,2024-02-13T16:58:53.000Z,34,SC 13G/A,005-45257,24627385,,13388,0,0,tv0319-archcapitalgroupltd.htm,SCHEDULE 13G/A
0001193125-24-030917,2024-02-12,,2024-02-12T06:12:58.000Z,34,SC 13G/A,005-45257,24617267,,109614,0,0,d754018dsc13ga.htm,SC 13G/A
0001422848-24-000190,2024-02-09,,2024-02-09T18:14:14.000Z,34,SC 13G/A,005-45257,24616738,,18634,0,0,SEC13G_Filing.htm,SEC SCHEDULE 13G
