accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001959173-24-003845,2024-05-23,,2024-05-23T16:12:01.000Z,33,144,001-07434,24978330,,4254,0,0,xsl144X01/primary_doc.xml,
0000004977-24-000125,2024-05-23,2024-05-21,2024-05-23T09:27:27.000Z,,4,,,,9137,0,0,xslF345X05/wk-form4_1716470836.xml,FORM 4
0001959173-24-003762,2024-05-21,,2024-05-21T12:29:10.000Z,33,144,001-07434,24968031,,4282,0,0,xsl144X01/primary_doc.xml,
0000004977-24-000123,2024-05-10,2024-05-08,2024-05-10T09:19:17.000Z,,4,,,,4684,0,0,xslF345X05/wk-form4_1715347148.xml,FORM 4
0000004977-24-000121,2024-05-10,2024-05-06,2024-05-09T17:39:36.000Z,34,8-K,001-07434,24932138,5.07,282487,1,1,afl-20240506.htm,8-K
0000004977-24-000118,2024-05-08,2024-05-06,2024-05-08T16:49:17.000Z,,4,,,,4622,0,0,xslF345X05/wk-form4_1715201345.xml,FORM 4
0000004977-24-000116,2024-05-08,2024-05-06,2024-05-08T16:41:48.000Z,,4,,,,5991,0,0,xslF345X05/wk-form4_1715200894.xml,FORM 4
0000004977-24-000114,2024-05-08,2024-05-06,2024-05-08T16:28:55.000Z,,4,,,,4639,0,0,xslF345X05/wk-form4_1715200111.xml,FORM 4
0000004977-24-000112,2024-05-08,2024-05-06,2024-05-08T16:21:17.000Z,,4,,,,4667,0,0,xslF345X05/wk-form4_1715199648.xml,FORM 4
0001959173-24-003336,2024-05-08,,2024-05-08T09:56:57.000Z,33,144,001-07434,24924570,,4960,0,0,xsl144X01/primary_doc.xml,
0000004977-24-000106,2024-05-08,2024-05-06,2024-05-08T09:24:50.000Z,,4,,,,4649,0,0,xslF345X05/wk-form4_1715174680.xml,FORM 4
0000004977-24-000104,2024-05-08,2024-05-06,2024-05-08T09:17:39.000Z,,4,,,,4656,0,0,xslF345X05/wk-form4_1715174250.xml,FORM 4
0000004977-24-000102,2024-05-08,2024-05-06,2024-05-08T09:09:52.000Z,,4,,,,4811,0,0,xslF345X05/wk-form4_1715173781.xml,FORM 4
0000004977-24-000100,2024-05-08,2024-05-06,2024-05-08T09:00:25.000Z,,4,,,,4623,0,0,xslF345X05/wk-form4_1715173212.xml,FORM 4
0000004977-24-000098,2024-05-08,2024-05-06,2024-05-08T08:53:48.000Z,,4,,,,4626,0,0,xslF345X05/wk-form4_1715172818.xml,FORM 4
0000004977-24-000096,2024-05-03,2024-05-01,2024-05-03T16:59:12.000Z,,4,,,,4438,0,0,xslF345X05/wk-form4_1714769939.xml,FORM 4
0000004977-24-000094,2024-05-03,2024-05-01,2024-05-03T16:47:00.000Z,,4,,,,4435,0,0,xslF345X05/wk-form4_1714769205.xml,FORM 4
0000004977-24-000092,2024-05-03,2022-09-23,2024-05-03T16:37:38.000Z,,4,,,,8719,0,0,xslF345X05/wk-form4_1714768644.xml,FORM 4
0000004977-24-000088,2024-05-02,2024-03-31,2024-05-02T11:39:13.000Z,34,13F-HR,028-22437,24906417,,5692,0,0,xslForm13F_X02/primary_doc.xml,
0000004977-24-000086,2024-05-02,2024-03-31,2024-05-02T11:24:13.000Z,34,10-Q,001-07434,24906351,,31394781,1,1,afl-20240331.htm,10-Q
0000004977-24-000082,2024-05-01,2024-05-01,2024-05-01T16:30:39.000Z,34,8-K,001-07434,24903525,"2.02,9.01",6161731,1,1,afl-20240501.htm,8-K
0000004977-24-000080,2024-05-01,2024-04-29,2024-05-01T09:27:19.000Z,,4,,,,4498,0,0,xslF345X05/wk-form4_1714570029.xml,FORM 4
0000004977-24-000077,2024-03-27,2024-03-25,2024-03-27T09:22:59.000Z,,4,,,,4522,0,0,xslF345X05/wk-form4_1711545771.xml,FORM 4
0001959173-24-002610,2024-03-25,,2024-03-25T16:31:18.000Z,33,144,001-07434,24779624,,4437,0,0,xsl144X01/primary_doc.xml,
0001959173-24-002608,2024-03-25,,2024-03-25T16:26:26.000Z,33,144,001-07434,24779553,,4260,0,0,xsl144X01/primary_doc.xml,
0000004977-24-000074,2024-03-22,2024-03-20,2024-03-22T09:18:07.000Z,,4,,,,4625,0,0,xslF345X05/wk-form4_1711113477.xml,FORM 4
0001104659-24-037265,2024-03-21,2024-03-19,2024-03-21T16:05:17.000Z,34,8-K,001-07434,24771285,"8.01,9.01",1086714,1,1,tm249340d1_8k.htm,FORM 8-K
0000004977-24-000072,2024-03-21,2023-12-31,2024-03-21T09:50:45.000Z,34,ARS,001-07434,24769797,,11761398,0,0,afl12312310kars.pdf,ARS
0000004977-24-000070,2024-03-21,,2024-03-21T09:48:42.000Z,34,DEFA14A,001-07434,24769793,,1898558,0,0,aflacdefa2024.htm,DEFA14A
0000004977-24-000068,2024-03-21,2024-05-06,2024-03-21T09:47:00.000Z,34,DEF 14A,001-07434,24769790,,93982555,1,1,afl-20240320.htm,DEF 14A
0001959173-24-002512,2024-03-20,,2024-03-20T13:22:13.000Z,33,144,001-07434,24767242,,4972,0,0,xsl144X01/primary_doc.xml,
0000004977-24-000060,2024-03-15,2024-03-14,2024-03-15T17:26:34.000Z,,4,,,,4501,0,0,xslF345X05/wk-form4_1710537984.xml,FORM 4
0001104659-24-034704,2024-03-15,,2024-03-15T06:04:14.000Z,33,424B2,333-259379,24752365,,632066,0,0,tm248389-2_424b2.htm,424B2
0001959173-24-002343,2024-03-14,,2024-03-14T12:46:32.000Z,33,144,001-07434,24748787,,4267,0,0,xsl144X01/primary_doc.xml,
0001104659-24-034135,2024-03-14,,2024-03-14T06:02:15.000Z,34,FWP,333-259379,24747797,,61809,0,0,tm248389d3_fwp.htm,FWP
0001959173-24-002175,2024-03-11,,2024-03-11T11:27:05.000Z,33,144,001-07434,24737050,,4258,0,0,xsl144X01/primary_doc.xml,
0001104659-24-032791,2024-03-11,,2024-03-11T09:24:48.000Z,33,424B5,333-259379,24736755,,580183,0,0,tm248389-1_424b5.htm,424B5
0000004977-24-000057,2024-02-23,2024-02-22,2024-02-23T17:28:24.000Z,,4,,,,4464,0,0,xslF345X05/wk-form4_1708727284.xml,FORM 4
0000004977-24-000055,2024-02-22,2024-02-21,2024-02-22T17:25:13.000Z,,4,,,,7382,0,0,xslF345X05/wk-form4_1708640701.xml,FORM 4
0001968582-24-000128,2024-02-22,,2024-02-22T16:05:24.000Z,33,144,001-07434,24664662,,4288,0,0,xsl144X01/primary_doc.xml,
0000004977-24-000053,2024-02-22,2023-12-31,2024-02-22T14:34:09.000Z,34,10-K,001-07434,24664211,,52167985,1,1,afl-20231231.htm,10-K
0000004977-24-000050,2024-02-20,2024-02-15,2024-02-20T16:59:46.000Z,,4,,,,8940,0,0,xslF345X05/wk-form4_1708466366.xml,FORM 4
0000004977-24-000048,2024-02-20,2024-02-15,2024-02-20T16:44:41.000Z,,4,,,,7436,0,0,xslF345X05/wk-form4_1708465458.xml,FORM 4
0000004977-24-000045,2024-02-20,2024-02-15,2024-02-20T09:30:11.000Z,,4,,,,6051,0,0,xslF345X05/wk-form4_1708439400.xml,FORM 4
