accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000005272-24-000055,2024-05-17,2024-05-15,2024-05-17T17:16:22.000Z,34,8-K,001-08787,24961341,"5.03,5.07,9.01",403993,1,1,aig-20240515.htm,8-K
0001225208-24-006198,2024-05-17,2024-05-15,2024-05-17T16:33:44.000Z,,4,,,,6191,0,0,xslF345X05/doc4.xml,
0001225208-24-006197,2024-05-17,2024-05-15,2024-05-17T16:33:32.000Z,,4,,,,6147,0,0,xslF345X05/doc4.xml,
0001225208-24-006193,2024-05-17,2024-05-15,2024-05-17T16:33:28.000Z,,4,,,,6136,0,0,xslF345X05/doc4.xml,
0001225208-24-006196,2024-05-17,2024-05-15,2024-05-17T16:33:20.000Z,,4,,,,6162,0,0,xslF345X05/doc4.xml,
0001225208-24-006192,2024-05-17,2024-05-15,2024-05-17T16:33:18.000Z,,4,,,,6159,0,0,xslF345X05/doc4.xml,
0001225208-24-006195,2024-05-17,2024-05-15,2024-05-17T16:33:16.000Z,,4,,,,6116,0,0,xslF345X05/doc4.xml,
0001225208-24-006194,2024-05-17,2024-05-15,2024-05-17T16:33:11.000Z,,4,,,,6142,0,0,xslF345X05/doc4.xml,
0001225208-24-006190,2024-05-17,2024-05-15,2024-05-17T16:33:06.000Z,,4,,,,6178,0,0,xslF345X05/doc4.xml,
0001225208-24-006191,2024-05-17,2024-05-15,2024-05-17T16:33:00.000Z,,4,,,,6208,0,0,xslF345X05/doc4.xml,
0001104659-24-062171,2024-05-16,2024-05-16,2024-05-16T06:01:33.000Z,34,8-K,001-08787,24953449,"1.01,8.01,9.01",748536,1,1,tm2414457d1_8k.htm,FORM 8-K
0001104659-24-060668,2024-05-13,2024-03-31,2024-05-13T17:13:28.000Z,34,13F-HR,028-00219,24940288,,1494724,0,0,xslForm13F_X02/primary_doc.xml,
0000005272-24-000051,2024-05-02,2024-03-31,2024-05-02T15:04:33.000Z,34,10-Q,001-08787,24907526,,38705333,1,1,aig-20240331.htm,10-Q
0000005272-24-000047,2024-05-01,2024-05-01,2024-05-01T16:23:23.000Z,34,8-K,001-08787,24903396,"2.02,8.01,9.01",1026351,1,1,aig-20240501.htm,8-K
0000005272-24-000040,2024-04-22,2024-04-22,2024-04-22T16:24:22.000Z,34,8-K,001-08787,24861479,5.02,191898,1,1,aig-20240422.htm,8-K
0001225208-24-004882,2024-04-03,2024-04-01,2024-04-03T16:31:52.000Z,,4,,,,12546,0,0,xslF345X05/doc4.xml,
0001225208-24-004881,2024-04-03,2024-04-01,2024-04-03T16:31:49.000Z,,4,,,,12480,0,0,xslF345X05/doc4.xml,
0001225208-24-004880,2024-04-03,2024-04-01,2024-04-03T16:31:43.000Z,,4,,,,9857,0,0,xslF345X05/doc4.xml,
0001225208-24-004879,2024-04-03,2024-04-01,2024-04-03T16:31:41.000Z,,4,,,,9794,0,0,xslF345X05/doc4.xml,
0001225208-24-004878,2024-04-03,2024-04-01,2024-04-03T16:31:38.000Z,,4,,,,9820,0,0,xslF345X05/doc4.xml,
0001225208-24-004877,2024-04-03,2024-04-01,2024-04-03T16:31:33.000Z,,4,,,,6046,0,0,xslF345X05/doc4.xml,
0001225208-24-004876,2024-04-03,2024-04-01,2024-04-03T16:31:29.000Z,,4,,,,9808,0,0,xslF345X05/doc4.xml,
0001225208-24-004875,2024-04-03,2024-04-01,2024-04-03T16:31:29.000Z,,4,,,,9828,0,0,xslF345X05/doc4.xml,
0001225208-24-004874,2024-04-03,2024-04-01,2024-04-03T16:31:26.000Z,,4,,,,9853,0,0,xslF345X05/doc4.xml,
0001225208-24-004873,2024-04-03,2024-04-01,2024-04-03T16:31:23.000Z,,4,,,,9823,0,0,xslF345X05/doc4.xml,
0000005272-24-000036,2024-04-02,,2024-04-02T16:14:49.000Z,34,DEFA14A,001-08787,24814363,,2811394,0,0,a2024defa14a.htm,DEFA14A
0000005272-24-000034,2024-04-02,2024-05-15,2024-04-02T16:13:24.000Z,34,DEF 14A,001-08787,24814349,,51638092,1,1,aig-20240402.htm,DEF 14A
0000005272-24-000032,2024-04-02,2023-12-31,2024-04-02T16:05:37.000Z,34,ARS,001-08787,24814175,,9882439,0,0,aig001_arx2023xflattened.pdf,ARS
0001225208-24-004632,2024-03-29,2024-03-28,2024-03-29T16:31:00.000Z,,4,,,,5794,0,0,xslF345X05/doc4.xml,
0001225208-24-004286,2024-03-18,2024-03-14,2024-03-18T16:36:23.000Z,,4,,,,4495,0,0,xslF345X05/doc4.xml,
0001225208-24-004285,2024-03-18,2024-03-15,2024-03-18T16:36:19.000Z,,4,,,,10850,0,0,xslF345X05/doc4.xml,
0001973141-24-000181,2024-03-15,,2024-03-15T16:05:00.000Z,33,144,001-08787,24754657,,4760,0,0,xsl144X01/primary_doc.xml,
0000876661-24-000173,2024-03-15,,2024-03-15T13:40:50.000Z,34,25-NSE,001-08787,24753739,,4221,0,0,xslF25X02/primary_doc.xml,
0001225208-24-003611,2024-03-05,2024-03-01,2024-03-05T16:32:26.000Z,,4,,,,5974,0,0,xslF345X05/doc4.xml,
0001225208-24-003610,2024-03-05,2024-03-01,2024-03-05T16:31:07.000Z,,3,,,,6863,0,0,xslF345X02/doc3.xml,
0001225208-24-003289,2024-02-29,2024-02-27,2024-02-29T16:23:01.000Z,,4,,,,4910,0,0,xslF345X05/doc4.xml,
0001225208-24-003288,2024-02-29,2024-02-27,2024-02-29T16:22:55.000Z,,4,,,,4938,0,0,xslF345X05/doc4.xml,
0001225208-24-003287,2024-02-29,2024-02-27,2024-02-29T16:22:50.000Z,,4,,,,4967,0,0,xslF345X05/doc4.xml,
0001225208-24-003286,2024-02-29,2024-02-27,2024-02-29T16:22:39.000Z,,4,,,,4966,0,0,xslF345X05/doc4.xml,
0001225208-24-003283,2024-02-29,2024-02-27,2024-02-29T16:22:36.000Z,,4,,,,4963,0,0,xslF345X05/doc4.xml,
0001225208-24-003285,2024-02-29,2024-02-27,2024-02-29T16:22:34.000Z,,4,,,,4947,0,0,xslF345X05/doc4.xml,
0001225208-24-003284,2024-02-29,2024-02-27,2024-02-29T16:22:28.000Z,,4,,,,4915,0,0,xslF345X05/doc4.xml,
0001225208-24-003282,2024-02-29,2024-02-27,2024-02-29T16:22:26.000Z,,4,,,,4825,0,0,xslF345X05/doc4.xml,
0001225208-24-003281,2024-02-29,2024-02-27,2024-02-29T16:22:19.000Z,,4,,,,4886,0,0,xslF345X05/doc4.xml,
0001225208-24-003280,2024-02-29,2024-02-27,2024-02-29T16:22:14.000Z,,4,,,,4886,0,0,xslF345X05/doc4.xml,
0001225208-24-003278,2024-02-29,2024-02-27,2024-02-29T16:21:59.000Z,,4,,,,5637,0,0,xslF345X05/doc4.xml,
0001225208-24-003279,2024-02-29,2024-02-27,2024-02-29T16:21:57.000Z,,4,,,,4980,0,0,xslF345X05/doc4.xml,
0001225208-24-003277,2024-02-29,2024-02-27,2024-02-29T16:21:55.000Z,,4,,,,4825,0,0,xslF345X05/doc4.xml,
0001104659-24-028769,2024-02-28,2023-12-31,2024-02-28T16:39:03.000Z,34,13F-HR/A,028-00219,24696186,,1509727,0,0,xslForm13F_X02/primary_doc.xml,
0001225208-24-003097,2024-02-27,2024-02-26,2024-02-27T16:24:52.000Z,,4,,,,5022,0,0,xslF345X05/doc4.xml,
0001225208-24-003096,2024-02-27,2024-02-26,2024-02-27T16:24:45.000Z,,4,,,,5631,0,0,xslF345X05/doc4.xml,
0001225208-24-003095,2024-02-27,2024-02-26,2024-02-27T16:24:37.000Z,,4,,,,8657,0,0,xslF345X05/doc4.xml,
0001225208-24-002722,2024-02-22,2024-02-20,2024-02-22T16:31:29.000Z,,4,,,,18555,0,0,xslF345X05/doc4.xml,
0001225208-24-002720,2024-02-22,2024-02-20,2024-02-22T16:31:24.000Z,,4,,,,11121,0,0,xslF345X05/doc4.xml,
0001225208-24-002721,2024-02-22,2024-02-20,2024-02-22T16:31:20.000Z,,4,,,,11118,0,0,xslF345X05/doc4.xml,
0001225208-24-002719,2024-02-22,2024-02-20,2024-02-22T16:30:41.000Z,,4,,,,15106,0,0,xslF345X05/doc4.xml,
0001225208-24-002718,2024-02-22,2024-02-20,2024-02-22T16:30:35.000Z,,4,,,,18980,0,0,xslF345X05/doc4.xml,
0001225208-24-002717,2024-02-22,2024-02-20,2024-02-22T16:30:09.000Z,,4,,,,18950,0,0,xslF345X05/doc4.xml,
0001225208-24-002715,2024-02-22,2024-02-20,2024-02-22T16:30:08.000Z,,4,,,,18987,0,0,xslF345X05/doc4.xml,
0001225208-24-002714,2024-02-22,2024-02-20,2024-02-22T16:30:03.000Z,,4,,,,19003,0,0,xslF345X05/doc4.xml,
0001225208-24-002716,2024-02-22,2024-02-20,2024-02-22T16:29:58.000Z,,4,,,,18960,0,0,xslF345X05/doc4.xml,
0001225208-24-002713,2024-02-22,2024-02-20,2024-02-22T16:29:55.000Z,,4,,,,19614,0,0,xslF345X05/doc4.xml,
0001225208-24-002712,2024-02-22,2024-02-20,2024-02-22T16:29:46.000Z,,4,,,,18986,0,0,xslF345X05/doc4.xml,
0001225208-24-002711,2024-02-22,2024-02-20,2024-02-22T16:29:42.000Z,,4,,,,18926,0,0,xslF345X05/doc4.xml,
0001225208-24-002710,2024-02-22,2024-02-20,2024-02-22T16:29:38.000Z,,4,,,,13356,0,0,xslF345X05/doc4.xml,
0001225208-24-002709,2024-02-22,2024-02-20,2024-02-22T16:29:34.000Z,,4,,,,15109,0,0,xslF345X05/doc4.xml,
0001104659-24-024066,2024-02-14,,2024-02-14T17:26:53.000Z,33,S-3ASR,333-277075,24640761,,1950059,0,0,tm245813-1_s3asr.htm,S-3ASR
0000005272-24-000023,2024-02-14,2023-12-31,2024-02-14T15:48:01.000Z,34,10-K,001-08787,24637119,,80486395,1,1,aig-20231231.htm,10-K
0001104659-24-022368,2024-02-13,2023-12-31,2024-02-13T17:17:57.000Z,34,13F-HR,028-00219,24630028,,1508836,0,0,xslForm13F_X02/primary_doc.xml,
0001104659-24-022019,2024-02-13,,2024-02-13T17:14:10.000Z,,SC 13G/A,,,,53204,0,0,tm245791d2_sc13ga.htm,SC 13G/A
0001104659-24-021816,2024-02-13,,2024-02-13T17:13:06.000Z,,SC 13G/A,,,,42815,0,0,tm245791d1_sc13ga.htm,SC 13G/A
0001104659-24-020258,2024-02-13,,2024-02-13T16:58:48.000Z,34,SC 13G/A,005-36894,24627333,,13351,0,0,tv0261-americaninternational.htm,SCHEDULE 13G/A
