accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000950170-24-063564,2024-05-22,2024-05-20,2024-05-22T17:00:05.000Z,,4,,,,7046,0,0,xslF345X05/ownership.xml,4
0000950170-24-063031,2024-05-21,2024-05-18,2024-05-21T17:00:08.000Z,,4,,,,7723,0,0,xslF345X05/ownership.xml,4
0000950170-24-063030,2024-05-21,2024-05-17,2024-05-21T17:00:06.000Z,,4,,,,5111,0,0,xslF345X05/ownership.xml,4
0000950170-24-062516,2024-05-20,2024-05-16,2024-05-20T17:00:17.000Z,,4,,,,5322,0,0,xslF345X05/ownership.xml,4
0000950170-24-062515,2024-05-20,2024-05-16,2024-05-20T17:00:12.000Z,,4,,,,5175,0,0,xslF345X05/ownership.xml,4
0001963745-24-000025,2024-05-20,,2024-05-20T16:59:51.000Z,33,144,001-31978,24965483,,5401,0,0,xsl144X01/primary_doc.xml,
0001950047-24-003847,2024-05-17,,2024-05-17T16:15:42.000Z,33,144,001-31978,24959893,,5370,0,0,xsl144X01/primary_doc.xml,
0001950047-24-003809,2024-05-16,,2024-05-16T16:25:53.000Z,33,144,001-31978,24955979,,6010,0,0,xsl144X01/primary_doc.xml,
0001950047-24-003805,2024-05-16,,2024-05-16T16:24:43.000Z,33,144,001-31978,24955968,,4772,0,0,xsl144X01/primary_doc.xml,
0001267238-24-000026,2024-05-09,2024-03-31,2024-05-09T16:20:12.000Z,34,10-Q,001-31978,24931025,,10608437,1,1,aiz-20240331.htm,10-Q
0001267238-24-000023,2024-05-07,2024-05-07,2024-05-07T16:21:44.000Z,34,8-K,001-31978,24922313,"2.02,9.01",574934,1,1,aiz-20240507.htm,8-K
0001267238-24-000021,2024-04-04,,2024-04-04T16:29:51.000Z,34,DEFA14A,001-31978,24823482,,400223,0,0,fy23noticedefa14a.htm,DEFA14A
0001267238-24-000019,2024-04-04,2024-05-23,2024-04-04T16:26:32.000Z,34,DEF 14A,001-31978,24823454,,16652743,1,1,aiz-20240404.htm,DEF 14A
0001267238-24-000017,2024-04-04,2023-12-31,2024-04-04T16:16:03.000Z,34,ARS,001-31978,24823313,,3991151,0,0,aizannualreport2023.pdf,ARS
0000950170-24-041135,2024-04-03,2024-04-01,2024-04-03T16:33:37.000Z,,4,,,,4482,0,0,xslF345X05/ownership.xml,4
0000950170-24-033694,2024-03-19,2024-03-16,2024-03-19T17:35:31.000Z,,4,,,,11761,0,0,xslF345X05/ownership.xml,4
0000950170-24-033692,2024-03-19,2024-03-16,2024-03-19T17:34:55.000Z,,4,,,,14138,0,0,xslF345X05/ownership.xml,4
0000950170-24-033688,2024-03-19,2024-03-16,2024-03-19T17:34:26.000Z,,4,,,,13188,0,0,xslF345X05/ownership.xml,4
0000950170-24-033648,2024-03-19,2024-03-16,2024-03-19T17:09:42.000Z,,4,,,,11823,0,0,xslF345X05/ownership.xml,4
0000950170-24-033639,2024-03-19,2024-03-16,2024-03-19T17:03:59.000Z,,4,,,,12153,0,0,xslF345X05/ownership.xml,4
0000950170-24-033628,2024-03-19,2024-03-16,2024-03-19T17:00:58.000Z,,4,,,,11900,0,0,xslF345X05/ownership.xml,4
0000950170-24-033615,2024-03-19,2024-03-16,2024-03-19T16:58:33.000Z,,4,,,,11828,0,0,xslF345X05/ownership.xml,4
0000950170-24-033609,2024-03-19,2024-03-16,2024-03-19T16:56:01.000Z,,4,,,,11854,0,0,xslF345X05/ownership.xml,4
0000950170-24-033599,2024-03-19,2024-03-16,2024-03-19T16:51:28.000Z,,4,,,,12068,0,0,xslF345X05/ownership.xml,4
0001267238-24-000008,2024-02-15,2023-12-31,2024-02-15T16:55:44.000Z,34,10-K,001-31978,24644597,,31440439,1,1,aiz-20231231.htm,10-K
0001897612-24-001195,2024-02-14,,2024-02-14T10:04:36.000Z,34,SC 13G/A,005-80356,,,6552,0,0,aiz13gadec23.txt,
0001104659-24-020346,2024-02-13,,2024-02-13T16:58:54.000Z,34,SC 13G/A,005-80356,24627410,,13070,0,0,tv0349-assurantinc.htm,SCHEDULE 13G/A
0001390777-24-000042,2024-02-09,,2024-02-09T15:43:58.000Z,34,SC 13G/A,005-80356,24614500,,44105,0,0,Assurant13G_Filing_A.txt,
0000315066-24-001022,2024-02-09,,2024-02-09T08:35:54.000Z,34,SC 13G/A,005-80356,24611352,,8391,0,0,filing.txt,
0001950047-24-000744,2024-02-08,,2024-02-08T16:10:16.000Z,33,144,001-31978,24609168,,10225,0,0,xsl144X01/primary_doc.xml,
0001267238-24-000005,2024-02-06,2024-02-06,2024-02-06T16:15:32.000Z,34,8-K,001-31978,24600463,"2.02,9.01",651759,1,1,aiz-20240206.htm,8-K
0001963745-24-000005,2024-02-05,,2024-02-05T17:31:04.000Z,33,144,001-31978,24597001,,5007,0,0,xsl144X01/primary_doc.xml,
0000093751-24-000469,2024-01-30,,2024-01-30T14:53:16.000Z,34,SC 13G/A,005-80356,24577563,,8733,0,0,Assurant_Inc.txt,
0001086364-24-002240,2024-01-24,,2024-01-24T14:27:13.000Z,34,SC 13G/A,005-80356,24555800,,13870,0,0,us04621x1081_012424.txt,
0001390777-24-000018,2024-01-24,,2024-01-24T10:44:52.000Z,34,SC 13G,005-80356,24554927,,44708,0,0,Assurant13G_Filing.txt,
0001193125-24-012172,2024-01-22,,2024-01-22T16:16:20.000Z,33,S-3ASR,333-276645,24549030,,994972,0,0,d576640ds3asr.htm,S-3ASR
0001267238-24-000002,2024-01-19,2024-01-14,2024-01-19T16:14:53.000Z,34,8-K,001-31978,24545758,"5.02,9.01",199146,1,1,aiz-20240114.htm,8-K
0001209191-24-001450,2024-01-11,2024-01-01,2024-01-11T16:19:21.000Z,,3,,,,6764,0,0,xslF345X02/doc3.xml,FORM 3 SUBMISSION
0001209191-24-001448,2024-01-11,2024-01-01,2024-01-11T16:18:16.000Z,,3,,,,6676,0,0,xslF345X02/doc3.xml,FORM 3 SUBMISSION
0001209191-24-000834,2024-01-04,2024-01-02,2024-01-04T17:00:39.000Z,,4,,,,8070,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001950047-23-005429,2023-11-28,,2023-11-28T16:27:14.000Z,33,144,001-31978,231446820,,4807,0,0,xsl144X01/primary_doc.xml,
0001209191-23-056321,2023-11-21,2023-11-20,2023-11-21T17:00:32.000Z,,4,,,,7420,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-23-056091,2023-11-20,2023-11-16,2023-11-20T17:00:27.000Z,,4,,,,11903,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-23-056089,2023-11-20,2023-11-16,2023-11-20T17:00:10.000Z,,4,,,,7107,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001950047-23-005234,2023-11-20,,2023-11-20T16:53:35.000Z,33,144,001-31978,231423403,,7784,0,0,xsl144X01/primary_doc.xml,
0001950047-23-005175,2023-11-17,,2023-11-17T16:41:08.000Z,33,144,001-31978,231419421,,5300,0,0,xsl144X01/primary_doc.xml,
0001267238-23-000057,2023-11-15,2023-11-09,2023-11-15T08:03:58.000Z,34,8-K,001-31978,231409091,"5.02,7.01,9.01",248047,1,1,aiz-20231109.htm,8-K
0001267238-23-000054,2023-11-09,2023-11-09,2023-11-09T16:18:02.000Z,34,8-K,001-31978,231392746,"8.01,9.01",284261,1,1,aiz-20231109.htm,8-K
0001267238-23-000052,2023-11-02,2023-09-30,2023-11-02T16:22:06.000Z,34,10-Q,001-31978,231372696,,12358548,1,1,aiz-20230930.htm,10-Q
0001267238-23-000049,2023-10-31,2023-10-31,2023-10-31T16:18:15.000Z,34,8-K,001-31978,231364761,"2.02,9.01",648161,1,1,aiz-20231031.htm,8-K
0001209191-23-051583,2023-10-03,2023-10-01,2023-10-03T17:00:42.000Z,,4,,,,6895,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001267238-23-000045,2023-09-20,2023-09-20,2023-09-20T16:16:08.000Z,34,8-K,001-31978,231266672,"7.01,9.01",198197,1,1,aiz-20230920.htm,8-K
0001209191-23-045881,2023-08-15,2023-08-14,2023-08-15T17:00:06.000Z,,4,,,,9767,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001950047-23-003053,2023-08-14,,2023-08-14T16:29:43.000Z,33,144,001-31978,231170875,,5458,0,0,xsl144X01/primary_doc.xml,
0001209191-23-045036,2023-08-08,2023-08-04,2023-08-08T17:00:16.000Z,,4,,,,7726,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-23-045039,2023-08-08,2023-08-07,2023-08-08T17:00:12.000Z,,4,,,,7425,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001950047-23-002812,2023-08-07,,2023-08-07T16:17:42.000Z,33,144,001-31978,231147861,,7892,0,0,xsl144X01/primary_doc.xml,
0001950047-23-002795,2023-08-04,,2023-08-04T16:55:36.000Z,33,144,001-31978,231144710,,5987,0,0,xsl144X01/primary_doc.xml,
0001267238-23-000041,2023-08-03,2023-06-30,2023-08-03T16:15:28.000Z,34,10-Q,001-31978,231140219,,12412239,1,1,aiz-20230630.htm,10-Q
0001267238-23-000039,2023-08-01,2023-08-01,2023-08-01T16:29:00.000Z,34,8-K,001-31978,231132139,"2.02,9.01",646276,1,1,aiz-20230801.htm,8-K
0001209191-23-042593,2023-07-18,2023-07-15,2023-07-18T17:00:10.000Z,,4,,,,6879,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-23-042592,2023-07-18,2023-07-15,2023-07-18T17:00:07.000Z,,4,,,,6876,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-23-039450,2023-06-23,2023-06-22,2023-06-23T17:15:19.000Z,,4,,,,7667,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001267238-23-000036,2023-06-22,2022-12-31,2023-06-22T16:30:43.000Z,34,11-K,001-31978,231033698,,209777,0,0,aiz-1231202211xk.htm,11-K
0001267238-23-000035,2023-06-22,2023-06-22,2023-06-22T16:15:38.000Z,34,8-K,001-31978,231033476,"7.01,9.01",318579,1,1,aiz-20230622.htm,8-K
0001950047-23-001862,2023-06-22,,2023-06-22T16:13:14.000Z,33,144,001-31978,231033446,,4741,0,0,xsl144X01/primary_doc.xml,
0001209191-23-032922,2023-05-30,2023-05-26,2023-05-30T17:00:19.000Z,,4,,,,6894,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001950047-23-000984,2023-05-26,,2023-05-26T16:03:41.000Z,33,144,001-31978,23968756,,4676,0,0,xsl144X01/primary_doc.xml,
0001209191-23-031502,2023-05-22,2023-05-18,2023-05-22T17:00:12.000Z,,4,,,,6859,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001971857-23-000135,2023-05-18,,2023-05-18T16:36:23.000Z,33,144,001-31978,23936630,,4320,0,0,xsl144X01/primary_doc.xml,
0001209191-23-029843,2023-05-16,2023-05-12,2023-05-16T17:01:04.000Z,,4,,,,6809,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001209191-23-029842,2023-05-16,2023-05-12,2023-05-16T17:01:03.000Z,,4,,,,6817,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001209191-23-029852,2023-05-16,2023-05-12,2023-05-16T17:00:57.000Z,,4,,,,6912,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001209191-23-029848,2023-05-16,2023-05-12,2023-05-16T17:00:51.000Z,,4,,,,7635,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001209191-23-029853,2023-05-16,2023-05-12,2023-05-16T17:00:49.000Z,,4,,,,7631,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001209191-23-029849,2023-05-16,2023-05-12,2023-05-16T17:00:48.000Z,,4,,,,7627,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001209191-23-029841,2023-05-16,2023-05-12,2023-05-16T17:00:47.000Z,,4,,,,6933,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001209191-23-029847,2023-05-16,2023-05-12,2023-05-16T17:00:45.000Z,,4,,,,7652,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001209191-23-029850,2023-05-16,2023-05-12,2023-05-16T17:00:37.000Z,,4,,,,7617,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
