accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000899051-24-000033,2024-05-16,2024-05-14,2024-05-16T16:35:47.000Z,34,8-K,001-11840,24956166,5.07,270121,1,1,all-20240514.htm,8-K
0000899051-24-000031,2024-05-16,2024-05-16,2024-05-16T07:47:32.000Z,34,8-K,001-11840,24953586,"7.01,9.01",327421,1,1,all-20240516.htm,8-K
0000899051-24-000027,2024-05-15,2024-05-13,2024-05-15T16:25:47.000Z,34,8-K,001-11840,24951352,5.02,239105,1,1,all-20240513.htm,8-K
0001140361-24-025471,2024-05-10,2024-03-31,2024-05-10T16:26:05.000Z,34,13F-HR,028-14491,24935316,,161488,0,0,xslForm13F_X02/primary_doc.xml,
0000899051-24-000024,2024-05-01,2024-03-31,2024-05-01T16:17:34.000Z,34,10-Q,001-11840,24903266,,21244462,1,1,all-20240331.htm,10-Q
0000899051-24-000023,2024-05-01,2024-05-01,2024-05-01T16:15:47.000Z,34,8-K,001-11840,24903223,"2.02,9.01",5402705,1,1,all-20240501.htm,8-K
0001628280-24-019336,2024-04-30,,2024-04-30T16:02:42.000Z,33,S-3ASR,333-279003,24897036,,1470009,0,0,allstate-sx3asr.htm,S-3ASR
0000899051-24-000018,2024-04-18,2024-04-18,2024-04-18T07:45:38.000Z,34,8-K,001-11840,24852889,"2.02,9.01",490243,1,1,all-20240418.htm,8-K
0001127602-24-012707,2024-04-09,2024-04-05,2024-04-09T16:07:44.000Z,,4,,,,8143,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-012192,2024-04-03,2024-04-01,2024-04-03T16:19:01.000Z,,4,,,,6735,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-012181,2024-04-03,2024-04-01,2024-04-03T16:16:28.000Z,,4,,,,4814,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-012156,2024-04-03,2024-04-01,2024-04-03T16:08:52.000Z,,4,,,,4768,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001308179-24-000417,2024-04-02,2023-12-31,2024-04-02T12:04:19.000Z,34,ARS/A,001-11840,24812884,,6003314,0,0,all4258441-arsa.pdf,AMENDMENT TO ANNUAL REPORT TO SECURITY HOLDERS
0001308179-24-000407,2024-04-01,2023-12-31,2024-04-01T16:37:00.000Z,34,ARS,001-11840,24810062,,17886060,0,0,all4258441-ars.pdf,ANNUAL REPORT TO SECURITY HOLDERS
0001308179-24-000406,2024-04-01,,2024-04-01T16:35:46.000Z,34,DEFA14A,001-11840,24810032,,938273,0,0,all4258441-defa14a.htm,DEFINITIVE ADDITIONAL PROXY SOLICITING MATERIALS
0001308179-24-000404,2024-04-01,2024-05-14,2024-04-01T16:35:02.000Z,34,DEF 14A,001-11840,24810016,,55043240,1,1,all4258441-def14a.htm,DEFINITIVE PROXY STATEMENT
0001127602-24-011373,2024-03-28,2024-03-26,2024-03-28T16:03:38.000Z,,4,,,,5411,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-011207,2024-03-26,2024-03-22,2024-03-26T18:39:35.000Z,,4,,,,19615,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001959173-24-002621,2024-03-26,,2024-03-26T12:54:18.000Z,33,144,001-11840,24782377,,5797,0,0,xsl144X01/primary_doc.xml,
0000899051-24-000015,2024-03-21,2024-03-21,2024-03-21T07:51:39.000Z,34,8-K,001-11840,24769497,"7.01,9.01",488854,1,1,all-20240321.htm,8-K
0001127602-24-009204,2024-03-08,2024-02-21,2024-03-08T16:28:16.000Z,,4/A,,,,5731,0,0,xslF345X05/form4a.xml,PRIMARY DOCUMENT
0001127602-24-009200,2024-03-08,2024-02-21,2024-03-08T16:26:14.000Z,,4/A,,,,8436,0,0,xslF345X05/form4a.xml,PRIMARY DOCUMENT
0001127602-24-009198,2024-03-08,2024-02-21,2024-03-08T16:25:23.000Z,,4/A,,,,8423,0,0,xslF345X05/form4a.xml,PRIMARY DOCUMENT
0001127602-24-009195,2024-03-08,2024-02-21,2024-03-08T16:23:13.000Z,,4/A,,,,8446,0,0,xslF345X05/form4a.xml,PRIMARY DOCUMENT
0001127602-24-009193,2024-03-08,2024-02-21,2024-03-08T16:22:11.000Z,,4/A,,,,8434,0,0,xslF345X05/form4a.xml,PRIMARY DOCUMENT
0001127602-24-009192,2024-03-08,2024-02-21,2024-03-08T16:20:58.000Z,,4/A,,,,8446,0,0,xslF345X05/form4a.xml,PRIMARY DOCUMENT
0001127602-24-009190,2024-03-08,2024-02-21,2024-03-08T16:19:56.000Z,,4/A,,,,8430,0,0,xslF345X05/form4a.xml,PRIMARY DOCUMENT
0001127602-24-009189,2024-03-08,2024-02-21,2024-03-08T16:18:33.000Z,,4/A,,,,8428,0,0,xslF345X05/form4a.xml,PRIMARY DOCUMENT
0001127602-24-009187,2024-03-08,2024-02-21,2024-03-08T16:16:58.000Z,,4/A,,,,8440,0,0,xslF345X05/form4a.xml,PRIMARY DOCUMENT
0001127602-24-009185,2024-03-08,2024-02-21,2024-03-08T16:14:27.000Z,,4/A,,,,8472,0,0,xslF345X05/form4a.xml,PRIMARY DOCUMENT
0001127602-24-009182,2024-03-08,2024-02-21,2024-03-08T16:12:38.000Z,,4/A,,,,8436,0,0,xslF345X05/form4a.xml,PRIMARY DOCUMENT
0001127602-24-007656,2024-02-29,2024-02-27,2024-02-29T17:16:16.000Z,,4,,,,4959,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-007447,2024-02-28,2024-02-26,2024-02-28T16:39:05.000Z,,4,,,,5683,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001959173-24-001481,2024-02-27,,2024-02-27T17:03:28.000Z,33,144,001-11840,24688174,,5309,0,0,xsl144X01/primary_doc.xml,
0001959173-24-001409,2024-02-26,,2024-02-26T16:37:53.000Z,33,144,001-11840,24679566,,4177,0,0,xsl144X01/primary_doc.xml,
0001127602-24-006664,2024-02-23,2024-02-21,2024-02-23T16:31:15.000Z,,4,,,,5175,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006654,2024-02-23,2024-02-21,2024-02-23T16:29:06.000Z,,4,,,,7709,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006647,2024-02-23,2024-02-21,2024-02-23T16:27:39.000Z,,4,,,,7699,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006644,2024-02-23,2024-02-21,2024-02-23T16:26:57.000Z,,4,,,,7722,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006638,2024-02-23,2024-02-21,2024-02-23T16:25:52.000Z,,4,,,,7710,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006629,2024-02-23,2024-02-21,2024-02-23T16:22:55.000Z,,4,,,,7722,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006626,2024-02-23,2024-02-21,2024-02-23T16:22:17.000Z,,4,,,,7706,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006617,2024-02-23,2024-02-21,2024-02-23T16:20:45.000Z,,4,,,,7701,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006612,2024-02-23,2024-02-21,2024-02-23T16:19:55.000Z,,4,,,,7716,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006607,2024-02-23,2024-02-21,2024-02-23T16:18:39.000Z,,4,,,,7745,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006598,2024-02-23,2024-02-21,2024-02-23T16:17:03.000Z,,4,,,,7711,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006172,2024-02-21,2024-02-16,2024-02-21T17:35:27.000Z,,4,,,,22514,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006121,2024-02-21,2024-02-18,2024-02-21T16:45:56.000Z,,4,,,,21445,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006110,2024-02-21,2024-02-16,2024-02-21T16:39:41.000Z,,4,,,,11741,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006083,2024-02-21,2024-02-18,2024-02-21T16:29:15.000Z,,4,,,,6786,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006062,2024-02-21,2024-02-16,2024-02-21T16:20:54.000Z,,4,,,,15952,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006054,2024-02-21,2024-02-18,2024-02-21T16:16:50.000Z,,4,,,,11049,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006049,2024-02-21,2024-02-18,2024-02-21T16:14:03.000Z,,4,,,,10392,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006044,2024-02-21,2024-02-18,2024-02-21T16:08:38.000Z,,4,,,,10384,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0000899051-24-000013,2024-02-21,2023-12-31,2024-02-21T14:09:58.000Z,34,10-K,001-11840,24658452,,50330387,1,1,all-20231231.htm,10-K
0001959173-24-001132,2024-02-16,,2024-02-16T16:46:13.000Z,33,144,001-11840,24649099,,4178,0,0,xsl144X01/primary_doc.xml,
0001959173-24-001075,2024-02-16,,2024-02-16T11:38:51.000Z,33,144,001-11840,24646498,,4168,0,0,xsl144X01/primary_doc.xml,
0000899051-24-000009,2024-02-15,2024-02-15,2024-02-15T07:53:28.000Z,34,8-K,001-11840,24642149,"7.01,9.01",490458,1,1,all-20240215.htm,8-K
