accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001415889-24-013744,2024-05-20,2024-05-16,2024-05-20T16:16:52.000Z,,4,,,,7597,0,0,xslF345X05/form4-05202024_080536.xml,
0001957799-24-000120,2024-05-16,,2024-05-16T13:05:02.000Z,33,144,001-32525,24954380,,4625,0,0,xsl144X01/primary_doc.xml,
0000950123-24-005371,2024-05-15,2024-03-31,2024-05-15T11:14:17.000Z,34,13F-HR,028-00139,24948298,,5377636,0,0,xslForm13F_X02/primary_doc.xml,
0001193125-24-136030,2024-05-10,,2024-05-10T14:14:57.000Z,,SC 13G/A,,,,69994,0,0,d838097dsc13ga.htm,SC 13G/A
0000820027-24-000055,2024-05-06,2024-03-31,2024-05-06T14:59:50.000Z,34,10-Q,001-32525,24917105,,32776034,1,1,amp-20240331.htm,10-Q
0001415889-24-011626,2024-04-26,2024-04-24,2024-04-26T19:07:27.000Z,,4,,,,12337,0,0,xslF345X05/form4-04262024_110419.xml,
0001415889-24-011625,2024-04-26,2024-04-24,2024-04-26T19:06:49.000Z,,4,,,,12434,0,0,xslF345X05/form4-04262024_110441.xml,
0001415889-24-011624,2024-04-26,2024-04-24,2024-04-26T19:06:15.000Z,,4,,,,12497,0,0,xslF345X05/form4-04262024_110407.xml,
0001415889-24-011623,2024-04-26,2024-04-24,2024-04-26T19:05:46.000Z,,4,,,,12620,0,0,xslF345X05/form4-04262024_110434.xml,
0001415889-24-011622,2024-04-26,2024-04-24,2024-04-26T19:05:00.000Z,,4,,,,12534,0,0,xslF345X05/form4-04262024_110454.xml,
0001415889-24-011621,2024-04-26,2024-04-24,2024-04-26T19:04:22.000Z,,4,,,,8538,0,0,xslF345X05/form4-04262024_110416.xml,
0001415889-24-011620,2024-04-26,2024-04-24,2024-04-26T19:03:48.000Z,,4,,,,6183,0,0,xslF345X05/form4-04262024_110440.xml,
0001104659-24-052593,2024-04-26,2024-04-24,2024-04-26T10:32:02.000Z,34,8-K,001-32525,24879592,"5.03,5.07,9.01",234980,1,1,tm2412755d1_8k.htm,FORM 8-K
0001628280-24-017118,2024-04-22,2024-04-22,2024-04-22T16:13:50.000Z,34,8-K,001-32525,24861342,"2.02,9.01",1331476,1,1,amp-20240422.htm,8-K
0001193125-24-091593,2024-04-10,,2024-04-10T11:09:13.000Z,,SC 13G/A,,,,86891,0,0,d824955dsc13ga.htm,SC 13G/A
0001415889-24-009426,2024-03-29,2024-03-27,2024-03-29T16:04:24.000Z,,4,,,,11140,0,0,xslF345X05/form4-03292024_080311.xml,
0001415889-24-009338,2024-03-28,2024-03-26,2024-03-28T16:50:08.000Z,,4,,,,11129,0,0,xslF345X05/form4-03282024_080357.xml,
