accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001127602-24-016388,2024-05-23,2024-05-22,2024-05-23T16:14:13.000Z,,4,,,,8839,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001950047-24-004035,2024-05-22,,2024-05-22T16:14:06.000Z,33,144,001-07657,24973417,,8334,0,0,xsl144X01/primary_doc.xml,
0001127602-24-016117,2024-05-21,2024-05-20,2024-05-21T16:13:41.000Z,,4,,,,6647,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001950047-24-003941,2024-05-20,,2024-05-20T16:35:02.000Z,33,144,001-07657,24965132,,5962,0,0,xsl144X01/primary_doc.xml,
0001950047-24-003901,2024-05-20,,2024-05-20T16:16:08.000Z,33,144,001-07657,24964685,,5344,0,0,xsl144X01/primary_doc.xml,
0000004962-24-000044,2024-05-15,2024-05-15,2024-05-15T12:00:24.000Z,34,8-K,001-07657,24948531,7.01,189240,1,1,axp-20240515.htm,8-K
0001127602-24-015075,2024-05-13,2024-05-10,2024-05-13T16:00:39.000Z,,4,,,,8534,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001950047-24-003555,2024-05-10,,2024-05-10T16:13:17.000Z,33,144,001-07657,24934989,,5869,0,0,xsl144X01/primary_doc.xml,
0001127602-24-014573,2024-05-08,2024-05-06,2024-05-08T15:56:16.000Z,,4,,,,5730,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-014570,2024-05-08,2024-05-06,2024-05-08T15:53:39.000Z,,4,,,,5756,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-014568,2024-05-08,2024-05-06,2024-05-08T15:51:43.000Z,,4,,,,5706,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-014566,2024-05-08,2024-05-06,2024-05-08T15:48:05.000Z,,4,,,,5917,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-014564,2024-05-08,2024-05-06,2024-05-08T15:46:12.000Z,,4,,,,5780,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-014562,2024-05-08,2024-05-06,2024-05-08T15:44:26.000Z,,4,,,,5678,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-014560,2024-05-08,2024-05-06,2024-05-08T15:41:19.000Z,,4,,,,5685,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-014558,2024-05-08,2024-05-06,2024-05-08T15:39:33.000Z,,4,,,,5714,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-014556,2024-05-08,2024-05-06,2024-05-08T15:38:05.000Z,,4,,,,5851,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-014554,2024-05-08,2024-05-06,2024-05-08T15:35:45.000Z,,4,,,,5677,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-014552,2024-05-08,2024-05-06,2024-05-08T15:32:58.000Z,,4,,,,5730,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0000004962-24-000040,2024-05-08,,2024-05-08T15:31:32.000Z,33,S-8,333-279204,24925553,,215820,0,0,forms-8may2024.htm,S-8
0000004962-24-000038,2024-05-08,2024-05-06,2024-05-08T14:00:58.000Z,34,8-K,001-07657,24925257,"5.02,5.07,9.01",357944,1,1,axp-20240506.htm,8-K
0001127602-24-014492,2024-05-07,2024-05-06,2024-05-07T17:46:20.000Z,,4,,,,6221,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-014487,2024-05-07,2024-04-29,2024-05-07T17:25:22.000Z,,3,,,,3450,0,0,xslF345X02/form3.xml,PRIMARY DOCUMENT
0001127602-24-014427,2024-05-07,2024-05-03,2024-05-07T16:03:58.000Z,,4,,,,7823,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-014317,2024-05-06,2024-05-02,2024-05-06T17:25:29.000Z,,4,,,,11878,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001950047-24-003364,2024-05-03,,2024-05-03T16:21:37.000Z,33,144,001-07657,24913480,,5932,0,0,xsl144X01/primary_doc.xml,
0001127602-24-013984,2024-05-02,2024-04-30,2024-05-02T16:24:59.000Z,,4,,,,9747,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-013980,2024-05-02,2024-04-30,2024-05-02T16:23:23.000Z,,4,,,,7100,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001950047-24-003325,2024-05-02,,2024-05-02T16:21:39.000Z,33,144,001-07657,24908684,,4649,0,0,xsl144X01/primary_doc.xml,
0001127602-24-013969,2024-05-02,2024-04-30,2024-05-02T16:20:26.000Z,,4,,,,10230,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-013928,2024-05-02,2024-04-30,2024-05-02T16:09:09.000Z,,4,,,,9724,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-013919,2024-05-02,2024-04-30,2024-05-02T16:06:39.000Z,,4,,,,6268,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-013913,2024-05-02,2024-04-30,2024-05-02T16:03:34.000Z,,4,,,,8856,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0000004962-24-000034,2024-04-26,2024-03-31,2024-04-26T09:00:29.000Z,34,13F-HR,028-00698,24879081,,5141,0,0,xslForm13F_X02/primary_doc.xml,
0001127602-24-013390,2024-04-25,2024-04-23,2024-04-25T15:57:57.000Z,,4,,,,9852,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0000004962-24-000033,2024-04-25,2024-04-25,2024-04-25T14:30:27.000Z,34,8-K,001-07657,24875248,"8.01,9.01",184815,1,1,axp-20240425.htm,8-K
0001104659-24-050659,2024-04-23,,2024-04-23T17:20:53.000Z,33,424B2,333-276975,24865959,,803561,0,0,tm2412478-3_424b2.htm,424B2
0001104659-24-050656,2024-04-23,,2024-04-23T17:18:09.000Z,33,424B2,333-276975,24865911,,841817,0,0,tm2412478-1_424b2.htm,424B2
0001950047-24-003177,2024-04-23,,2024-04-23T16:39:33.000Z,33,144,001-07657,24865356,,5349,0,0,xsl144X01/primary_doc.xml,
0001104659-24-050139,2024-04-23,,2024-04-22T19:03:33.000Z,34,FWP,333-276975,24862365,,27042,0,0,tm2412365d2_fwp.htm,FWP
0001104659-24-050138,2024-04-23,,2024-04-22T19:01:07.000Z,34,FWP,333-276975,24862361,,47725,0,0,tm2412365d1_fwp.htm,FWP
0000004962-24-000031,2024-04-19,2024-03-31,2024-04-19T10:58:03.000Z,34,10-Q,001-07657,24856222,,11477342,1,1,axp-20240331.htm,10-Q
0000004962-24-000029,2024-04-19,2024-04-19,2024-04-19T07:02:18.000Z,34,8-K,001-07657,24855602,"2.02,7.01,9.01",1644837,1,1,axp-20240419.htm,8-K
0000004962-24-000023,2024-04-15,2024-04-15,2024-04-15T07:17:17.000Z,34,8-K,001-07657,24843099,7.01,198899,1,1,axp-20240415.htm,8-K
0001127602-24-011825,2024-04-02,2024-03-31,2024-04-02T16:12:01.000Z,,4,,,,5715,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-011822,2024-04-02,2024-03-31,2024-04-02T16:10:06.000Z,,4,,,,5741,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-011819,2024-04-02,2024-03-31,2024-04-02T16:08:20.000Z,,4,,,,5691,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-011815,2024-04-02,2024-03-31,2024-04-02T16:06:33.000Z,,4,,,,5765,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-011809,2024-04-02,2024-03-31,2024-04-02T16:04:09.000Z,,4,,,,5668,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-011805,2024-04-02,2024-03-31,2024-04-02T16:02:38.000Z,,4,,,,5836,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-011801,2024-04-02,2024-03-31,2024-04-02T16:00:47.000Z,,4,,,,5661,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-011798,2024-04-02,2024-03-31,2024-04-02T15:59:00.000Z,,4,,,,5715,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0000004962-24-000020,2024-04-01,,2024-04-01T07:30:14.000Z,34,DEFA14A,001-07657,24805538,,2593783,0,0,axpdef14acombined.htm,DEFA14A
0001193125-24-068845,2024-03-15,,2024-03-15T12:05:49.000Z,34,DEFA14A,001-07657,24753341,,429647,0,0,d559820ddefa14a.htm,DEFA14A
0000004962-24-000019,2024-03-15,2024-03-15,2024-03-15T12:03:37.000Z,34,8-K,001-07657,24753332,7.01,190234,1,1,axp-20240315.htm,8-K
0001193125-24-068837,2024-03-15,2024-05-06,2024-03-15T12:01:03.000Z,34,DEF 14A,001-07657,24753320,,48838496,1,1,d558747ddef14a.htm,DEF 14A
0000004962-24-000018,2024-03-15,2023-12-31,2024-03-15T10:36:47.000Z,34,ARS,001-07657,24752961,,25641452,0,0,americanexpressannualrepor.pdf,ARS
0001127602-24-009403,2024-03-11,2024-03-08,2024-03-11T16:47:00.000Z,,4,,,,6844,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0000004962-24-000017,2024-03-07,2024-03-06,2024-03-07T08:31:42.000Z,34,8-K,001-07657,24728247,"8.01,9.01",170337,1,1,axp-20240306.htm,8-K
0001127602-24-008107,2024-03-04,2024-02-29,2024-03-04T16:05:33.000Z,,4,,,,4948,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001950047-24-001567,2024-02-29,,2024-02-29T16:28:11.000Z,33,144,001-07657,24704156,,13030,0,0,xsl144X01/primary_doc.xml,
0001127602-24-006267,2024-02-22,2024-02-20,2024-02-22T16:04:01.000Z,,4,,,,5790,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001950047-24-001167,2024-02-20,,2024-02-20T16:54:59.000Z,33,144,001-07657,24654448,,4644,0,0,xsl144X01/primary_doc.xml,
0000004962-24-000016,2024-02-16,2024-02-16,2024-02-16T14:29:00.000Z,34,8-K,001-07657,24647518,"8.01,9.01",183848,1,1,axp-20240216.htm,8-K
0000004962-24-000015,2024-02-15,2024-02-15,2024-02-15T12:00:23.000Z,34,8-K,001-07657,24642882,7.01,192780,1,1,axp-20240215.htm,8-K
0001127602-24-005052,2024-02-14,2024-02-12,2024-02-14T16:47:25.000Z,,4,,,,11947,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-005048,2024-02-14,2024-02-12,2024-02-14T16:44:29.000Z,,4,,,,9912,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-005046,2024-02-14,2024-02-12,2024-02-14T16:41:35.000Z,,4,,,,8378,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001104659-24-021002,2024-02-13,,2024-02-13T17:08:37.000Z,33,424B2,333-276975,24628921,,801109,0,0,tm245301-4_424b2.htm,424B2
0001104659-24-020255,2024-02-13,,2024-02-13T16:58:48.000Z,34,SC 13G/A,005-15607,24627304,,13026,0,0,tv0258-americanexpressco.htm,SCHEDULE 13G/A
0001104659-24-014955,2024-02-12,,2024-02-12T17:14:16.000Z,34,FWP,333-276975,24621237,,37226,0,0,tm245301d3_fwp.htm,FWP
0001950047-24-000861,2024-02-12,,2024-02-12T16:41:43.000Z,33,144,001-07657,24620691,,6560,0,0,xsl144X01/primary_doc.xml,
0001127602-24-004480,2024-02-12,2024-02-08,2024-02-12T16:40:32.000Z,,4,,,,4842,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001950047-24-000844,2024-02-12,,2024-02-12T16:19:39.000Z,33,144,001-07657,24620219,,5268,0,0,xsl144X01/primary_doc.xml,
0001950047-24-000832,2024-02-12,,2024-02-12T16:10:11.000Z,33,144,001-07657,24619964,,5248,0,0,xsl144X01/primary_doc.xml,
0001104659-24-012935,2024-02-09,,2024-02-09T16:11:36.000Z,33,S-3ASR,333-276975,24614997,,1316488,0,0,tm245301-1_s3asr.htm,S-3ASR
0000004962-24-000013,2024-02-09,2023-12-31,2024-02-09T14:08:08.000Z,34,10-K,001-07657,24613930,,23955932,1,1,axp-20231231.htm,10-K
0001606897-24-000001,2024-02-08,,2024-02-08T21:48:01.000Z,33,144,001-07657,24610942,,4386,0,0,xsl144X01/primary_doc.xml,
0001127602-24-003989,2024-02-08,2024-02-01,2024-02-08T16:19:36.000Z,,3,,,,9259,0,0,xslF345X02/form3.xml,PRIMARY DOCUMENT
0001086364-24-006331,2024-02-05,,2024-02-05T17:27:17.000Z,34,SC 13G/A,005-15607,24596948,,13888,0,0,us0258161092_020524.txt,
0001127602-24-003353,2024-02-05,2024-02-01,2024-02-05T16:01:48.000Z,,4,,,,6033,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0000004962-24-000012,2024-02-02,2023-12-31,2024-02-02T09:01:16.000Z,34,13F-HR,028-00698,24588952,,5151,0,0,xslForm13F_X02/primary_doc.xml,
0001949846-24-000030,2024-02-01,,2024-02-01T17:06:19.000Z,33,144,001-07657,24587818,,9723,0,0,xsl144X01/primary_doc.xml,
0001127602-24-002848,2024-01-31,2024-01-29,2024-01-31T20:13:39.000Z,,4,,,,12204,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-002835,2024-01-31,2024-01-29,2024-01-31T18:47:15.000Z,,4,,,,22645,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-002833,2024-01-31,2024-01-29,2024-01-31T18:39:05.000Z,,4,,,,9743,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-002831,2024-01-31,2024-01-29,2024-01-31T18:33:28.000Z,,4,,,,10224,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-002828,2024-01-31,2024-01-29,2024-01-31T18:28:49.000Z,,4,,,,8861,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-002824,2024-01-31,2024-01-29,2024-01-31T18:25:27.000Z,,4,,,,8910,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-002822,2024-01-31,2024-01-29,2024-01-31T18:21:38.000Z,,4,,,,9555,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-002820,2024-01-31,2024-01-29,2024-01-31T18:17:12.000Z,,4,,,,6918,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-002788,2024-01-31,2024-01-29,2024-01-31T17:18:17.000Z,,4,,,,8852,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-002782,2024-01-31,2024-01-29,2024-01-31T17:14:07.000Z,,4,,,,8868,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-002778,2024-01-31,2024-01-29,2024-01-31T17:11:42.000Z,,4,,,,8727,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-002774,2024-01-31,2024-01-29,2024-01-31T17:09:02.000Z,,4,,,,10097,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-002726,2024-01-31,2024-01-29,2024-01-31T16:02:46.000Z,,4,,,,6380,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-002721,2024-01-31,2024-01-29,2024-01-31T15:59:15.000Z,,4,,,,6237,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-002718,2024-01-31,2024-01-29,2024-01-31T15:56:01.000Z,,4,,,,7646,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-002715,2024-01-31,2024-01-29,2024-01-31T15:51:24.000Z,,4,,,,8498,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0000950170-24-009116,2024-01-30,,2024-01-30T21:44:42.000Z,33,144,001-07657,24580449,,4521,0,0,xsl144X01/primary_doc.xml,
0000950170-24-009104,2024-01-30,,2024-01-30T21:27:17.000Z,33,144,001-07657,24580419,,6324,0,0,xsl144X01/primary_doc.xml,
0001127602-24-002679,2024-01-30,2024-01-28,2024-01-30T20:03:03.000Z,,4,,,,6375,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0000004962-24-000008,2024-01-26,2024-01-26,2024-01-26T07:01:25.000Z,34,8-K,001-07657,24564106,"2.02,7.01,9.01",1993113,1,1,axp-20240126.htm,8-K
0000000000-24-001031,2024-01-25,,2024-01-25T19:36:06.000Z,,UPLOAD,001-07657,,,39719,0,0,filename1.pdf,
0000004962-24-000006,2024-01-19,,2024-01-19T15:34:52.000Z,,CORRESP,,,,188102,0,0,filename1.htm,
