accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000038777-24-000095,2024-05-15,,2024-05-15T19:47:15.000Z,,SC 13D/A,,,,246939,0,0,frkbsp24a8.htm,
0000038777-24-000076,2024-05-13,2024-03-31,2024-05-13T16:28:41.000Z,34,13F-HR,028-00734,24939495,,5912264,0,0,xslForm13F_X02/primary_doc.xml,
0000038777-24-000073,2024-05-13,,2024-05-13T13:58:00.000Z,,SC 13G,,,,205977,0,0,inno24in.htm,
0000038777-24-000072,2024-05-08,,2024-05-08T15:38:11.000Z,,SC 13D,,,,206958,0,0,inno24in.htm,
0000038777-24-000071,2024-05-06,,2024-05-06T14:52:58.000Z,,SC 13D/A,,,,203543,0,0,frkbsp24a7.htm,
0000038777-24-000070,2024-04-29,,2024-04-29T15:45:59.000Z,,SC 13D/A,,,,202810,0,0,frkbsp24a6.htm,
0000038777-24-000069,2024-04-29,2024-03-31,2024-04-29T08:40:25.000Z,34,10-Q,001-09318,24886772,,9793533,1,1,ben-20240331.htm,10-Q
0000038777-24-000068,2024-04-29,2024-04-29,2024-04-29T08:37:32.000Z,34,8-K,001-09318,24886765,"2.02,7.01,9.01",971638,1,1,ben-20240429.htm,8-K
0000038777-24-000064,2024-04-19,,2024-04-19T13:36:00.000Z,,SC 13D/A,,,,201305,0,0,frkbsp24a5.htm,
0000038777-24-000062,2024-04-16,,2024-04-16T14:05:34.000Z,,SC 13D/A,,,,211902,0,0,clar24a2.htm,
0000038777-24-000061,2024-04-11,,2024-04-11T13:27:13.000Z,,SC 13D/A,,,,202786,0,0,frkbsp24a4.htm,
0000038777-24-000060,2024-04-09,,2024-04-09T15:46:04.000Z,,SC 13G/A,,,,195870,0,0,inte24a4.htm,
0001127602-24-011796,2024-04-02,2024-04-01,2024-04-02T15:50:59.000Z,,4,,,,6023,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-011795,2024-04-02,2024-04-01,2024-04-02T15:49:47.000Z,,4,,,,6512,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0000038777-24-000059,2024-03-28,,2024-03-28T13:52:12.000Z,,SC 13D/A,,,,201668,0,0,frkbsp24a3.htm,
0000038777-24-000058,2024-03-21,,2024-03-21T17:14:38.000Z,33,S-8,333-278153,24772312,,559203,0,0,forms-832124.htm,FORM S-8
0000038777-24-000056,2024-03-21,,2024-03-21T13:21:16.000Z,,SC 13D/A,,,,206708,0,0,clar24a1.htm,
0000038777-24-000054,2024-03-20,,2024-03-20T16:12:49.000Z,,SC 13D/A,,,,201406,0,0,frkbsp24a2.htm,
0000038777-24-000053,2024-03-13,,2024-03-13T14:22:12.000Z,,SC 13D/A,,,,180481,0,0,temp24a4.htm,
0000038777-24-000052,2024-03-11,,2024-03-11T16:19:29.000Z,,SC 13D/A,,,,207433,0,0,frkbsp24a1.htm,
0000038777-24-000051,2024-03-11,,2024-03-11T13:44:39.000Z,,SC 13G,,,,204429,0,0,achi24in.htm,
0000038777-24-000050,2024-02-27,,2024-02-27T15:51:33.000Z,,SC 13D,,,,210361,0,0,frkbsp23in.htm,
0000038777-24-000049,2024-02-27,,2024-02-27T15:25:37.000Z,,SC 13D,,,,207605,0,0,clar24in.htm,
0001104659-24-020977,2024-02-13,,2024-02-13T17:04:41.000Z,34,SC 13G/A,005-14463,24628404,,13084,0,0,tv0977-franklinresourcesinc.htm,SCHEDULE 13G/A
0001422848-24-000068,2024-02-09,,2024-02-09T17:49:06.000Z,34,SC 13G,005-14463,24616517,,18364,0,0,SEC13G_Filing.htm,SEC SCHEDULE 13G
0000038777-24-000046,2024-02-09,2024-02-05,2024-02-09T16:22:02.000Z,34,8-K,001-09318,24615332,5.02,145456,1,1,ben-20240205.htm,8-K
0000038777-24-000028,2024-02-09,2023-12-31,2024-02-09T13:17:46.000Z,34,13F-HR,028-00734,24613729,,4550701,0,0,xslForm13F_X02/primary_doc.xml,
0000038777-24-000027,2024-02-08,2024-02-06,2024-02-08T14:43:06.000Z,34,8-K,001-09318,24608474,"5.02,5.07,9.01",5737559,1,1,ben-20240206.htm,8-K
0001127602-24-003726,2024-02-07,2024-02-06,2024-02-07T16:56:21.000Z,,4,,,,4959,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-003722,2024-02-07,2024-02-06,2024-02-07T16:55:35.000Z,,4,,,,4552,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-003720,2024-02-07,2024-02-06,2024-02-07T16:54:41.000Z,,4,,,,4550,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-003717,2024-02-07,2024-02-06,2024-02-07T16:53:58.000Z,,4,,,,4526,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-003716,2024-02-07,2024-02-06,2024-02-07T16:53:14.000Z,,4,,,,6091,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-003713,2024-02-07,2024-02-06,2024-02-07T16:52:22.000Z,,4,,,,6025,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-003711,2024-02-07,2024-02-06,2024-02-07T16:51:20.000Z,,4,,,,6512,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-003708,2024-02-07,2024-02-06,2024-02-07T16:50:22.000Z,,4,,,,6077,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-003574,2024-02-06,2024-02-06,2024-02-06T16:22:39.000Z,,3,,,,7938,0,0,xslF345X02/form3.xml,PRIMARY DOCUMENT
0000038777-24-000025,2024-02-06,,2024-02-06T14:17:25.000Z,,SC 13G/A,,,,193509,0,0,vizs23a1.htm,
0000038777-24-000024,2024-02-06,,2024-02-06T14:10:49.000Z,,SC 13G/A,,,,190251,0,0,siti23a2.htm,
0000038777-24-000023,2024-02-06,,2024-02-06T13:58:21.000Z,,SC 13G,,,,190413,0,0,reva23in.htm,
0000038777-24-000022,2024-02-06,,2024-02-06T13:51:46.000Z,,SC 13G/A,,,,193468,0,0,plat23a12.htm,
0000038777-24-000021,2024-02-06,,2024-02-06T13:44:13.000Z,,SC 13G/A,,,,195051,0,0,paym23a5.htm,
0000038777-24-000020,2024-02-06,,2024-02-06T13:36:57.000Z,,SC 13G/A,,,,190320,0,0,ones23a6.htm,
0000038777-24-000019,2024-02-06,,2024-02-06T13:30:07.000Z,,SC 13G,,,,190592,0,0,oils23in.htm,
0000038777-24-000018,2024-02-06,,2024-02-06T13:21:54.000Z,,SC 13G/A,,,,174064,0,0,nerd23a2.htm,
0000038777-24-000017,2024-02-06,,2024-02-06T11:58:06.000Z,,SC 13G,,,,188018,0,0,mari23in.htm,
0000038777-24-000016,2024-02-06,,2024-02-06T11:51:16.000Z,,SC 13G/A,,,,195382,0,0,inte23a3.htm,
0000038777-24-000015,2024-02-06,,2024-02-06T11:43:22.000Z,,SC 13G/A,,,,174062,0,0,hero23a13.htm,
0000038777-24-000014,2024-02-06,,2024-02-06T11:15:39.000Z,,SC 13G/A,,,,172528,0,0,gali23a5.htm,
0000038777-24-000013,2024-02-06,,2024-02-06T10:55:08.000Z,,SC 13G/A,,,,186035,0,0,eyep23a5.htm,
0000038777-24-000012,2024-02-06,,2024-02-06T10:44:41.000Z,,SC 13G/A,,,,180547,0,0,dxct23a2.htm,
0000038777-24-000011,2024-02-06,,2024-02-06T10:09:43.000Z,,SC 13G,,,,186152,0,0,cull23in.htm,
0000038777-24-000010,2024-02-06,,2024-02-06T09:32:12.000Z,,SC 13G/A,,,,169705,0,0,brid23a2.htm,
0000038777-24-000009,2024-02-06,,2024-02-06T09:02:25.000Z,,SC 13G,,,,183850,0,0,acum23in.htm,
0000038777-24-000008,2024-02-06,,2024-02-06T08:49:59.000Z,,SC 13G/A,,,,217433,0,0,appl23a41.htm,
0001086364-24-005634,2024-01-29,,2024-01-29T17:25:57.000Z,34,SC 13G/A,005-14463,24574975,,13895,0,0,us3546131018_012924.txt,
0000038777-24-000006,2024-01-29,2023-12-31,2024-01-29T08:43:12.000Z,34,10-Q,001-09318,24570554,,7511668,1,1,ben-20231231.htm,10-Q
0000038777-24-000005,2024-01-29,2024-01-29,2024-01-29T08:42:12.000Z,34,8-K,001-09318,24570551,"2.02,7.01,9.01",850480,1,1,ben-20240129.htm,8-K
0000093751-24-000229,2024-01-25,,2024-01-25T11:01:29.000Z,34,SC 13G/A,005-14463,24559945,,8734,0,0,Franklin_Resources_Inc.txt,
0001127602-24-001326,2024-01-16,2024-01-11,2024-01-16T16:25:57.000Z,,4,,,,9140,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001193125-24-003302,2024-01-05,,2024-01-05T15:31:26.000Z,34,SC 13G,005-14463,24516005,,86552,0,0,d681721dsc13g.htm,SC 13G
