accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001390777-24-000080,2024-05-10,,2024-05-10T14:57:34.000Z,,SC 13G,,,,44798,0,0,wisdomtree13G_Filing.txt,
0001390777-24-000079,2024-05-10,,2024-05-10T12:15:02.000Z,,SC 13G,,,,44740,0,0,ishareskuwait13G_Filing.txt,
0001390777-24-000078,2024-05-10,,2024-05-10T12:13:17.000Z,,SC 13G,,,,44741,0,0,ishareschina13G_Filing.txt,
0001390777-24-000077,2024-05-10,,2024-05-10T12:11:53.000Z,,SC 13G/A,,,,41927,0,0,Voya13G_Filing_A.txt,
0001390777-24-000076,2024-05-10,,2024-05-10T12:10:35.000Z,,SC 13G/A,,,,44819,0,0,SPDR13G_Filing.txt,
0001209191-24-005593,2024-05-09,2024-05-08,2024-05-09T16:37:58.000Z,,4,,,,5072,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005591,2024-05-09,2024-05-07,2024-05-09T16:35:28.000Z,,4,,,,5048,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001959173-24-003345,2024-05-08,,2024-05-08T12:58:40.000Z,33,144,001-35651,24925080,,5967,0,0,xsl144X01/primary_doc.xml,
0001959173-24-003295,2024-05-07,,2024-05-07T11:53:28.000Z,33,144,001-35651,24920592,,4856,0,0,xsl144X01/primary_doc.xml,
0001390777-24-000075,2024-05-03,2024-03-31,2024-05-03T07:00:57.000Z,34,10-Q,001-35651,24910757,,28786120,1,1,bk-20240331.htm,FORM 10-Q
0001390777-24-000062,2024-04-25,2024-03-31,2024-04-25T15:18:11.000Z,34,13F-HR,028-12592,24875648,,16522514,0,0,xslForm13F_X02/primary_doc.xml,
0001209191-24-005363,2024-04-23,2024-04-19,2024-04-23T16:38:12.000Z,,4,,,,5112,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005359,2024-04-22,2024-04-18,2024-04-22T16:30:45.000Z,,4,,,,4646,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005357,2024-04-19,2024-04-17,2024-04-19T17:04:03.000Z,,4,,,,9621,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005356,2024-04-19,2024-04-17,2024-04-19T17:03:31.000Z,,4,,,,5937,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
