accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001127602-24-016315,2024-05-23,2024-05-20,2024-05-23T06:03:05.000Z,,4,,,,16994,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001193125-24-144030,2024-05-21,,2024-05-21T17:04:13.000Z,33,S-8,333-279595,24970523,,102969,0,0,d731080ds8.htm,S-8
0001966255-24-000015,2024-05-20,,2024-05-20T21:30:18.000Z,33,144,001-33099,24966698,,5498,0,0,xsl144X01/primary_doc.xml,
0001193125-24-141821,2024-05-17,2024-05-15,2024-05-17T16:48:16.000Z,34,8-K,001-33099,24960696,"5.02,5.07",222813,1,1,d804382d8k.htm,8-K
0001127602-24-015332,2024-05-14,2024-05-10,2024-05-14T18:02:20.000Z,,4,,,,8442,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0002017376-24-000024,2024-05-13,,2024-05-13T11:19:35.000Z,34,PX14A6G,001-33099,24937602,,56972,0,0,cover.txt,COVER PAGE
0001966255-24-000014,2024-05-10,,2024-05-10T18:14:54.000Z,33,144,001-33099,24936399,,5004,0,0,xsl144X01/primary_doc.xml,
0001086364-24-007638,2024-05-10,2024-03-31,2024-05-10T12:51:46.000Z,34,13F-HR,028-12019,24933850,,22239549,0,0,xslForm13F_X02/primary_doc.xml,
0001086364-24-007635,2024-05-10,,2024-05-10T10:49:33.000Z,,SC 13G/A,,,,13848,0,0,us3390411052_051024.txt,
0001086364-24-007633,2024-05-08,,2024-05-08T14:27:27.000Z,,SC 13G/A,,,,13957,0,0,us2987361092_050724.txt,
0001086364-24-007632,2024-05-08,,2024-05-08T14:27:27.000Z,,SC 13G/A,,,,12597,0,0,us92858v1017_050724.txt,
0001086364-24-007631,2024-05-08,,2024-05-08T14:27:27.000Z,,SC 13G/A,,,,13879,0,0,us92840m1027_050724.txt,
0001086364-24-007630,2024-05-08,,2024-05-08T14:27:27.000Z,,SC 13G/A,,,,13612,0,0,us46578c1080_050724.txt,
0001086364-24-007629,2024-05-08,,2024-05-08T14:27:27.000Z,,SC 13G/A,,,,12183,0,0,us46438g8024_050724.txt,
0001086364-24-007628,2024-05-08,,2024-05-08T14:27:27.000Z,,SC 13G/A,,,,12338,0,0,us46438g7943_050724.txt,
