accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000950170-24-057368,2024-05-10,2024-05-08,2024-05-09T20:00:13.000Z,34,8-K,001-13619,24932535,5.07,186813,1,1,bro-20240508.htm,8-K
0000950170-24-057237,2024-05-09,2024-05-08,2024-05-09T17:00:08.000Z,,4,,,,5541,0,0,xslF345X05/ownership.xml,4
0000950170-24-055870,2024-05-08,2024-05-08,2024-05-08T17:00:45.000Z,,4,,,,4510,0,0,xslF345X05/ownership.xml,4
0000950170-24-055869,2024-05-08,2024-05-08,2024-05-08T17:00:38.000Z,,4,,,,4430,0,0,xslF345X05/ownership.xml,4
0000950170-24-055871,2024-05-08,2024-05-08,2024-05-08T17:00:34.000Z,,4,,,,4543,0,0,xslF345X05/ownership.xml,4
0000950170-24-055868,2024-05-08,2024-05-08,2024-05-08T17:00:30.000Z,,4,,,,4558,0,0,xslF345X05/ownership.xml,4
0000950170-24-055867,2024-05-08,2024-05-08,2024-05-08T17:00:26.000Z,,4,,,,4570,0,0,xslF345X05/ownership.xml,4
0000950170-24-055862,2024-05-08,2024-05-08,2024-05-08T17:00:26.000Z,,4,,,,4524,0,0,xslF345X05/ownership.xml,4
0000950170-24-055866,2024-05-08,2024-05-08,2024-05-08T17:00:23.000Z,,4,,,,6638,0,0,xslF345X05/ownership.xml,4
0000950170-24-055865,2024-05-08,2024-05-08,2024-05-08T17:00:19.000Z,,4,,,,4563,0,0,xslF345X05/ownership.xml,4
0000950170-24-055861,2024-05-08,2024-05-08,2024-05-08T17:00:15.000Z,,4,,,,5525,0,0,xslF345X05/ownership.xml,4
0000950170-24-055860,2024-05-08,2024-05-08,2024-05-08T17:00:14.000Z,,4,,,,4547,0,0,xslF345X05/ownership.xml,4
0000950170-24-055859,2024-05-08,2024-05-08,2024-05-08T17:00:13.000Z,,4,,,,4545,0,0,xslF345X05/ownership.xml,4
0000950170-24-048459,2024-04-25,2024-04-25,2024-04-25T17:00:06.000Z,,4,,,,6990,0,0,xslF345X05/ownership.xml,4
