accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000950170-24-064090,2024-05-23,2024-05-21,2024-05-23T17:56:01.000Z,34,4,001-38366,24980041,,28362,0,0,xslF345X05/ownership.xml,4
0001193125-24-143963,2024-05-21,,2024-05-21T16:30:52.000Z,,SC 13D/A,,,,143642,0,0,d841342dsc13da.htm,SC 13D/A
0001209191-24-005650,2024-05-15,2024-05-13,2024-05-15T16:38:38.000Z,,4,,,,5117,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0000950123-24-005633,2024-05-15,2024-03-31,2024-05-15T16:05:13.000Z,34,13F-HR,028-13114,24950318,,108640,0,0,xslForm13F_X02/primary_doc.xml,
0000950170-24-057875,2024-05-10,2024-05-03,2024-05-10T16:30:24.000Z,34,3,001-41504,24935409,,14700,0,0,xslF345X02/ownership.xml,3
0000950170-24-057877,2024-05-10,2024-05-08,2024-05-10T16:30:23.000Z,34,4,001-41862,24935399,,27021,0,0,xslF345X05/ownership.xml,4
0001209191-24-005569,2024-05-08,2024-05-06,2024-05-08T17:23:12.000Z,,4,,,,8567,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001193125-24-130679,2024-05-03,,2024-05-03T16:04:55.000Z,34,IRANNOTICE,001-33551,24912953,,9105,0,0,d886128dirannotice.htm,IRANNOTICE
0001193125-24-130670,2024-05-03,2024-03-31,2024-05-03T16:02:54.000Z,34,10-Q,001-33551,24912902,,26486958,1,1,d806510d10q.htm,10-Q
0000950170-24-049949,2024-04-29,2024-04-25,2024-04-29T16:34:37.000Z,34,4,001-38048,24891644,,25482,0,0,xslF345X05/ownership.xml,4
0000950170-24-047856,2024-04-24,2024-04-24,2024-04-24T21:23:57.000Z,34,3,001-42030,24872542,,22829,0,0,xslF345X02/ownership.xml,3
0001193125-24-099867,2024-04-18,2024-04-18,2024-04-18T06:58:03.000Z,34,8-K,001-33551,24852804,"2.02,9.01",3241923,1,1,d781420d8k.htm,8-K
0000950170-24-041318,2024-04-03,2024-04-01,2024-04-03T17:30:53.000Z,34,4,001-40308,24820307,,39511,0,0,xslF345X05/ownership.xml,4
0001209191-24-005197,2024-04-02,2024-04-01,2024-04-02T20:50:55.000Z,,4,,,,5607,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005196,2024-04-02,2024-04-01,2024-04-02T20:47:51.000Z,,4,,,,5681,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005195,2024-04-02,2024-04-01,2024-04-02T20:45:42.000Z,,4,,,,9392,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005194,2024-04-02,2024-04-01,2024-04-02T20:41:13.000Z,,4,,,,5669,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005193,2024-04-02,2024-04-01,2024-04-02T20:38:12.000Z,,4,,,,5634,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005192,2024-04-02,2024-04-01,2024-04-02T20:33:55.000Z,,4,,,,5678,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0000899243-24-000190,2024-03-14,2024-03-12,2024-03-14T19:48:43.000Z,34,4,001-38366,24752069,,96374,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0000950170-24-030068,2024-03-12,2024-03-08,2024-03-12T16:56:05.000Z,34,4,001-40308,24743034,,39501,0,0,xslF345X05/ownership.xml,4
0000950170-24-026500,2024-03-05,2024-03-03,2024-03-05T18:34:27.000Z,34,4,001-40054,24723205,,41364,0,0,xslF345X05/ownership.xml,4
0001193125-24-044644,2024-02-23,,2024-02-23T17:08:06.000Z,33,S-8,333-277332,24672481,,62151,0,0,d672220ds8.htm,S-8
0001193125-24-044492,2024-02-23,,2024-02-23T16:04:28.000Z,34,IRANNOTICE,001-33551,24671090,,9744,0,0,d936075dirannotice.htm,IRANNOTICE
0001193125-24-044485,2024-02-23,2023-12-31,2024-02-23T16:03:15.000Z,34,10-K,001-33551,24671070,,36806875,1,1,d734131d10k.htm,10-K
0001209191-24-003683,2024-02-21,2024-02-21,2024-02-21T17:05:00.000Z,,4,,,,4773,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0000950170-24-017998,2024-02-21,2024-02-16,2024-02-21T16:40:44.000Z,34,4,001-38366,24660400,,28398,0,0,xslF345X05/ownership.xml,4
0001209191-24-003358,2024-02-14,2024-02-12,2024-02-14T16:53:35.000Z,,4,,,,8567,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0000950123-24-002536,2024-02-14,2023-12-31,2024-02-14T16:06:25.000Z,34,13F-HR,028-13114,24637893,,94369,0,0,xslForm13F_X02/primary_doc.xml,
0001104659-24-020021,2024-02-13,,2024-02-13T16:55:49.000Z,34,SC 13G/A,005-83050,24627073,,13227,0,0,tv0029-blackstoneinc.htm,SCHEDULE 13G/A
0001209191-24-003032,2024-02-09,2024-02-08,2024-02-09T16:37:12.000Z,,4,,,,11113,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-003028,2024-02-09,2024-02-09,2024-02-09T16:25:02.000Z,,4,,,,7063,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001964306-24-000037,2024-02-09,,2024-02-09T16:18:35.000Z,33,144,001-33551,24615238,,4579,0,0,xsl144X01/primary_doc.xml,
0001964306-24-000034,2024-02-08,,2024-02-08T16:22:37.000Z,33,144,001-33551,24609415,,5681,0,0,xsl144X01/primary_doc.xml,
0001086364-24-005138,2024-01-29,,2024-01-29T15:26:26.000Z,34,SC 13G,005-83050,24573133,,13985,0,0,us09260d1072_012924.txt,
0001193125-24-014831,2024-01-25,2024-01-25,2024-01-25T06:56:02.000Z,34,8-K,001-33551,24558541,"2.02,9.01",2961971,1,1,d701698d8k.htm,8-K
0001209191-24-001389,2024-01-10,2024-01-08,2024-01-10T17:52:45.000Z,,4,,,,5474,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-001385,2024-01-10,2024-01-08,2024-01-10T17:34:49.000Z,,4,,,,5462,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-001384,2024-01-10,2024-01-08,2024-01-10T17:32:43.000Z,,4,,,,5431,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-001383,2024-01-10,2024-01-08,2024-01-10T17:31:51.000Z,,4,,,,9189,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-001382,2024-01-10,2024-01-08,2024-01-10T17:31:05.000Z,,4,,,,5478,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-001381,2024-01-10,2024-01-08,2024-01-10T17:28:44.000Z,,4,,,,5404,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-23-059794,2023-12-27,2023-12-18,2023-12-27T16:46:06.000Z,,3,,,,11603,0,0,xslF345X02/doc3.xml,FORM 3 SUBMISSION
0001209191-23-059613,2023-12-22,2023-12-21,2023-12-22T18:00:22.000Z,,4,,,,5351,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001964306-23-000360,2023-12-21,,2023-12-21T16:13:26.000Z,33,144,001-33551,231505435,,5069,0,0,xsl144X01/primary_doc.xml,
0001193125-23-299933,2023-12-20,2023-12-15,2023-12-20T16:15:29.000Z,34,8-K,001-33551,231501483,"1.01,2.03,9.01",956368,1,1,d669280d8k.htm,8-K
0000899243-23-020643,2023-12-15,2023-12-13,2023-12-15T16:30:16.000Z,34,4,001-38366,231490779,,28802,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0000899243-23-020549,2023-12-05,2023-12-03,2023-12-05T16:30:34.000Z,34,4,001-40054,231467047,,42123,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0000899243-23-020504,2023-11-27,2023-11-22,2023-11-27T16:30:20.000Z,34,4,001-41862,231440612,,27095,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0000899243-23-020408,2023-11-16,2023-11-14,2023-11-16T16:30:14.000Z,34,4,001-41862,231415004,,30877,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0000950123-23-010988,2023-11-14,2023-09-30,2023-11-14T17:01:03.000Z,34,13F-HR,028-13114,231407715,,92382,0,0,xslForm13F_X02/primary_doc.xml,
0000899243-23-020347,2023-11-14,2023-11-09,2023-11-14T16:35:12.000Z,34,4,001-40308,231407175,,40161,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0000899243-23-020335,2023-11-13,2023-11-08,2023-11-13T18:01:41.000Z,34,4,001-38048,231400496,,25774,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-23-055055,2023-11-13,2023-11-09,2023-11-13T17:49:06.000Z,,4,,,,6056,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0000899243-23-020316,2023-11-09,2023-11-09,2023-11-09T19:57:39.000Z,34,3,001-41862,231394288,,25849,0,0,xslF345X02/doc3.xml,FORM 3 SUBMISSION
0001209191-23-054619,2023-11-07,2023-11-06,2023-11-07T17:09:22.000Z,,4,,,,8513,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001193125-23-270365,2023-11-03,,2023-11-03T16:04:28.000Z,34,IRANNOTICE,001-33551,231376267,,11616,0,0,d549854dirannotice.htm,IRANNOTICE
0001193125-23-270358,2023-11-03,2023-09-30,2023-11-03T16:02:56.000Z,34,10-Q,001-33551,231376245,,33774941,1,1,d547912d10q.htm,10-Q
0001209191-23-053985,2023-10-31,2023-10-30,2023-10-31T18:49:29.000Z,,4,,,,8993,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001964306-23-000256,2023-10-30,,2023-10-30T16:32:28.000Z,33,144,001-33551,231360769,,4391,0,0,xsl144X01/primary_doc.xml,
0001193125-23-258911,2023-10-19,2023-10-19,2023-10-19T06:56:02.000Z,34,8-K,001-33551,231333330,"2.02,9.01",3483853,1,1,d515078d8k.htm,8-K
0001209191-23-051239,2023-10-02,2023-10-02,2023-10-02T19:52:40.000Z,,4,,,,7509,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001964306-23-000242,2023-10-02,,2023-10-02T16:03:56.000Z,33,144,001-33551,231299585,,5091,0,0,xsl144X01/primary_doc.xml,
0001209191-23-050428,2023-09-22,2023-09-21,2023-09-22T19:00:14.000Z,,4,,,,4697,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-23-049821,2023-09-18,2023-09-15,2023-09-18T19:00:12.000Z,,4,,,,5050,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0000899243-23-018737,2023-09-12,2023-09-01,2023-09-12T16:30:20.000Z,34,4,001-39270,231250463,,12772,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-23-048980,2023-09-11,2023-09-08,2023-09-11T18:10:43.000Z,,4,,,,6226,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001964306-23-000211,2023-09-08,,2023-09-08T17:19:52.000Z,33,144,001-33551,231246168,,4401,0,0,xsl144X01/primary_doc.xml,
0001209191-23-047886,2023-08-31,2023-08-30,2023-08-31T19:37:25.000Z,,4,,,,9519,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-23-047547,2023-08-28,2023-08-25,2023-08-28T19:05:21.000Z,,4,,,,4946,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0000899243-23-018547,2023-08-28,2023-08-24,2023-08-28T19:00:17.000Z,,4,,,,17984,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001193125-23-221465,2023-08-25,2023-08-21,2023-08-25T16:02:01.000Z,34,8-K,001-33551,231208177,5.02,138739,1,1,d526569d8k.htm,8-K
0000899243-23-018353,2023-08-22,2023-08-22,2023-08-22T17:46:19.000Z,34,4,001-39299,231194696,,27710,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0000899243-23-018216,2023-08-17,2023-08-14,2023-08-17T18:24:40.000Z,34,3,001-39270,231183267,,16373,0,0,xslF345X02/doc3.xml,FORM 3 SUBMISSION
0000899243-23-018185,2023-08-16,2023-08-14,2023-08-16T19:19:14.000Z,34,4,001-39275,231179477,,27696,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0000899243-23-018176,2023-08-16,2023-08-14,2023-08-16T16:30:08.000Z,34,4,001-38366,231178562,,27850,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
