accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001415889-24-013774,2024-05-20,2024-05-16,2024-05-20T16:39:59.000Z,,4,,,,5267,0,0,xslF345X05/form4-05202024_080553.xml,
0001415889-24-013773,2024-05-20,2024-05-16,2024-05-20T16:39:32.000Z,,4,,,,5163,0,0,xslF345X05/form4-05202024_080523.xml,
0001415889-24-013772,2024-05-20,2024-05-16,2024-05-20T16:38:53.000Z,,4,,,,5141,0,0,xslF345X05/form4-05202024_080547.xml,
0001415889-24-013771,2024-05-20,2024-05-16,2024-05-20T16:38:25.000Z,,4,,,,5182,0,0,xslF345X05/form4-05202024_080517.xml,
0001415889-24-013769,2024-05-20,2024-05-16,2024-05-20T16:37:57.000Z,,4,,,,5115,0,0,xslF345X05/form4-05202024_080549.xml,
0001415889-24-013768,2024-05-20,2024-05-16,2024-05-20T16:37:16.000Z,,4,,,,5121,0,0,xslF345X05/form4-05202024_080507.xml,
0001415889-24-013766,2024-05-20,2024-05-16,2024-05-20T16:36:44.000Z,,4,,,,5166,0,0,xslF345X05/form4-05202024_080538.xml,
0001415889-24-013765,2024-05-20,2024-05-16,2024-05-20T16:36:20.000Z,,4,,,,5111,0,0,xslF345X05/form4-05202024_080509.xml,
0001415889-24-013763,2024-05-20,2024-05-16,2024-05-20T16:35:38.000Z,,4,,,,5127,0,0,xslF345X05/form4-05202024_080524.xml,
0001415889-24-013760,2024-05-20,2024-05-16,2024-05-20T16:34:59.000Z,,4,,,,5175,0,0,xslF345X05/form4-05202024_080550.xml,
0001415889-24-013756,2024-05-20,2024-05-16,2024-05-20T16:34:12.000Z,,4,,,,5156,0,0,xslF345X05/form4-05202024_080505.xml,
0001558370-24-008477,2024-05-20,2024-05-16,2024-05-20T16:30:29.000Z,34,8-K,001-34774,24965042,5.07,210316,1,1,cboe-20240516x8k.htm,8-K
0001415889-24-013242,2024-05-15,2024-05-13,2024-05-15T16:43:16.000Z,,4,,,,8546,0,0,xslF345X05/form4-05152024_080507.xml,
0001415889-24-012997,2024-05-13,2024-05-09,2024-05-13T16:37:26.000Z,,4,,,,4668,0,0,xslF345X05/form4-05132024_080516.xml,
0001959173-24-003366,2024-05-09,,2024-05-09T09:50:58.000Z,33,144,001-34774,24929016,,4361,0,0,xsl144X01/primary_doc.xml,
