accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001104659-24-064262,2024-05-22,,2024-05-22T16:13:49.000Z,33,S-8,333-279627,24973411,,140151,0,0,tm2414832d1_s8.htm,FORM S-8
0001213900-24-045055,2024-05-20,2024-05-16,2024-05-20T13:13:53.000Z,,4,,,,4985,0,0,xslF345X05/marketforms-65971.xml,PRIMARY DOCUMENT
0001213900-24-045053,2024-05-20,2024-05-16,2024-05-20T13:12:00.000Z,,4,,,,6336,0,0,xslF345X05/marketforms-65970.xml,PRIMARY DOCUMENT
0001213900-24-045050,2024-05-20,2024-05-16,2024-05-20T13:08:57.000Z,,4,,,,5010,0,0,xslF345X05/marketforms-65962.xml,PRIMARY DOCUMENT
0001213900-24-045046,2024-05-20,2024-05-16,2024-05-20T13:07:19.000Z,,4,,,,4959,0,0,xslF345X05/marketforms-65958.xml,PRIMARY DOCUMENT
0001213900-24-045045,2024-05-20,2024-05-16,2024-05-20T13:05:47.000Z,,4,,,,6368,0,0,xslF345X05/marketforms-65957.xml,PRIMARY DOCUMENT
0001213900-24-045042,2024-05-20,2024-05-16,2024-05-20T13:04:16.000Z,,4,,,,7056,0,0,xslF345X05/marketforms-65956.xml,PRIMARY DOCUMENT
0001213900-24-045039,2024-05-20,2024-05-16,2024-05-20T13:02:02.000Z,,4,,,,4984,0,0,xslF345X05/marketforms-65955.xml,PRIMARY DOCUMENT
0001213900-24-045035,2024-05-20,2024-05-16,2024-05-20T12:56:28.000Z,,4,,,,7065,0,0,xslF345X05/marketforms-65954.xml,PRIMARY DOCUMENT
0001213900-24-044948,2024-05-20,2024-05-17,2024-05-20T10:01:49.000Z,,4,,,,4808,0,0,xslF345X05/marketforms-65969.xml,PRIMARY DOCUMENT
0001213900-24-044618,2024-05-17,2024-05-16,2024-05-17T13:05:38.000Z,,4,,,,6843,0,0,xslF345X05/marketforms-65952.xml,PRIMARY DOCUMENT
0001213900-24-044616,2024-05-17,2024-05-16,2024-05-17T13:02:59.000Z,,4,,,,7158,0,0,xslF345X05/marketforms-65950.xml,PRIMARY DOCUMENT
0001213900-24-044614,2024-05-17,2024-05-16,2024-05-17T13:00:29.000Z,,4,,,,6802,0,0,xslF345X05/marketforms-65948.xml,PRIMARY DOCUMENT
0001213900-24-044611,2024-05-17,2024-05-16,2024-05-17T12:58:07.000Z,,4,,,,6803,0,0,xslF345X05/marketforms-65946.xml,PRIMARY DOCUMENT
0001213900-24-044608,2024-05-17,2024-05-16,2024-05-17T12:54:58.000Z,,4,,,,7525,0,0,xslF345X05/marketforms-65944.xml,PRIMARY DOCUMENT
0001213900-24-044606,2024-05-17,2024-05-16,2024-05-17T12:53:08.000Z,,4,,,,6916,0,0,xslF345X05/marketforms-65942.xml,PRIMARY DOCUMENT
0001213900-24-044605,2024-05-17,2024-05-16,2024-05-17T12:51:20.000Z,,4,,,,6793,0,0,xslF345X05/marketforms-65940.xml,PRIMARY DOCUMENT
0001213900-24-044604,2024-05-17,2024-05-16,2024-05-17T12:49:04.000Z,,4,,,,6686,0,0,xslF345X05/marketforms-65938.xml,PRIMARY DOCUMENT
0001213900-24-044602,2024-05-17,2024-05-16,2024-05-17T12:45:09.000Z,,4,,,,5173,0,0,xslF345X05/marketforms-65936.xml,PRIMARY DOCUMENT
0001213900-24-044601,2024-05-17,2024-05-16,2024-05-17T12:43:18.000Z,,4,,,,8815,0,0,xslF345X05/marketforms-65935.xml,PRIMARY DOCUMENT
0001213900-24-044600,2024-05-17,2024-05-16,2024-05-17T12:40:37.000Z,,4,,,,6888,0,0,xslF345X05/marketforms-65932.xml,PRIMARY DOCUMENT
0001213900-24-044599,2024-05-17,2024-05-16,2024-05-17T12:38:34.000Z,,4,,,,4970,0,0,xslF345X05/marketforms-65930.xml,PRIMARY DOCUMENT
0001213900-24-044598,2024-05-17,2024-05-16,2024-05-17T12:36:32.000Z,,4,,,,7166,0,0,xslF345X05/marketforms-65928.xml,PRIMARY DOCUMENT
0001213900-24-044597,2024-05-17,2024-05-16,2024-05-17T12:27:59.000Z,,4,,,,9442,0,0,xslF345X05/marketforms-65953.xml,PRIMARY DOCUMENT
0001959173-24-003656,2024-05-17,,2024-05-17T11:30:01.000Z,33,144,001-11778,24958355,,4461,0,0,xsl144X01/primary_doc.xml,
0001213900-24-044415,2024-05-16,2024-05-16,2024-05-16T17:30:19.000Z,,3,,,,5193,0,0,xslF345X02/marketforms-65807.xml,PRIMARY DOCUMENT
0001104659-24-062549,2024-05-16,2024-05-16,2024-05-16T16:23:44.000Z,34,8-K,001-11778,24955959,"5.02,5.03,5.07,9.01",887008,1,1,tm2414646d1_8k.htm,FORM 8-K
0001959173-24-003638,2024-05-16,,2024-05-16T15:52:14.000Z,33,144,001-11778,24955287,,4455,0,0,xsl144X01/primary_doc.xml,
0001213900-24-041166,2024-05-09,2024-05-08,2024-05-09T12:52:27.000Z,,4,,,,17242,0,0,xslF345X05/marketforms-65778.xml,PRIMARY DOCUMENT
0001959173-24-003361,2024-05-08,,2024-05-08T17:09:32.000Z,33,144,001-11778,24927428,,5002,0,0,xsl144X01/primary_doc.xml,
0001104659-24-057999,2024-05-07,,2024-05-07T16:08:59.000Z,34,DEFA14A,001-11778,24921881,,24005,0,0,tm2413778d1_defa14a.htm,DEFA14A
0000896159-24-000006,2024-04-26,2024-03-31,2024-04-26T14:53:38.000Z,34,10-Q,001-11778,24882496,,21446540,1,1,cb-20240331.htm,10-Q
0001213900-24-036428,2024-04-26,2024-04-25,2024-04-26T10:45:22.000Z,,4,,,,6202,0,0,xslF345X05/marketforms-65627.xml,PRIMARY DOCUMENT
0001104659-24-051218,2024-04-24,,2024-04-24T16:06:27.000Z,34,DEFA14A,001-11778,24870582,,37127,0,0,tm2412556d1_defa14a.htm,DEFA14A
0001193125-24-107102,2024-04-23,2024-04-23,2024-04-23T16:26:01.000Z,34,8-K,001-11778,24865149,"2.02,9.01",2036872,1,1,d826415d8k.htm,8-K
0001214659-24-007109,2024-04-18,,2024-04-18T17:24:53.000Z,34,PX14A6G,001-11778,24855104,,142608,0,0,o4182411px14a6g.htm,
0001104659-24-047263,2024-04-15,,2024-04-15T16:05:27.000Z,34,DEFA14A,001-11778,24844680,,63513,0,0,tm2411655d1_defa14a.htm,DEFA14A
0001214659-24-006645,2024-04-11,,2024-04-11T16:45:38.000Z,34,PX14A6G,001-11778,24839044,,32593,0,0,z411241px14a6g.htm,
