accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001193125-24-145975,2024-05-23,2024-05-17,2024-05-23T16:14:03.000Z,34,8-K,001-36636,24978371,"3.03,5.03,8.01,9.01",429060,1,1,d793166d8k.htm,8-K
0000876661-24-000387,2024-05-23,,2024-05-23T13:21:24.000Z,34,CERT,001-36636,24977256,,29409,0,0,CFGPRH052324.pdf,NYSE CERTIFICATION
0001193125-24-145772,2024-05-23,,2024-05-23T13:05:26.000Z,34,8-A12B,001-36636,24977056,,275286,0,0,d654707d8a12b.htm,8-A12B
0001193125-24-142890,2024-05-20,,2024-05-20T16:32:41.000Z,33,424B2,333-260150,24965097,,720187,0,0,d839895d424b2.htm,424B2
0000759944-24-000113,2024-05-17,2024-03-31,2024-05-17T16:34:09.000Z,34,13F-HR/A,028-05954,24960407,,239252,0,0,xslForm13F_X02/primary_doc.xml,
0000759944-24-000110,2024-05-16,2024-05-15,2024-05-16T17:12:56.000Z,,4,,,,5060,0,0,xslF345X05/wk-form4_1715893964.xml,FORM 4
0000759944-24-000109,2024-05-16,2024-05-15,2024-05-16T17:12:37.000Z,,4,,,,4815,0,0,xslF345X05/wk-form4_1715893937.xml,FORM 4
0000759944-24-000108,2024-05-16,2024-05-15,2024-05-16T17:11:58.000Z,,4,,,,6818,0,0,xslF345X05/wk-form4_1715893880.xml,FORM 4
0000759944-24-000107,2024-05-16,2024-05-15,2024-05-16T17:11:17.000Z,,4,,,,5514,0,0,xslF345X05/wk-form4_1715893866.xml,FORM 4
0000759944-24-000106,2024-05-16,2024-05-15,2024-05-16T17:10:58.000Z,,4,,,,4807,0,0,xslF345X05/wk-form4_1715893841.xml,FORM 4
0000759944-24-000105,2024-05-16,2024-05-15,2024-05-16T17:10:35.000Z,,4,,,,6128,0,0,xslF345X05/wk-form4_1715893818.xml,FORM 4
0000759944-24-000104,2024-05-16,2024-05-15,2024-05-16T17:10:17.000Z,,4,,,,4793,0,0,xslF345X05/wk-form4_1715893802.xml,FORM 4
0000759944-24-000103,2024-05-16,2024-05-15,2024-05-16T17:10:01.000Z,,4,,,,4798,0,0,xslF345X05/wk-form4_1715893786.xml,FORM 4
0000759944-24-000102,2024-05-16,2024-05-15,2024-05-16T17:09:42.000Z,,4,,,,5614,0,0,xslF345X05/wk-form4_1715893766.xml,FORM 4
0000759944-24-000101,2024-05-16,2024-05-15,2024-05-16T17:09:23.000Z,,4,,,,4817,0,0,xslF345X05/wk-form4_1715893740.xml,FORM 4
0000759944-24-000100,2024-05-16,2024-05-15,2024-05-16T17:08:56.000Z,,4,,,,4804,0,0,xslF345X05/wk-form4_1715893700.xml,FORM 4
0000759944-24-000099,2024-05-16,2024-05-15,2024-05-16T17:08:16.000Z,,4,,,,4817,0,0,xslF345X05/wk-form4_1715893678.xml,FORM 4
0001193125-24-140600,2024-05-16,,2024-05-16T16:23:27.000Z,34,FWP,333-260150,24955955,,16745,0,0,d64021dfwp.htm,FWP
0000759944-24-000098,2024-05-16,2024-05-16,2024-05-16T08:50:56.000Z,34,8-K,001-36636,24953722,8.01,236441,1,1,cfg-20240516.htm,8-K
0001193125-24-140085,2024-05-16,,2024-05-16T08:46:14.000Z,33,424B2,333-260150,24953698,,698147,0,0,d839895d424b2.htm,424B2
0000759944-24-000096,2024-05-10,2024-03-31,2024-05-10T16:25:08.000Z,34,13F-HR,028-05954,24935302,,233606,0,0,xslForm13F_X02/primary_doc.xml,
0000759944-24-000093,2024-05-08,2024-05-08,2024-05-07T18:30:31.000Z,34,8-K,001-36636,24923635,7.01,5310336,1,1,cfg-20240508.htm,8-K
0000759944-24-000090,2024-05-06,2024-03-31,2024-05-06T16:33:46.000Z,34,10-Q,001-36636,24918072,,22055593,1,1,cfg-20240331.htm,10-Q
0000759944-24-000083,2024-04-26,2024-04-25,2024-04-26T17:17:17.000Z,34,8-K,001-36636,24885303,"5.02,5.07",280485,1,1,cfg-20240425.htm,8-K
0000759944-24-000080,2024-04-26,2024-04-25,2024-04-26T16:59:24.000Z,,4,,,,4693,0,0,xslF345X05/wk-form4_1714165149.xml,FORM 4
0000759944-24-000079,2024-04-26,2024-04-25,2024-04-26T16:59:07.000Z,,4,,,,5412,0,0,xslF345X05/wk-form4_1714165136.xml,FORM 4
0000759944-24-000078,2024-04-26,2024-04-25,2024-04-26T16:58:55.000Z,,4,,,,4958,0,0,xslF345X05/wk-form4_1714165125.xml,FORM 4
0000759944-24-000077,2024-04-26,2024-04-25,2024-04-26T16:58:41.000Z,,4,,,,4691,0,0,xslF345X05/wk-form4_1714165112.xml,FORM 4
0000759944-24-000076,2024-04-26,2024-04-25,2024-04-26T16:58:29.000Z,,4,,,,4705,0,0,xslF345X05/wk-form4_1714165097.xml,FORM 4
0000759944-24-000075,2024-04-26,2024-04-25,2024-04-26T16:58:16.000Z,,4,,,,6715,0,0,xslF345X05/wk-form4_1714165084.xml,FORM 4
0000759944-24-000074,2024-04-26,2024-04-25,2024-04-26T16:58:02.000Z,,4,,,,6026,0,0,xslF345X05/wk-form4_1714165063.xml,FORM 4
0000759944-24-000073,2024-04-26,2024-04-25,2024-04-26T16:57:39.000Z,,4,,,,4715,0,0,xslF345X05/wk-form4_1714165046.xml,FORM 4
0000759944-24-000072,2024-04-26,2024-04-25,2024-04-26T16:57:23.000Z,,4,,,,5512,0,0,xslF345X05/wk-form4_1714165031.xml,FORM 4
0000759944-24-000071,2024-04-26,2024-04-25,2024-04-26T16:57:10.000Z,,4,,,,4703,0,0,xslF345X05/wk-form4_1714165018.xml,FORM 4
0000759944-24-000070,2024-04-26,2024-04-25,2024-04-26T16:56:54.000Z,,4,,,,4714,0,0,xslF345X05/wk-form4_1714164999.xml,FORM 4
0000759944-24-000069,2024-04-26,2024-04-25,2024-04-26T16:56:36.000Z,,4,,,,4715,0,0,xslF345X05/wk-form4_1714164986.xml,FORM 4
0001193125-24-114022,2024-04-25,2024-04-25,2024-04-25T16:33:56.000Z,34,8-K,001-36636,24876942,"8.01,9.01",674557,1,1,d797506d8k.htm,8-K
0000759944-24-000064,2024-04-22,2024-04-19,2024-04-22T17:02:23.000Z,,4,,,,5042,0,0,xslF345X05/wk-form4_1713819734.xml,FORM 4
0001193125-24-102975,2024-04-19,,2024-04-19T16:40:28.000Z,33,424B2,333-260150,24858346,,723077,0,0,d803068d424b2.htm,424B2
0001959173-24-002993,2024-04-19,,2024-04-19T12:07:04.000Z,33,144,001-36636,24856424,,5378,0,0,xsl144X01/primary_doc.xml,
0001193125-24-100861,2024-04-18,,2024-04-18T16:42:27.000Z,34,FWP,333-260150,24854805,,27562,0,0,d800758dfwp.htm,FWP
0000759944-24-000063,2024-04-18,2024-04-18,2024-04-18T10:11:28.000Z,34,8-K,001-36636,24853166,"8.01,9.01",4466049,1,1,cfg-20240418.htm,8-K
0001193125-24-100092,2024-04-18,,2024-04-18T08:59:10.000Z,33,424B2,333-260150,24852988,,707408,0,0,d803068d424b2.htm,424B2
0000759944-24-000060,2024-04-17,2024-04-17,2024-04-17T06:28:38.000Z,34,8-K,001-36636,24849337,"2.02,7.01,9.01",14826356,1,1,cfg-20240417.htm,8-K
0000759944-24-000056,2024-03-11,2023-12-31,2024-03-11T17:08:41.000Z,34,ARS,001-36636,24739030,,65976652,0,0,ars.htm,ARS
0000759944-24-000055,2024-03-11,,2024-03-11T17:04:05.000Z,34,DEFA14A,001-36636,24738987,,642179,0,0,defa14ameetingnotice31124.htm,DEFA14A
0000759944-24-000054,2024-03-11,2024-04-25,2024-03-11T17:02:21.000Z,34,DEF 14A,001-36636,24738966,,55770032,1,1,cfg-20240311.htm,DEF 14A
0000759944-24-000053,2024-03-06,2024-03-05,2024-03-06T19:05:24.000Z,,4,,,,4503,0,0,xslF345X05/wk-form4_1709769915.xml,FORM 4
0001959173-24-001967,2024-03-05,,2024-03-05T17:47:50.000Z,33,144,001-36636,24722780,,4789,0,0,xsl144X01/primary_doc.xml,
0000759944-24-000052,2024-03-04,2024-03-01,2024-03-04T18:08:03.000Z,,4,,,,6139,0,0,xslF345X05/wk-form4_1709593671.xml,FORM 4
0000759944-24-000051,2024-03-04,2024-03-01,2024-03-04T18:07:49.000Z,,4,,,,6176,0,0,xslF345X05/wk-form4_1709593652.xml,FORM 4
0000759944-24-000050,2024-03-04,2024-03-01,2024-03-04T18:07:29.000Z,,4,,,,6142,0,0,xslF345X05/wk-form4_1709593636.xml,FORM 4
0000759944-24-000049,2024-03-04,2024-03-01,2024-03-04T18:07:10.000Z,,4,,,,6158,0,0,xslF345X05/wk-form4_1709593591.xml,FORM 4
0000759944-24-000048,2024-03-04,2024-03-01,2024-03-04T18:06:28.000Z,,4,,,,6163,0,0,xslF345X05/wk-form4_1709593579.xml,FORM 4
0000759944-24-000047,2024-03-04,2024-03-01,2024-03-04T18:06:16.000Z,,4,,,,6151,0,0,xslF345X05/wk-form4_1709593561.xml,FORM 4
0000759944-24-000046,2024-03-04,2024-03-01,2024-03-04T18:05:58.000Z,,4,,,,6113,0,0,xslF345X05/wk-form4_1709593549.xml,FORM 4
0000759944-24-000045,2024-03-04,2024-03-01,2024-03-04T18:05:45.000Z,,4,,,,6136,0,0,xslF345X05/wk-form4_1709593527.xml,FORM 4
0000759944-24-000044,2024-03-04,2024-03-01,2024-03-04T18:05:23.000Z,,4,,,,6169,0,0,xslF345X05/wk-form4_1709593511.xml,FORM 4
0000759944-24-000043,2024-03-04,2024-03-01,2024-03-04T18:05:09.000Z,,4,,,,8274,0,0,xslF345X05/wk-form4_1709593494.xml,FORM 4
0000759944-24-000042,2024-03-04,2023-02-15,2024-03-04T18:01:45.000Z,,4/A,,,,5585,0,0,xslF345X05/wk-form4a_1709593280.xml,FORM 4/A
0000759944-24-000041,2024-03-04,2024-03-01,2024-03-04T17:55:50.000Z,,4,,,,4668,0,0,xslF345X05/wk-form4_1709592925.xml,FORM 4
0000759944-24-000040,2024-03-04,2024-03-01,2024-03-04T17:53:48.000Z,,3,,,,340301,0,0,xslF345X02/wk-form3_1709592812.xml,FORM 3
0000759944-24-000039,2024-02-16,2023-12-31,2024-02-16T16:02:40.000Z,34,10-K,001-36636,24648253,,33024505,1,1,cfg-20231231.htm,10-K
0000759944-24-000038,2024-02-16,2024-02-15,2024-02-16T08:05:58.000Z,34,8-K,001-36636,24645856,5.02,273552,1,1,cfg-20240215.htm,8-K
0000759944-24-000036,2024-02-15,2024-02-14,2024-02-15T19:31:22.000Z,,4,,,,6175,0,0,xslF345X05/wk-form4_1708043471.xml,FORM 4
0000759944-24-000035,2024-02-15,2024-02-14,2024-02-15T19:31:08.000Z,,4,,,,4782,0,0,xslF345X05/wk-form4_1708043458.xml,FORM 4
0000759944-24-000034,2024-02-15,2024-02-14,2024-02-15T19:30:55.000Z,,4,,,,5491,0,0,xslF345X05/wk-form4_1708043446.xml,FORM 4
0000759944-24-000033,2024-02-15,2024-02-14,2024-02-15T19:30:44.000Z,,4,,,,4770,0,0,xslF345X05/wk-form4_1708043433.xml,FORM 4
0000759944-24-000032,2024-02-15,2024-02-14,2024-02-15T19:30:31.000Z,,4,,,,4793,0,0,xslF345X05/wk-form4_1708043418.xml,FORM 4
0000759944-24-000031,2024-02-15,2024-02-14,2024-02-15T19:30:16.000Z,,4,,,,5591,0,0,xslF345X05/wk-form4_1708043404.xml,FORM 4
0000759944-24-000030,2024-02-15,2024-02-14,2024-02-15T19:30:01.000Z,,4,,,,4794,0,0,xslF345X05/wk-form4_1708043392.xml,FORM 4
0000759944-24-000029,2024-02-15,2024-02-14,2024-02-15T19:29:50.000Z,,4,,,,4794,0,0,xslF345X05/wk-form4_1708043380.xml,FORM 4
0000759944-24-000028,2024-02-15,2024-02-14,2024-02-15T19:29:38.000Z,,4,,,,4784,0,0,xslF345X05/wk-form4_1708043368.xml,FORM 4
0000759944-24-000027,2024-02-15,2024-02-14,2024-02-15T19:29:24.000Z,,4,,,,6105,0,0,xslF345X05/wk-form4_1708043345.xml,FORM 4
0000759944-24-000026,2024-02-15,2024-02-14,2024-02-15T19:29:04.000Z,,4,,,,5037,0,0,xslF345X05/wk-form4_1708043334.xml,FORM 4
0000759944-24-000025,2024-02-15,2024-02-14,2024-02-15T19:28:52.000Z,,4,,,,6794,0,0,xslF345X05/wk-form4_1708043321.xml,FORM 4
0000759944-24-000024,2024-02-15,2024-02-14,2024-02-15T19:20:52.000Z,,4,,,,4768,0,0,xslF345X05/wk-form4_1708042842.xml,FORM 4
0000759944-24-000023,2024-02-15,2024-02-14,2024-02-15T19:20:39.000Z,,4,,,,4773,0,0,xslF345X05/wk-form4_1708042831.xml,FORM 4
0000759944-24-000022,2024-02-15,2024-02-14,2024-02-15T19:20:28.000Z,,4,,,,4783,0,0,xslF345X05/wk-form4_1708042819.xml,FORM 4
0000759944-24-000021,2024-02-15,2024-02-14,2024-02-15T19:20:17.000Z,,4,,,,4807,0,0,xslF345X05/wk-form4_1708042806.xml,FORM 4
0000759944-24-000020,2024-02-15,2024-02-14,2024-02-15T19:20:04.000Z,,4,,,,4789,0,0,xslF345X05/wk-form4_1708042794.xml,FORM 4
0000759944-24-000019,2024-02-15,2024-02-14,2024-02-15T19:19:51.000Z,,4,,,,6905,0,0,xslF345X05/wk-form4_1708042783.xml,FORM 4
0000759944-24-000018,2024-02-15,2024-02-14,2024-02-15T19:19:41.000Z,,4,,,,4794,0,0,xslF345X05/wk-form4_1708042772.xml,FORM 4
0000759944-24-000017,2024-02-15,2024-02-14,2024-02-15T19:19:30.000Z,,4,,,,4796,0,0,xslF345X05/wk-form4_1708042755.xml,FORM 4
0001104659-24-020613,2024-02-13,,2024-02-13T17:02:31.000Z,34,SC 13G/A,005-36469,24627876,,13018,0,0,tv0613-citizensfinancialgrou.htm,SCHEDULE 13G/A
0001422848-24-000154,2024-02-09,,2024-02-09T18:05:54.000Z,34,SC 13G,005-36469,24616662,,18394,0,0,SEC13G_Filing.htm,SEC SCHEDULE 13G
0000759944-24-000012,2024-02-02,2023-12-31,2024-02-02T16:01:38.000Z,34,13F-HR,028-05954,24591237,,233606,0,0,xslForm13F_X02/primary_doc.xml,
0000093751-24-000421,2024-01-30,,2024-01-30T11:17:57.000Z,34,SC 13G/A,005-36469,24576517,,8677,0,0,Citizen_Financ_Group.txt,
0001086364-24-001683,2024-01-23,,2024-01-23T16:13:58.000Z,34,SC 13G/A,005-36469,24552738,,13953,0,0,us1746101054_012324.txt,
0001193125-24-012960,2024-01-23,2024-01-23,2024-01-23T15:54:58.000Z,34,8-K,001-36636,24552416,"8.01,9.01",673188,1,1,d645837d8k.htm,8-K
0001193125-24-011800,2024-01-22,,2024-01-22T10:27:17.000Z,33,424B2,333-260150,24547393,,656568,0,0,d539282d424b2.htm,424B2
0001193125-24-010192,2024-01-18,,2024-01-18T16:09:48.000Z,34,FWP,333-260150,24541905,,27589,0,0,d735147dfwp.htm,FWP
0000759944-24-000008,2024-01-18,2024-01-18,2024-01-18T09:00:36.000Z,34,8-K,001-36636,24540218,"8.01,9.01",8506947,1,1,cfg-20240118.htm,8-K
0001193125-24-009711,2024-01-18,,2024-01-18T08:15:38.000Z,33,424B2,333-260150,24540161,,643838,0,0,d539282d424b2.htm,424B2
0000759944-24-000005,2024-01-17,2024-01-17,2024-01-17T06:29:09.000Z,34,8-K,001-36636,24536667,"2.02,7.01,9.01",18240434,1,1,cfg-20240117.htm,8-K
0000759944-24-000001,2024-01-04,2024-01-01,2024-01-04T17:32:38.000Z,,3,,,,352119,0,0,xslF345X02/wk-form3_1704407521.xml,FORM 3
0001959173-23-005470,2023-12-14,,2023-12-14T14:52:31.000Z,33,144,001-36636,231486752,,4408,0,0,xsl144X01/primary_doc.xml,
