accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001562180-24-003966,2024-05-13,2024-05-04,2024-05-13T15:06:00.000Z,,3,,,,18847,0,0,xslF345X02/primarydocument.xml,PRIMARY DOCUMENT
0000020286-24-000033,2024-05-09,2024-05-04,2024-05-09T08:22:16.000Z,34,8-K,000-04604,24928732,"5.07,7.01,9.01",724577,1,1,cinf-20240504.htm,8-K
0001562180-24-003906,2024-05-08,2024-05-06,2024-05-08T15:11:06.000Z,,4,,,,15969,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001104659-24-056742,2024-05-03,2024-03-31,2024-05-03T09:57:59.000Z,34,13F-HR,028-10798,24911165,,30513,0,0,xslForm13F_X02/primary_doc.xml,
0001562180-24-003675,2024-05-01,2024-04-29,2024-05-01T16:31:41.000Z,,4,,,,7668,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-003667,2024-05-01,2024-04-29,2024-05-01T15:19:47.000Z,,4,,,,4964,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0000020286-24-000030,2024-04-25,2024-03-31,2024-04-25T16:09:12.000Z,34,10-Q,000-04604,24876339,,13487559,1,1,cinf-20240331.htm,10-Q
0000020286-24-000029,2024-04-25,2024-04-25,2024-04-25T16:07:47.000Z,34,8-K,000-04604,24876295,"2.02,9.01",2947830,1,1,cinf-20240425.htm,8-K
0000020286-24-000022,2024-03-20,,2024-03-20T09:13:23.000Z,34,DEFA14A,000-04604,24766487,,8881630,0,0,proxystatement-2024xadditi.htm,DEFA14A
0000020286-24-000021,2024-03-20,2024-05-04,2024-03-20T09:12:27.000Z,34,DEF 14A,000-04604,24766481,,14375129,1,1,cinf-20240319.htm,DEF 14A
0001562180-24-002669,2024-03-14,2024-03-12,2024-03-14T15:29:15.000Z,,4,,,,9162,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-002567,2024-03-12,2024-03-08,2024-03-12T15:24:33.000Z,,4,,,,4672,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-002236,2024-03-05,2024-03-01,2024-03-05T15:29:00.000Z,,4,,,,20027,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-002235,2024-03-05,2024-03-01,2024-03-05T15:28:46.000Z,,4,,,,19037,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-002234,2024-03-05,2024-03-01,2024-03-05T15:28:34.000Z,,4,,,,9138,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-002233,2024-03-05,2024-03-01,2024-03-05T15:28:22.000Z,,4,,,,20691,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-002232,2024-03-05,2024-03-01,2024-03-05T15:28:11.000Z,,4,,,,19057,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-002231,2024-03-05,2024-03-01,2024-03-05T15:27:56.000Z,,4,,,,21387,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-002230,2024-03-05,2024-03-01,2024-03-05T15:27:42.000Z,,4,,,,19110,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-002229,2024-03-05,2024-03-01,2024-03-05T15:27:28.000Z,,4,,,,20601,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-002228,2024-03-05,2024-03-01,2024-03-05T15:27:23.000Z,,4,,,,19053,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-002227,2024-03-05,2024-03-01,2024-03-05T15:27:01.000Z,,4,,,,19065,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-002226,2024-03-05,2024-03-01,2024-03-05T15:26:42.000Z,,4,,,,19115,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-002225,2024-03-05,2024-03-01,2024-03-05T15:26:31.000Z,,4,,,,19740,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-002224,2024-03-05,2024-03-01,2024-03-05T15:26:20.000Z,,4,,,,19746,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-002223,2024-03-05,2024-03-01,2024-03-05T15:26:02.000Z,,4,,,,19728,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-002053,2024-03-04,2024-02-29,2024-03-04T15:42:12.000Z,,4,,,,10795,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-002007,2024-03-01,2024-02-28,2024-03-01T15:22:40.000Z,,4,,,,6255,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0000020286-24-000014,2024-02-26,2023-12-31,2024-02-26T14:04:30.000Z,34,10-K,000-04604,24676787,,31704068,1,1,cinf-20231231.htm,10-K
0001562180-24-001610,2024-02-22,2024-02-20,2024-02-22T15:17:55.000Z,,4,,,,8467,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-001501,2024-02-21,2024-02-19,2024-02-21T15:39:25.000Z,,4,,,,16145,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-001500,2024-02-21,2024-02-19,2024-02-21T15:38:39.000Z,,4,,,,10745,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-001499,2024-02-21,2024-02-19,2024-02-21T15:38:13.000Z,,4,,,,11011,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-001498,2024-02-21,2024-02-19,2024-02-21T15:38:03.000Z,,4,,,,11439,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-001497,2024-02-21,2024-02-19,2024-02-21T15:37:38.000Z,,4,,,,11722,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-001496,2024-02-21,2024-02-19,2024-02-21T15:37:18.000Z,,4,,,,10734,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-001495,2024-02-21,2024-02-19,2024-02-21T15:36:58.000Z,,4,,,,10810,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-001494,2024-02-21,2024-02-19,2024-02-21T15:35:44.000Z,,4,,,,10751,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-001493,2024-02-21,2024-02-19,2024-02-21T15:35:24.000Z,,4,,,,11676,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
