accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000028412-24-000268,2024-05-02,2024-04-30,2024-05-02T16:20:12.000Z,,4,,,,4860,0,0,xslF345X05/wk-form4_1714681195.xml,FORM 4
0000028412-24-000266,2024-05-02,2024-04-30,2024-05-02T16:17:21.000Z,,4,,,,4744,0,0,xslF345X05/wk-form4_1714681025.xml,FORM 4
0000028412-24-000264,2024-04-26,2024-04-23,2024-04-26T16:37:31.000Z,34,8-K,001-10706,24884535,"5.02,5.07",187594,1,1,cma-20240423.htm,8-K
0000028412-24-000263,2024-04-26,2024-03-31,2024-04-26T16:34:58.000Z,34,10-Q,001-10706,24884475,,17487444,1,1,cma-20240331.htm,10-Q
0000028412-24-000261,2024-04-26,2024-04-24,2024-04-26T16:20:56.000Z,,4,,,,4680,0,0,xslF345X05/wk-form4_1714162844.xml,FORM 4
0000028412-24-000260,2024-04-26,2024-01-26,2024-04-26T16:19:54.000Z,,4,,,,4964,0,0,xslF345X05/wk-form4_1714162783.xml,FORM 4
0000028412-24-000259,2024-04-26,2024-01-22,2024-04-26T16:18:34.000Z,,4/A,,,,5089,0,0,xslF345X05/wk-form4a_1714162703.xml,FORM 4/A
0000028412-24-000253,2024-04-25,2024-04-23,2024-04-25T16:17:22.000Z,,4,,,,4825,0,0,xslF345X05/wk-form4_1714076233.xml,FORM 4
0001959173-24-003031,2024-04-24,,2024-04-24T13:53:31.000Z,33,144,001-10706,24869550,,5673,0,0,xsl144X01/primary_doc.xml,
0000028412-24-000251,2024-04-23,,2024-04-23T16:29:55.000Z,33,S-8,333-278882,24865176,,111485,0,0,a2024ltipforms-8.htm,S-8
0000028412-24-000246,2024-04-18,2024-04-18,2024-04-18T06:27:31.000Z,34,8-K,001-10706,24852749,"2.02,7.01,9.01",6797508,1,1,cma-20240418.htm,8-K
0000028412-24-000242,2024-04-17,2024-04-15,2024-04-17T16:48:41.000Z,,4,,,,4860,0,0,xslF345X05/wk-form4_1713386911.xml,FORM 4
0000028412-24-000239,2024-04-01,2024-03-29,2024-04-01T16:18:26.000Z,,4,,,,4744,0,0,xslF345X05/wk-form4_1712002693.xml,FORM 4
0000028412-24-000237,2024-03-28,,2024-03-28T16:17:21.000Z,34,DEFA14A,001-10706,24799194,,17528,0,0,a2024defa14adraft32624.htm,DEFA14A
0000028412-24-000235,2024-03-13,,2024-03-13T16:21:52.000Z,34,DEFA14A,001-10706,24746229,,19531,0,0,a2024defa14areprop4votesta.htm,DEFA14A
0000028412-24-000230,2024-03-11,2023-12-31,2024-03-11T16:36:28.000Z,34,ARS,001-10706,24738617,,40751878,0,0,a2023_comericaxannualxrepo.pdf,ARS
0000028412-24-000228,2024-03-11,,2024-03-11T16:34:02.000Z,34,DEFA14A,001-10706,24738564,,1824210,0,0,a2024proxynotice.htm,DEFA14A
0000028412-24-000226,2024-03-11,2024-03-11,2024-03-11T16:32:22.000Z,34,DEF 14A,001-10706,24738524,,558425249,1,1,cma-20240311.htm,DEF 14A
0000028412-24-000219,2024-03-05,2024-03-05,2024-03-05T16:17:01.000Z,34,8-K,001-10706,24720647,"7.01,9.01",6573003,1,1,cma-20240305.htm,8-K
