accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000927628-24-000219,2024-05-15,2024-05-14,2024-05-14T17:31:28.000Z,34,8-K,001-13300,24945975,"7.01,9.01",280682,1,1,cof-20240514.htm,8-K
0000927628-24-000216,2024-05-09,2024-05-08,2024-05-09T16:05:43.000Z,,4,,,,4781,0,0,xslF345X05/wk-form4_1715285114.xml,FORM 4
0000927628-24-000214,2024-05-08,,2024-05-08T16:07:28.000Z,33,S-8,333-279208,24925988,,114979,0,0,forms-8may2024aspp.htm,S-8
0001949846-24-000242,2024-05-08,,2024-05-08T14:52:50.000Z,33,144,001-13300,24925451,,4390,0,0,xsl144X01/primary_doc.xml,
0001972362-24-000588,2024-05-06,,2024-05-06T18:16:31.000Z,33,144,001-13300,24918949,,7012,0,0,xsl144X01/primary_doc.xml,
0000927628-24-000208,2024-05-06,2024-05-02,2024-05-06T18:02:04.000Z,,4,,,,4908,0,0,xslF345X05/wk-form4_1715032915.xml,FORM 4
0000927628-24-000206,2024-05-06,2024-05-02,2024-05-06T17:40:48.000Z,,4,,,,4874,0,0,xslF345X05/wk-form4_1715031637.xml,FORM 4
0000927628-24-000205,2024-05-06,2024-05-02,2024-05-06T17:40:35.000Z,,4,,,,4873,0,0,xslF345X05/wk-form4_1715031622.xml,FORM 4
0000927628-24-000204,2024-05-06,2024-05-02,2024-05-06T17:40:20.000Z,,4,,,,4893,0,0,xslF345X05/wk-form4_1715031610.xml,FORM 4
0000927628-24-000203,2024-05-06,2024-05-02,2024-05-06T17:40:08.000Z,,4,,,,4878,0,0,xslF345X05/wk-form4_1715031598.xml,FORM 4
0000927628-24-000202,2024-05-06,2024-05-02,2024-05-06T17:39:56.000Z,,4,,,,4835,0,0,xslF345X05/wk-form4_1715031586.xml,FORM 4
0000927628-24-000201,2024-05-06,2024-05-02,2024-05-06T17:39:45.000Z,,4,,,,4937,0,0,xslF345X05/wk-form4_1715031574.xml,FORM 4
0000927628-24-000200,2024-05-06,2024-05-02,2024-05-06T17:39:32.000Z,,4,,,,4732,0,0,xslF345X05/wk-form4_1715031562.xml,FORM 4
0000927628-24-000199,2024-05-06,2024-05-02,2024-05-06T17:39:19.000Z,,4,,,,4895,0,0,xslF345X05/wk-form4_1715031548.xml,FORM 4
0000927628-24-000198,2024-05-06,2024-05-02,2024-05-06T17:39:05.000Z,,4,,,,4826,0,0,xslF345X05/wk-form4_1715031536.xml,FORM 4
0000927628-24-000197,2024-05-06,2024-05-02,2024-05-06T17:38:53.000Z,,4,,,,4940,0,0,xslF345X05/wk-form4_1715031523.xml,FORM 4
0000927628-24-000179,2024-05-03,2024-05-01,2024-05-03T16:31:51.000Z,,4,,,,4789,0,0,xslF345X05/wk-form4_1714768272.xml,FORM 4
0000927628-24-000178,2024-05-03,2024-05-02,2024-05-03T16:30:49.000Z,34,8-K,001-13300,24913683,"5.02,5.07,9.01",339762,1,1,cof-20240502.htm,8-K
0000927628-24-000176,2024-05-03,2024-05-02,2024-05-03T16:21:25.000Z,,4,,,,5112,0,0,xslF345X05/wk-form4_1714767669.xml,FORM 4
0001972362-24-000562,2024-05-02,,2024-05-02T18:15:50.000Z,33,144,001-13300,24910161,,4306,0,0,xsl144X01/primary_doc.xml,
0000927628-24-000174,2024-05-02,2024-03-31,2024-05-02T16:57:02.000Z,34,10-Q,001-13300,24909415,,26297662,1,1,cof-20240331.htm,10-Q
