accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001086364-24-007635,2024-05-10,,2024-05-10T10:49:33.000Z,34,SC 13G/A,005-85957,24933376,,13848,0,0,us3390411052_051024.txt,
0001628280-24-021986,2024-05-09,2024-03-31,2024-05-09T09:09:04.000Z,34,10-Q,001-35004,24928930,,8934850,1,1,cpay-20240331.htm,10-Q
0001628280-24-021707,2024-05-08,2024-05-08,2024-05-08T16:26:30.000Z,34,8-K,001-35004,24926612,"2.02,7.01,9.01",693071,1,1,flt-20240508.htm,8-K
0001140361-24-022445,2024-04-26,2023-12-31,2024-04-26T16:10:31.000Z,34,ARS,001-35004,24883759,,1057096,0,0,ny20021928x3_ars.pdf,ARS
0001140361-24-022328,2024-04-26,,2024-04-26T13:31:41.000Z,34,DEFA14A,001-35004,24881360,,1451131,0,0,ny20021928x2_defa14a.htm,DEFA14A
0001140361-24-022325,2024-04-26,2024-06-06,2024-04-26T13:30:33.000Z,34,DEF 14A,001-35004,24881345,,13420102,1,1,ny20021928x1_def14a.htm,DEF 14A
0001086364-24-007407,2024-04-05,,2024-04-05T12:21:57.000Z,34,SC 13G/A,005-85957,24825619,,12375,0,0,us3390411052_040424.txt,
0000950170-24-031833,2024-03-14,2024-03-12,2024-03-14T21:21:55.000Z,,4,,,,5202,0,0,xslF345X05/ownership.xml,4
0000950170-24-031046,2024-03-13,2024-03-01,2024-03-13T19:54:00.000Z,,4,,,,19139,0,0,xslF345X05/ownership.xml,4
0001628280-24-010593,2024-03-12,2024-03-07,2024-03-12T16:57:10.000Z,34,8-K,001-35004,24743055,"5.03,7.01,9.01",441823,1,1,flt-20240307.htm,8-K
0000950170-24-030037,2024-03-12,2024-03-07,2024-03-12T16:41:20.000Z,,4,,,,9157,0,0,xslF345X05/ownership.xml,4
