accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001393612-24-000035,2024-05-14,2024-05-14,2024-05-14T16:24:37.000Z,34,8-K,001-33378,24944773,"7.01,9.01",218519,1,1,dfs-20240514.htm,8-K
0000950170-24-058956,2024-05-13,2024-05-09,2024-05-13T19:00:43.000Z,,4,,,,14671,0,0,xslF345X05/ownership.xml,4
0000950170-24-058954,2024-05-13,2024-05-09,2024-05-13T19:00:11.000Z,,4,,,,14677,0,0,xslF345X05/ownership.xml,4
0000950170-24-058951,2024-05-13,2024-05-09,2024-05-13T18:58:58.000Z,,4,,,,14691,0,0,xslF345X05/ownership.xml,4
0000950170-24-058949,2024-05-13,2024-05-09,2024-05-13T18:57:59.000Z,,4,,,,14641,0,0,xslF345X05/ownership.xml,4
0000950170-24-058947,2024-05-13,2024-05-09,2024-05-13T18:57:11.000Z,,4,,,,14636,0,0,xslF345X05/ownership.xml,4
0000950170-24-058946,2024-05-13,2024-05-09,2024-05-13T18:56:39.000Z,,4,,,,14635,0,0,xslF345X05/ownership.xml,4
0000950170-24-058944,2024-05-13,2024-05-09,2024-05-13T18:55:20.000Z,,4,,,,14646,0,0,xslF345X05/ownership.xml,4
0000950170-24-058943,2024-05-13,2024-05-09,2024-05-13T18:54:29.000Z,,4,,,,14599,0,0,xslF345X05/ownership.xml,4
0000950170-24-058941,2024-05-13,2024-05-09,2024-05-13T18:52:35.000Z,,4,,,,14595,0,0,xslF345X05/ownership.xml,4
0001193125-24-136281,2024-05-10,2024-05-09,2024-05-10T17:05:07.000Z,34,8-K,001-33378,24935911,5.07,154264,1,1,d826834d8k.htm,8-K
0000950170-24-052999,2024-05-03,2024-05-01,2024-05-03T16:46:34.000Z,,4,,,,4617,0,0,xslF345X05/ownership.xml,4
0000927628-24-000172,2024-05-02,,2024-05-02T16:06:31.000Z,34,425,001-33378,24908174,,1003439,0,0,a425-05022024presentation.htm,425
0001393612-24-000032,2024-05-01,2024-03-31,2024-05-01T16:27:51.000Z,34,10-Q,001-33378,24903450,,15520044,1,1,dfs-20240331.htm,10-Q
0000927628-24-000164,2024-04-26,,2024-04-26T16:13:57.000Z,34,425,001-33378,24883915,,50435,0,0,a425-04252024cofearningstr.htm,425
0000927628-24-000162,2024-04-26,,2024-04-26T16:11:56.000Z,34,425,001-33378,24883848,,15018439,0,0,a425-04262024dealwebsite.htm,425
0000950170-24-047690,2024-04-24,2024-04-22,2024-04-24T17:00:36.000Z,,4,,,,4590,0,0,xslF345X05/ownership.xml,4
0000950170-24-047669,2024-04-24,2024-04-22,2024-04-24T16:53:36.000Z,,3,,,,14545,0,0,xslF345X02/ownership.xml,3
0000927628-24-000151,2024-04-22,,2024-04-22T17:08:08.000Z,34,425,001-33378,24861950,,27592,0,0,a425-04222024newspaperarti.htm,425
0001193125-24-104645,2024-04-22,,2024-04-22T15:04:26.000Z,34,425,001-33378,24860972,,20016,0,0,d828866d425.htm,425
0000950170-24-045169,2024-04-17,2024-04-15,2024-04-17T17:00:43.000Z,,4,,,,4571,0,0,xslF345X05/ownership.xml,4
0000950170-24-045162,2024-04-17,2024-04-15,2024-04-17T16:57:54.000Z,,3,,,,15138,0,0,xslF345X02/ownership.xml,3
0001393612-24-000029,2024-04-17,,2024-04-17T16:16:36.000Z,34,425,001-33378,24851272,,4492223,0,0,a1q24earnings8k.htm,425
0001393612-24-000028,2024-04-17,2024-04-17,2024-04-17T16:15:43.000Z,34,8-K,001-33378,24851260,"2.02,9.01",4675087,1,1,dfs-20240417.htm,8-K
0000950170-24-044807,2024-04-16,2024-04-12,2024-04-16T16:31:36.000Z,,4,,,,8812,0,0,xslF345X05/ownership.xml,4
0000950170-24-041334,2024-04-03,2024-04-01,2024-04-03T17:36:12.000Z,,4,,,,14947,0,0,xslF345X05/ownership.xml,4
0001393612-24-000025,2024-04-02,,2024-04-02T16:52:47.000Z,34,DEFA14A,001-33378,24815210,,907305,0,0,a2024discoverproxysuppleme.htm,DEFA14A
0001193125-24-078783,2024-03-27,2024-03-26,2024-03-27T16:01:53.000Z,34,8-K,001-33378,24790514,"5.02,9.01",215042,1,1,d814436d8k.htm,8-K
0000950170-24-035427,2024-03-22,2024-03-20,2024-03-22T16:49:12.000Z,,4,,,,4591,0,0,xslF345X05/ownership.xml,4
0000950170-24-035424,2024-03-22,2024-03-18,2024-03-22T16:47:51.000Z,,3,,,,14591,0,0,xslF345X02/ownership.xml,3
0000927628-24-000142,2024-03-21,,2024-03-21T16:06:38.000Z,34,425,001-33378,24771340,,25465,0,0,a425-03212024newspaperarti.htm,425
0001393612-24-000023,2024-03-15,2023-12-31,2024-03-15T09:28:35.000Z,34,ARS,001-33378,24752777,,10175040,0,0,dfs12312023ars.pdf,ARS
0001393612-24-000022,2024-03-15,,2024-03-15T09:24:57.000Z,34,DEFA14A,001-33378,24752769,,3900785,0,0,a2024noticeandaccess.htm,DEFA14A
0001393612-24-000020,2024-03-15,2024-05-09,2024-03-15T09:19:01.000Z,34,DEF 14A,001-33378,24752757,,47193136,1,1,dfs-20240315.htm,DEF 14A
0001393612-24-000017,2024-03-14,2024-03-14,2024-03-14T16:35:57.000Z,34,8-K,001-33378,24750787,"7.01,9.01",218151,1,1,dfs-20240314.htm,8-K
0001193125-24-064255,2024-03-11,,2024-03-11T06:08:58.000Z,34,425,001-33378,24736461,,1948807,0,0,d796210d425.htm,425
0000927628-24-000114,2024-03-06,,2024-03-06T16:06:16.000Z,34,425,001-33378,24725879,,94790,0,0,a425-03052024conference.htm,425
0000927628-24-000101,2024-02-27,,2024-02-27T16:45:56.000Z,34,425,001-33378,24687788,,107209,0,0,a425-02272024conference.htm,425
0000927628-24-000099,2024-02-27,,2024-02-27T16:38:52.000Z,34,425,001-33378,24687637,,89832,0,0,a425-02272024.htm,425
0000950170-24-020352,2024-02-26,2024-02-22,2024-02-26T17:33:17.000Z,,4,,,,14656,0,0,xslF345X05/ownership.xml,4
0000950170-24-020348,2024-02-26,2024-02-22,2024-02-26T17:31:29.000Z,,4,,,,14650,0,0,xslF345X05/ownership.xml,4
0000950170-24-020340,2024-02-26,2024-02-22,2024-02-26T17:29:29.000Z,,4,,,,14690,0,0,xslF345X05/ownership.xml,4
0000950170-24-020336,2024-02-26,2024-02-22,2024-02-26T17:27:33.000Z,,4,,,,18777,0,0,xslF345X05/ownership.xml,4
0000950170-24-020333,2024-02-26,2024-02-22,2024-02-26T17:25:25.000Z,,4,,,,16194,0,0,xslF345X05/ownership.xml,4
0000950170-24-020328,2024-02-26,2024-02-22,2024-02-26T17:23:20.000Z,,4,,,,14641,0,0,xslF345X05/ownership.xml,4
0000950170-24-020319,2024-02-26,2024-02-22,2024-02-26T17:20:38.000Z,,4,,,,14651,0,0,xslF345X05/ownership.xml,4
0000950170-24-020305,2024-02-26,2024-02-22,2024-02-26T17:17:03.000Z,,4,,,,16206,0,0,xslF345X05/ownership.xml,4
0000950170-24-020284,2024-02-26,2024-02-22,2024-02-26T17:12:03.000Z,,4,,,,14674,0,0,xslF345X05/ownership.xml,4
0001393612-24-000010,2024-02-23,2023-12-31,2024-02-23T16:31:52.000Z,34,10-K,001-33378,24671735,,28086974,1,1,dfs-20231231.htm,10-K
0001193125-24-042832,2024-02-22,,2024-02-22T16:08:53.000Z,34,425,001-33378,24664776,,628476,0,0,d780383d425.htm,425
0001193125-24-042828,2024-02-22,,2024-02-22T16:07:30.000Z,34,425,001-33378,24664739,,641841,0,0,d775523d425.htm,425
0001193125-24-042824,2024-02-22,2024-02-19,2024-02-22T16:05:44.000Z,34,8-K,001-33378,24664681,"1.01,9.01",900600,1,1,d775523d8k.htm,8-K
0001193125-24-040125,2024-02-20,,2024-02-20T17:19:03.000Z,34,425,001-33378,24654934,,188045,0,0,d797639d425.htm,425
0001193125-24-040112,2024-02-20,,2024-02-20T17:11:05.000Z,34,425,001-33378,24654773,,17781,0,0,d787572d425.htm,425
0001193125-24-040105,2024-02-20,,2024-02-20T17:10:01.000Z,34,425,001-33378,24654754,,18031,0,0,d768798d425.htm,425
0001193125-24-040102,2024-02-20,,2024-02-20T17:08:57.000Z,34,425,001-33378,24654735,,17645,0,0,d745427d425.htm,425
0001193125-24-040101,2024-02-20,,2024-02-20T17:08:26.000Z,34,425,001-33378,24654726,,17655,0,0,d783927d425.htm,425
0001193125-24-040097,2024-02-20,,2024-02-20T17:07:51.000Z,34,425,001-33378,24654718,,17767,0,0,d783947d425.htm,425
0001193125-24-040094,2024-02-20,,2024-02-20T17:06:02.000Z,34,425,001-33378,24654690,,56420,0,0,d740501d425.htm,425
0001193125-24-040090,2024-02-20,,2024-02-20T17:04:59.000Z,34,425,001-33378,24654662,,19582,0,0,d489331d425.htm,425
0001193125-24-039275,2024-02-20,,2024-02-20T06:27:27.000Z,34,425,001-33378,24650599,,20800,0,0,d743843d425.htm,425
0001193125-24-039273,2024-02-20,,2024-02-20T06:26:29.000Z,34,425,001-33378,24650598,,2437966,0,0,d733833d425.htm,425
0001193125-24-039259,2024-02-20,,2024-02-20T06:18:06.000Z,34,425,001-33378,24650582,,6955327,0,0,d772981d425.htm,425
0001193125-24-039251,2024-02-20,2024-02-19,2024-02-20T06:16:05.000Z,34,8-K,001-33378,24650573,"8.01,9.01",2590871,1,1,d733833d8k.htm,8-K
0001393612-24-000006,2024-02-14,2024-02-14,2024-02-14T17:14:08.000Z,34,8-K,001-33378,24640510,"7.01,9.01",220445,1,1,dfs-20240214.htm,8-K
0001104659-24-020768,2024-02-13,,2024-02-13T17:02:40.000Z,34,SC 13G/A,005-83663,24627993,,13028,0,0,tv0768-discoverfinancialserv.htm,SCHEDULE 13G/A
0001422848-24-000268,2024-02-09,,2024-02-09T18:19:03.000Z,34,SC 13G/A,005-83663,24616801,,18264,0,0,SEC13G_Filing.htm,SEC SCHEDULE 13G
0001209191-24-002880,2024-02-05,2024-02-01,2024-02-05T21:35:21.000Z,,4,,,,6616,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-002879,2024-02-05,2024-02-01,2024-02-05T21:33:55.000Z,,4,,,,6406,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-002877,2024-02-05,2024-02-01,2024-02-05T21:30:59.000Z,,4,,,,6354,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-002874,2024-02-05,2024-02-01,2024-02-05T21:27:28.000Z,,4,,,,6350,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-002870,2024-02-05,2024-02-01,2024-02-05T21:25:32.000Z,,4,,,,6367,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-002867,2024-02-05,2024-02-01,2024-02-05T21:22:08.000Z,,4,,,,6350,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-002864,2024-02-05,2024-02-01,2024-02-05T21:18:44.000Z,,4,,,,6384,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-002859,2024-02-05,2024-02-01,2024-02-05T21:07:07.000Z,,4,,,,4810,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-002858,2024-02-05,2024-02-01,2024-02-05T21:01:04.000Z,,4,,,,8954,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-002857,2024-02-05,2024-02-01,2024-02-05T20:57:51.000Z,,3,,,,11435,0,0,xslF345X02/doc3.xml,FORM 3 SUBMISSION
0001209191-24-002691,2024-02-02,2024-01-31,2024-02-02T17:34:04.000Z,,4,,,,8500,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001193125-24-021863,2024-02-01,2024-02-01,2024-02-01T16:16:53.000Z,34,8-K,001-33378,24587151,8.01,139157,1,1,d763397d8k.htm,8-K
0001209191-24-002412,2024-01-30,2024-01-26,2024-01-30T16:24:05.000Z,,4,,,,5272,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001193125-24-018288,2024-01-29,2024-01-25,2024-01-29T17:16:00.000Z,34,8-K,001-33378,24574682,5.02,141635,1,1,d184379d8k.htm,8-K
0001972362-24-000045,2024-01-26,,2024-01-26T17:33:33.000Z,33,144,001-33378,24569328,,7306,0,0,xsl144X01/primary_doc.xml,
0001086364-24-004402,2024-01-26,,2024-01-26T11:49:45.000Z,34,SC 13G/A,005-83663,24565894,,13782,0,0,us2547091080_012624.txt,
0000000000-24-000932,2024-01-24,,2024-01-24T10:36:09.000Z,,UPLOAD,001-33378,,,39571,0,0,filename1.pdf,
