accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001013237-24-000064,2024-05-16,2024-05-15,2024-05-16T16:09:39.000Z,,4,,,,4972,0,0,xslF345X05/wk-form4_1715890163.xml,FORM 4
0001973379-24-000184,2024-05-15,,2024-05-15T15:38:28.000Z,33,144,001-11869,24949842,,5456,0,0,xsl144X01/primary_doc.xml,
0001013237-24-000062,2024-05-10,2024-05-10,2024-05-10T17:02:04.000Z,,4,,,,9889,0,0,xslF345X05/wk-form4_1715374911.xml,FORM 4
0001973379-24-000178,2024-05-10,,2024-05-10T15:05:35.000Z,33,144,001-11869,24934372,,4806,0,0,xsl144X01/primary_doc.xml,
0001013237-24-000060,2024-05-06,2024-05-06,2024-05-06T17:04:48.000Z,,4,,,,12072,0,0,xslF345X05/wk-form4_1715029478.xml,FORM 4
0001013237-24-000058,2024-05-06,2024-05-03,2024-05-06T17:03:32.000Z,,4,,,,10359,0,0,xslF345X05/wk-form4_1715029394.xml,FORM 4
0001013237-24-000056,2024-05-06,2024-05-03,2024-05-06T16:13:44.000Z,,4,,,,8404,0,0,xslF345X05/wk-form4_1715026409.xml,FORM 4
0001973379-24-000167,2024-05-06,,2024-05-06T13:27:08.000Z,33,144,001-11869,24916753,,4379,0,0,xsl144X01/primary_doc.xml,
0001973379-24-000165,2024-05-03,,2024-05-03T16:31:47.000Z,33,144,001-11869,24913733,,4211,0,0,xsl144X01/primary_doc.xml,
0001013237-24-000054,2024-05-01,2024-05-01,2024-05-01T16:07:35.000Z,,4,,,,8488,0,0,xslF345X05/wk-form4_1714594044.xml,FORM 4
0001959173-24-003099,2024-05-01,,2024-05-01T09:50:34.000Z,33,144,001-11869,24900642,,6359,0,0,xsl144X01/primary_doc.xml,
0001013237-24-000052,2024-04-30,2024-04-30,2024-04-30T16:50:28.000Z,,4,,,,4981,0,0,xslF345X05/wk-form4_1714510218.xml,FORM 4
0001973379-24-000154,2024-04-30,,2024-04-30T12:32:16.000Z,33,144,001-11869,24895513,,4332,0,0,xsl144X01/primary_doc.xml,
0001013237-24-000051,2024-04-03,2024-04-03,2024-04-03T07:33:14.000Z,34,8-K,001-11869,24816859,"7.01,9.01",4674532,1,1,fds-20240403.htm,8-K
0001013237-24-000049,2024-04-03,2024-02-29,2024-04-03T07:29:23.000Z,34,10-Q,001-11869,24816841,,8300154,1,1,fds-20240229.htm,10-Q
0001013237-24-000041,2024-04-01,2024-04-01,2024-04-01T17:10:10.000Z,,4,,,,8488,0,0,xslF345X05/wk-form4_1712005791.xml,FORM 4
0001959173-24-002677,2024-04-01,,2024-04-01T10:10:58.000Z,33,144,001-11869,24806203,,6353,0,0,xsl144X01/primary_doc.xml,
0001013237-24-000039,2024-03-28,2024-03-19,2024-03-28T11:44:51.000Z,,3,,,,116736,0,0,xslF345X02/wk-form3_1711640681.xml,FORM 3
0001013237-24-000036,2024-03-21,2024-03-19,2024-03-21T06:56:51.000Z,34,8-K,001-11869,24769351,"2.02,5.02,9.01",534664,1,1,fds-20240319.htm,8-K
0001013237-24-000031,2024-03-01,2024-03-01,2024-03-01T16:02:49.000Z,,4,,,,8485,0,0,xslF345X05/wk-form4_1709326953.xml,FORM 4
0001959173-24-001628,2024-03-01,,2024-03-01T09:54:06.000Z,33,144,001-11869,24707583,,6359,0,0,xsl144X01/primary_doc.xml,
0001567619-24-000212,2024-02-14,,2024-02-14T10:21:36.000Z,34,SC 13G/A,005-47809,24633642,,113060,0,0,doc1.htm,NONE
0001104659-24-020905,2024-02-13,,2024-02-13T17:04:40.000Z,34,SC 13G/A,005-47809,24628389,,13044,0,0,tv0905-factsetresearchsystem.htm,SCHEDULE 13G/A
0001013237-24-000029,2024-02-05,2024-02-02,2024-02-05T15:30:02.000Z,,4,,,,8022,0,0,xslF345X05/wk-form4_1707164992.xml,FORM 4
0001973379-24-000016,2024-02-02,,2024-02-02T11:25:26.000Z,33,144,001-11869,24589401,,5419,0,0,xsl144X01/primary_doc.xml,
0001013237-24-000027,2024-02-01,2024-02-01,2024-02-01T16:04:36.000Z,,4,,,,8485,0,0,xslF345X05/wk-form4_1706821466.xml,FORM 4
0001959173-24-000537,2024-02-01,,2024-02-01T09:44:04.000Z,33,144,001-11869,24585278,,6359,0,0,xsl144X01/primary_doc.xml,
0001086364-24-002692,2024-01-24,,2024-01-24T17:23:54.000Z,34,SC 13G,005-47809,24557797,,13778,0,0,us3030751057_012424.txt,
0001013237-24-000025,2024-01-18,2024-01-16,2024-01-18T16:40:41.000Z,,4,,,,6810,0,0,xslF345X05/wk-form4_1705614032.xml,FORM 4
0001013237-24-000023,2024-01-18,2024-01-16,2024-01-18T16:39:53.000Z,,4,,,,6800,0,0,xslF345X05/wk-form4_1705613982.xml,FORM 4
0001013237-24-000021,2024-01-18,2024-01-16,2024-01-18T16:38:53.000Z,,4,,,,6843,0,0,xslF345X05/wk-form4_1705613924.xml,FORM 4
0001013237-24-000019,2024-01-18,2024-01-16,2024-01-18T16:37:44.000Z,,4,,,,6813,0,0,xslF345X05/wk-form4_1705613852.xml,FORM 4
0001013237-24-000017,2024-01-18,2024-01-16,2024-01-18T16:36:25.000Z,,4,,,,6873,0,0,xslF345X05/wk-form4_1705613777.xml,FORM 4
0001013237-24-000015,2024-01-18,2024-01-16,2024-01-18T16:34:51.000Z,,4,,,,6793,0,0,xslF345X05/wk-form4_1705613682.xml,FORM 4
0001013237-24-000013,2024-01-18,2024-01-16,2024-01-18T16:31:03.000Z,,4,,,,6785,0,0,xslF345X05/wk-form4_1705613451.xml,FORM 4
0001013237-24-000011,2024-01-18,2024-01-16,2024-01-18T16:29:19.000Z,,4,,,,6830,0,0,xslF345X05/wk-form4_1705613351.xml,FORM 4
0001013237-24-000009,2024-01-05,2023-11-30,2024-01-05T07:58:38.000Z,34,10-Q,001-11869,24514460,,7599162,1,1,fds-20231130.htm,10-Q
0001013237-24-000004,2024-01-03,2024-01-02,2024-01-03T16:06:55.000Z,,4,,,,6654,0,0,xslF345X05/wk-form4_1704315997.xml,FORM 4
0001013237-24-000002,2024-01-03,2024-01-02,2024-01-03T16:04:44.000Z,,4,,,,8485,0,0,xslF345X05/wk-form4_1704315875.xml,FORM 4
0001959173-24-000001,2024-01-02,,2024-01-02T10:00:16.000Z,33,144,001-11869,24500698,,6359,0,0,xsl144X01/primary_doc.xml,
0001013237-23-000203,2023-12-29,2023-12-28,2023-12-29T16:09:51.000Z,,4,,,,8513,0,0,xslF345X05/wk-form4_1703884181.xml,FORM 4
0001973379-23-000258,2023-12-28,,2023-12-28T10:55:00.000Z,33,144,001-11869,231520384,,4215,0,0,xsl144X01/primary_doc.xml,
0001013237-23-000201,2023-12-27,2023-12-26,2023-12-27T16:38:13.000Z,,4,,,,8553,0,0,xslF345X05/wk-form4_1703713085.xml,FORM 4
0001013237-23-000199,2023-12-26,2023-12-21,2023-12-26T16:08:07.000Z,,4,,,,10327,0,0,xslF345X05/wk-form4_1703624876.xml,FORM 4
0001013237-23-000197,2023-12-26,2023-12-21,2023-12-26T16:06:29.000Z,,4,,,,20983,0,0,xslF345X05/wk-form4_1703624780.xml,FORM 4
0001973379-23-000256,2023-12-26,,2023-12-26T11:57:23.000Z,33,144,001-11869,231512020,,4927,0,0,xsl144X01/primary_doc.xml,
0001013237-23-000195,2023-12-21,2023-12-20,2023-12-21T18:02:41.000Z,,4,,,,11105,0,0,xslF345X05/wk-form4_1703199751.xml,FORM 4
0001973379-23-000252,2023-12-21,,2023-12-21T14:48:46.000Z,33,144,001-11869,231504751,,4885,0,0,xsl144X01/primary_doc.xml,
0001973379-23-000251,2023-12-21,,2023-12-21T14:37:55.000Z,33,144,001-11869,231504691,,4897,0,0,xsl144X01/primary_doc.xml,
0001973379-23-000248,2023-12-20,,2023-12-20T15:28:20.000Z,33,144,001-11869,231501235,,4282,0,0,xsl144X01/primary_doc.xml,
0001013237-23-000193,2023-12-19,2023-12-14,2023-12-19T06:58:36.000Z,34,8-K,001-11869,231495592,"2.02,5.07,7.01,9.01",5072533,1,1,fds-20231214.htm,8-K
0001013237-23-000189,2023-12-04,2023-12-04,2023-12-04T16:32:27.000Z,,4,,,,8402,0,0,xslF345X05/wk-form4_1701725537.xml,FORM 4
0001959173-23-005089,2023-12-01,,2023-12-01T10:06:35.000Z,33,144,001-11869,231457855,,6236,0,0,xsl144X01/primary_doc.xml,
0001013237-23-000183,2023-11-14,2023-11-14,2023-11-14T18:10:12.000Z,,4,,,,8401,0,0,xslF345X05/wk-form4_1700003402.xml,FORM 4
0001973379-23-000199,2023-11-14,,2023-11-14T12:40:10.000Z,33,144,001-11869,231403283,,4162,0,0,xsl144X01/primary_doc.xml,
0001013237-23-000181,2023-11-13,2023-11-09,2023-11-13T16:27:07.000Z,,4,,,,6669,0,0,xslF345X05/wk-form4_1699910812.xml,FORM 4
0001013237-23-000179,2023-11-13,2023-11-09,2023-11-13T16:25:24.000Z,,4,,,,6670,0,0,xslF345X05/wk-form4_1699910710.xml,FORM 4
0001013237-23-000177,2023-11-13,2023-11-09,2023-11-13T16:22:53.000Z,,4,,,,11558,0,0,xslF345X05/wk-form4_1699910556.xml,FORM 4
0001013237-23-000175,2023-11-13,2023-11-09,2023-11-13T16:20:55.000Z,,4,,,,6705,0,0,xslF345X05/wk-form4_1699910445.xml,FORM 4
0001013237-23-000173,2023-11-13,2023-11-09,2023-11-13T16:19:10.000Z,,4,,,,12068,0,0,xslF345X05/wk-form4_1699910335.xml,FORM 4
0001013237-23-000170,2023-11-13,2023-11-09,2023-11-13T16:15:56.000Z,,4,,,,6705,0,0,xslF345X05/wk-form4_1699910141.xml,FORM 4
0001013237-23-000168,2023-11-13,2023-11-09,2023-11-13T16:13:42.000Z,,4,,,,6678,0,0,xslF345X05/wk-form4_1699910008.xml,FORM 4
0001013237-23-000166,2023-11-13,2023-11-09,2023-11-13T16:11:16.000Z,,4,,,,6686,0,0,xslF345X05/wk-form4_1699909847.xml,FORM 4
0001013237-23-000164,2023-11-13,2023-11-09,2023-11-13T16:08:46.000Z,,4,,,,7409,0,0,xslF345X05/wk-form4_1699909711.xml,FORM 4
0001973379-23-000198,2023-11-13,,2023-11-13T16:05:56.000Z,33,144,001-11869,231398615,,4138,0,0,xsl144X01/primary_doc.xml,
0001013237-23-000162,2023-11-13,2023-11-09,2023-11-13T16:05:05.000Z,,4,,,,6706,0,0,xslF345X05/wk-form4_1699909493.xml,FORM 4
0001973379-23-000197,2023-11-13,,2023-11-13T11:10:38.000Z,33,144,001-11869,231396509,,4153,0,0,xsl144X01/primary_doc.xml,
0001013237-23-000160,2023-11-03,2023-11-01,2023-11-03T20:16:12.000Z,,4,,,,6985,0,0,xslF345X05/wk-form4_1699056963.xml,FORM 4
0001013237-23-000158,2023-11-03,2023-11-01,2023-11-03T20:13:46.000Z,,4,,,,21067,0,0,xslF345X05/wk-form4_1699056817.xml,FORM 4
0001013237-23-000156,2023-11-03,2023-11-01,2023-11-03T20:11:55.000Z,,4,,,,10559,0,0,xslF345X05/wk-form4_1699056704.xml,FORM 4
0001013237-23-000154,2023-11-03,2023-11-01,2023-11-03T20:08:49.000Z,,4,,,,6950,0,0,xslF345X05/wk-form4_1699056519.xml,FORM 4
