accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001136893-24-000067,2024-05-22,,2024-05-22T16:15:25.000Z,34,DEFA14A,001-16427,24973451,,471933,0,0,defa14a-proxyvoting2024.htm,DEFA14A
0001193125-24-133216,2024-05-07,2024-05-07,2024-05-07T16:40:35.000Z,34,8-K,001-16427,24922703,"2.02,9.01",17247258,1,1,d832826d8k.htm,8-K
0001136893-24-000063,2024-05-07,2024-03-31,2024-05-07T16:16:28.000Z,34,10-Q,001-16427,24922133,,8644882,1,1,fis-20240331.htm,10-Q
0001136893-24-000060,2024-05-06,2024-05-06,2024-05-06T16:07:29.000Z,34,8-K,001-16427,24917528,"2.02,9.01",955619,1,1,fis-20240506.htm,8-K
0001193125-24-118132,2024-04-26,2023-12-31,2024-04-26T16:22:54.000Z,34,ARS,001-16427,24884169,,9025205,0,0,d680197dars.pdf,ARS
0001193125-24-118117,2024-04-26,,2024-04-26T16:19:58.000Z,34,DEFA14A,001-16427,24884080,,98569,0,0,d96146ddefa14a.htm,DEFA14A
0001193125-24-118098,2024-04-26,2024-06-05,2024-04-26T16:18:16.000Z,34,DEF 14A,001-16427,24884048,,21096233,1,1,d96146ddef14a.htm,DEF 14A
0001136893-24-000054,2024-04-23,2024-04-22,2024-04-23T16:25:14.000Z,,4,,,,11434,0,0,xslF345X05/wk-form4_1713903904.xml,FORM 4
0001136893-24-000052,2024-04-17,2024-04-15,2024-04-17T16:54:44.000Z,,4,,,,4932,0,0,xslF345X05/wk-form4_1713387274.xml,FORM 4
0001193125-24-088508,2024-04-05,2024-04-01,2024-04-05T16:25:00.000Z,34,8-K,001-16427,24826834,5.02,240996,1,1,d759372d8k.htm,8-K
0001136893-24-000050,2024-04-02,2024-03-29,2024-04-02T16:58:40.000Z,,4,,,,13886,0,0,xslF345X05/wk-form4_1712091506.xml,FORM 4
0001136893-24-000048,2024-03-19,2024-03-15,2024-03-19T17:07:10.000Z,,4,,,,8392,0,0,xslF345X05/wk-form4_1710882418.xml,FORM 4
0001193125-24-069200,2024-03-15,2024-03-11,2024-03-15T16:32:00.000Z,34,8-K,001-16427,24755325,5.02,242729,1,1,d705411d8k.htm,8-K
0001136893-24-000046,2024-03-12,2024-03-08,2024-03-12T16:22:31.000Z,,4,,,,5621,0,0,xslF345X05/wk-form4_1710274924.xml,FORM 4
0001136893-24-000044,2024-03-12,2024-03-08,2024-03-12T16:20:57.000Z,,4,,,,8601,0,0,xslF345X05/wk-form4_1710274825.xml,FORM 4
0001136893-24-000042,2024-03-12,2024-03-08,2024-03-12T16:19:12.000Z,,4,,,,5587,0,0,xslF345X05/wk-form4_1710274736.xml,FORM 4
0001136893-24-000040,2024-03-12,2024-03-08,2024-03-12T16:17:45.000Z,,4,,,,5595,0,0,xslF345X05/wk-form4_1710274656.xml,FORM 4
0001136893-24-000038,2024-03-12,2024-03-08,2024-03-12T16:16:27.000Z,,4,,,,5591,0,0,xslF345X05/wk-form4_1710274565.xml,FORM 4
0001136893-24-000036,2024-03-12,2024-03-08,2024-03-12T16:14:00.000Z,,4,,,,8627,0,0,xslF345X05/wk-form4_1710274430.xml,FORM 4
0001136893-24-000034,2024-03-12,2024-03-08,2024-03-12T16:11:47.000Z,,4,,,,9950,0,0,xslF345X05/wk-form4_1710274284.xml,FORM 4
0001193125-24-062220,2024-03-07,2024-03-04,2024-03-07T16:25:05.000Z,34,8-K,001-16427,24730498,"8.01,9.01",378411,1,1,d763152d8k.htm,8-K
0001086364-24-007227,2024-03-07,,2024-03-07T12:29:51.000Z,34,SC 13G/A,005-62419,24729038,,14060,0,0,us31620m1062_030624.txt,
0001136893-24-000032,2024-03-01,2024-02-25,2024-03-01T16:20:58.000Z,,3,,,,12025,0,0,xslF345X02/wk-form3_1709328029.xml,FORM 3
0001136893-24-000031,2024-03-01,2024-02-28,2024-03-01T16:20:01.000Z,,4,,,,13450,0,0,xslF345X05/wk-form4_1709327980.xml,FORM 4
0001136893-24-000030,2024-03-01,2023-02-28,2024-03-01T16:19:08.000Z,,4/A,,,,13939,0,0,xslF345X05/wk-form4a_1709327938.xml,FORM 4/A
0001136893-24-000029,2024-03-01,2024-02-28,2024-03-01T16:18:07.000Z,,4,,,,13392,0,0,xslF345X05/wk-form4_1709327862.xml,FORM 4
0001136893-24-000028,2024-03-01,2023-02-28,2024-03-01T16:17:05.000Z,,4/A,,,,13882,0,0,xslF345X05/wk-form4a_1709327806.xml,FORM 4/A
0001136893-24-000026,2024-03-01,2024-02-28,2024-03-01T16:15:39.000Z,,4,,,,13421,0,0,xslF345X05/wk-form4_1709327730.xml,FORM 4
0001136893-24-000025,2024-03-01,2023-02-28,2024-03-01T16:14:41.000Z,,4/A,,,,13904,0,0,xslF345X05/wk-form4a_1709327662.xml,FORM 4/A
0001136893-24-000024,2024-03-01,2023-02-28,2024-03-01T16:13:30.000Z,,4/A,,,,13891,0,0,xslF345X05/wk-form4a_1709327595.xml,FORM 4/A
0001193125-24-046894,2024-02-27,2024-02-27,2024-02-27T06:07:35.000Z,34,8-K,001-16427,24681825,"8.01,9.01",319490,1,1,d798383d8k.htm,8-K
0001136893-24-000015,2024-02-26,2023-12-31,2024-02-26T16:16:54.000Z,34,10-K,001-16427,24678942,,17030751,1,1,fis-20231231.htm,10-K
0001136893-24-000012,2024-02-26,2024-02-26,2024-02-26T07:02:46.000Z,34,8-K,001-16427,24673514,"2.02,9.01",1210614,1,1,fis-20240226.htm,8-K
0001193125-24-044681,2024-02-23,2024-02-19,2024-02-23T17:14:16.000Z,34,8-K,001-16427,24672560,"5.02,9.01",428738,1,1,d764426d8k.htm,8-K
0001193125-24-033344,2024-02-13,,2024-02-13T13:19:25.000Z,34,SC 13G,005-62419,24624266,,38602,0,0,d770535dsc13g.htm,SC 13G
0001104659-24-013949,2024-02-12,,2024-02-12T11:21:34.000Z,34,SC 13G/A,005-62419,24618225,,13256,0,0,tv0001-fidelitynationalinfor.htm,SCHEDULE 13G/A
0001104659-24-013906,2024-02-12,,2024-02-12T10:50:01.000Z,34,SC 13G/A,005-62419,24618053,,13256,0,0,tv0001-fidelitynationalinfor.htm,SCHEDULE 13G/A
0001193125-24-021392,2024-02-01,2024-01-30,2024-02-01T07:13:04.000Z,34,8-K,001-16427,24585020,"1.01,2.01,5.02,7.01,9.01",521122,1,1,d761353d8k.htm,FORM 8-K
0001136893-24-000008,2024-01-24,2024-01-23,2024-01-24T18:03:21.000Z,,4,,,,9919,0,0,xslF345X05/wk-form4_1706137388.xml,FORM 4
0001136893-24-000006,2024-01-24,2024-01-23,2024-01-24T18:02:00.000Z,,4,,,,9958,0,0,xslF345X05/wk-form4_1706137309.xml,FORM 4
0001086364-24-002376,2024-01-24,,2024-01-24T14:27:20.000Z,34,SC 13G/A,005-62419,24555939,,14061,0,0,us31620m1062_012424.txt,
0001136893-24-000004,2024-01-18,2024-01-17,2024-01-18T16:29:14.000Z,,4,,,,8533,0,0,xslF345X05/wk-form4_1705613341.xml,FORM 4
0001136893-24-000002,2024-01-18,2024-01-17,2024-01-18T16:27:03.000Z,,4,,,,7919,0,0,xslF345X05/wk-form4_1705613212.xml,FORM 4
0000000000-23-013242,2023-12-05,,2023-12-05T14:36:07.000Z,,UPLOAD,,,,39945,0,0,filename1.pdf,
0001136893-23-000150,2023-12-01,2023-11-30,2023-12-01T16:18:28.000Z,,4,,,,6411,0,0,xslF345X05/wk-form4_1701465499.xml,FORM 4
0001193125-23-286173,2023-11-30,,2023-11-30T14:48:55.000Z,,CORRESP,,,,21303,0,0,filename1.htm,
0001136893-23-000148,2023-11-07,2023-09-30,2023-11-07T16:16:36.000Z,34,10-Q,001-16427,231384156,,9650995,1,1,fis-20230930.htm,10-Q
0001136893-23-000145,2023-11-07,2023-11-07,2023-11-07T07:05:14.000Z,34,8-K,001-16427,231381512,"2.02,9.01",1352561,1,1,fis-20231107.htm,8-K
0001136893-23-000141,2023-11-03,2023-11-02,2023-11-03T16:21:58.000Z,,4,,,,8421,0,0,xslF345X05/wk-form4_1699042905.xml,FORM 4
0000000000-23-011979,2023-11-01,,2023-11-01T18:36:05.000Z,,UPLOAD,,,,43927,0,0,filename1.pdf,
0001136893-23-000139,2023-10-19,2023-10-17,2023-10-19T16:29:34.000Z,,4,,,,5453,0,0,xslF345X05/wk-form4_1697747364.xml,FORM 4
