accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000035527-24-000173,2024-05-20,2024-05-16,2024-05-20T16:21:40.000Z,,4,,,,13415,0,0,xslF345X05/wk-form4_1716236481.xml,FORM 4
0000035527-24-000170,2024-05-15,2024-05-13,2024-05-15T16:04:07.000Z,,4,,,,14303,0,0,xslF345X05/wk-form4_1715803414.xml,FORM 4
0001244422-24-000003,2024-05-13,,2024-05-13T10:07:02.000Z,33,144,001-33653,24937343,,10053,0,0,xsl144X01/primary_doc.xml,
0000035527-24-000166,2024-05-07,2024-03-31,2024-05-07T17:23:12.000Z,34,10-Q,001-33653,24923320,,29879021,1,1,fitb-20240331.htm,10-Q
0000035527-24-000162,2024-05-02,2024-05-01,2024-05-02T16:24:09.000Z,,4,,,,4512,0,0,xslF345X05/wk-form4_1714681429.xml,FORM 4
0001959173-24-003133,2024-05-01,,2024-05-01T15:43:38.000Z,33,144,001-33653,24902712,,5027,0,0,xsl144X01/primary_doc.xml,
0000035527-24-000160,2024-04-23,2024-04-23,2024-04-23T16:00:26.000Z,,4,,,,5865,0,0,xslF345X05/wk-form4_1713902416.xml,FORM 4
0001965301-24-000057,2024-04-23,,2024-04-23T09:41:27.000Z,33,144,001-33653,24862917,,5885,0,0,xsl144X01/primary_doc.xml,
0000950123-24-003447,2024-04-23,2024-03-31,2024-04-23T09:38:55.000Z,34,13F-HR,028-03158,24862901,,1220800,0,0,xslForm13F_X02/primary_doc.xml,
0000035527-24-000158,2024-04-22,2024-04-22,2024-04-22T16:20:26.000Z,,4,,,,9927,0,0,xslF345X05/wk-form4_1713817215.xml,FORM 4
0001959173-24-003006,2024-04-22,,2024-04-22T10:57:43.000Z,33,144,001-33653,24859979,,8611,0,0,xsl144X01/primary_doc.xml,
0000035527-24-000156,2024-04-19,2024-04-16,2024-04-19T16:01:03.000Z,34,8-K,001-33653,24857651,"5.02,5.07,9.01",290848,1,1,fitb-20240416.htm,8-K
0000035527-24-000154,2024-04-19,2024-04-19,2024-04-19T06:30:28.000Z,34,8-K,001-33653,24855577,"2.02,7.01,9.01",8904173,1,1,fitb-20240419.htm,8-K
