accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000798354-24-000124,2024-05-17,2024-05-15,2024-05-17T16:30:22.000Z,,4,,,,4979,0,0,xslF345X05/wk-form4_1715977794.xml,FORM 4
0000798354-24-000123,2024-05-17,2024-05-15,2024-05-17T16:29:32.000Z,,4,,,,5694,0,0,xslF345X05/wk-form4_1715977744.xml,FORM 4
0000798354-24-000122,2024-05-17,2024-05-15,2024-05-17T16:28:39.000Z,,4,,,,4776,0,0,xslF345X05/wk-form4_1715977696.xml,FORM 4
0000798354-24-000121,2024-05-17,2024-05-15,2024-05-17T16:27:35.000Z,,4,,,,4916,0,0,xslF345X05/wk-form4_1715977623.xml,FORM 4
0000798354-24-000120,2024-05-17,2024-05-15,2024-05-17T16:26:23.000Z,,4,,,,4781,0,0,xslF345X05/wk-form4_1715977570.xml,FORM 4
0000798354-24-000119,2024-05-17,2024-05-15,2024-05-17T16:25:31.000Z,,4,,,,4802,0,0,xslF345X05/wk-form4_1715977514.xml,FORM 4
0000798354-24-000118,2024-05-17,2024-05-15,2024-05-17T16:24:36.000Z,,4,,,,4851,0,0,xslF345X05/wk-form4_1715977445.xml,FORM 4
0000798354-24-000117,2024-05-17,2024-05-15,2024-05-17T16:23:18.000Z,,4,,,,4857,0,0,xslF345X05/wk-form4_1715977374.xml,FORM 4
0000798354-24-000116,2024-05-17,2024-05-15,2024-05-17T16:22:08.000Z,,4,,,,4775,0,0,xslF345X05/wk-form4_1715977311.xml,FORM 4
0000798354-24-000115,2024-05-17,2024-05-15,2024-05-17T16:20:55.000Z,,4,,,,11638,0,0,xslF345X05/wk-form4_1715977216.xml,FORM 4
0001193125-24-141706,2024-05-17,2024-05-15,2024-05-17T16:03:01.000Z,34,8-K,001-38962,24959473,5.07,228165,1,1,d802756d8k.htm,8-K
0001965353-24-000181,2024-05-15,,2024-05-15T16:07:55.000Z,33,144,001-38962,24950557,,6057,0,0,xsl144X01/primary_doc.xml,
0000798354-24-000104,2024-05-01,2024-04-30,2024-05-01T16:11:27.000Z,,4,,,,9217,0,0,xslF345X05/wk-form4_1714594273.xml,FORM 4
0000798354-24-000103,2024-05-01,2024-04-30,2024-05-01T16:10:52.000Z,,4,,,,6600,0,0,xslF345X05/wk-form4_1714594239.xml,FORM 4
0000798354-24-000100,2024-04-24,2024-03-31,2024-04-24T07:19:20.000Z,34,10-Q,001-38962,24866714,,8290812,1,1,fisv-20240331.htm,10-Q
0000798354-24-000098,2024-04-23,2024-04-23,2024-04-23T07:14:03.000Z,34,8-K,001-38962,24862682,"2.02,9.01",768834,1,1,fisv-20240423.htm,8-K
0000798354-24-000096,2024-04-16,2024-04-15,2024-04-16T16:52:08.000Z,,4,,,,13488,0,0,xslF345X05/wk-form4_1713300718.xml,FORM 4
0001965353-24-000150,2024-04-15,,2024-04-15T14:46:16.000Z,33,144,001-38962,24844309,,5461,0,0,xsl144X01/primary_doc.xml,
0001140361-24-017625,2024-04-03,2023-12-31,2024-04-03T16:34:28.000Z,34,ARS,001-38962,24819366,,4295076,0,0,ny20017254x3_ars.pdf,ARS
0001140361-24-017623,2024-04-03,,2024-04-03T16:33:09.000Z,34,DEFA14A,001-38962,24819321,,2859080,0,0,ny20017254x2_defa14a.htm,DEFA14A
0001140361-24-017619,2024-04-03,2024-05-15,2024-04-03T16:31:28.000Z,34,DEF 14A,001-38962,24819280,,8535833,1,1,ny20017254x1_def14a.htm,DEF 14A
0000798354-24-000094,2024-04-02,2024-03-31,2024-04-02T16:30:00.000Z,,4,,,,6198,0,0,xslF345X05/wk-form4_1712089782.xml,FORM 4
0000798354-24-000093,2024-04-02,2024-03-31,2024-04-02T16:29:12.000Z,,4,,,,5982,0,0,xslF345X05/wk-form4_1712089740.xml,FORM 4
0000798354-24-000092,2024-04-02,2024-03-31,2024-04-02T16:28:24.000Z,,4,,,,5993,0,0,xslF345X05/wk-form4_1712089693.xml,FORM 4
0000798354-24-000091,2024-04-02,2024-03-31,2024-04-02T16:27:32.000Z,,4,,,,6022,0,0,xslF345X05/wk-form4_1712089636.xml,FORM 4
0000798354-24-000090,2024-04-02,2024-03-31,2024-04-02T16:26:39.000Z,,4,,,,6071,0,0,xslF345X05/wk-form4_1712089588.xml,FORM 4
0000798354-24-000089,2024-04-02,2024-03-31,2024-04-02T16:25:45.000Z,,4,,,,5995,0,0,xslF345X05/wk-form4_1712089531.xml,FORM 4
