accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001127602-24-014985,2024-05-10,2024-05-09,2024-05-10T16:12:46.000Z,,4,,,,4357,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001959173-24-003372,2024-05-09,,2024-05-09T11:10:30.000Z,33,144,001-16111,24929252,,5374,0,0,xsl144X01/primary_doc.xml,
0001127602-24-013758,2024-05-01,2024-04-26,2024-05-01T16:46:37.000Z,,4,,,,4488,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001123360-24-000014,2024-05-01,2024-03-31,2024-05-01T09:20:26.000Z,34,10-Q,001-16111,24900498,,10932089,1,1,gpn-20240331.htm,10-Q
0001123360-24-000012,2024-05-01,2024-05-01,2024-05-01T07:01:46.000Z,34,8-K,001-16111,24900017,"2.02,9.01",3517516,1,1,gpn-20240501.htm,8-K
0001127602-24-013674,2024-04-30,2024-04-26,2024-04-30T18:37:44.000Z,,4,,,,4290,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0000950170-24-050611,2024-04-30,2024-04-26,2024-04-30T17:00:07.000Z,,4,,,,6444,0,0,xslF345X05/ownership.xml,4
0001127602-24-013652,2024-04-30,2024-04-26,2024-04-30T16:55:59.000Z,,4,,,,4430,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-013650,2024-04-30,2024-04-26,2024-04-30T16:53:51.000Z,,4,,,,9750,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-013648,2024-04-30,2024-04-26,2024-04-30T16:51:31.000Z,,4,,,,4467,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-013646,2024-04-30,2024-04-26,2024-04-30T16:47:53.000Z,,4,,,,5141,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-013640,2024-04-30,2024-04-26,2024-04-30T16:35:02.000Z,,4,,,,7310,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-013638,2024-04-30,2024-04-26,2024-04-30T16:31:11.000Z,,4,,,,5408,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-013633,2024-04-30,2024-04-26,2024-04-30T16:22:23.000Z,,4,,,,4462,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-013630,2024-04-30,2024-04-26,2024-04-30T16:16:38.000Z,,4,,,,4554,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001123360-24-000008,2024-04-29,2024-04-25,2024-04-29T16:13:46.000Z,34,8-K,001-16111,24890929,5.07,3122414,1,1,gpn-20240425.htm,8-K
0001104659-24-034171,2024-03-14,2023-12-31,2024-03-14T06:12:23.000Z,34,ARS,001-16111,24747837,,1078813,0,0,tm246506d2_ars.pdf,ARS
0001104659-24-034165,2024-03-14,,2024-03-14T06:10:23.000Z,34,DEFA14A,001-16111,24747830,,1017620,0,0,tm2331241d4_defa14a.htm,DEFA14A
0001104659-24-034148,2024-03-14,2024-04-25,2024-03-14T06:06:32.000Z,34,DEF 14A,001-16111,24747811,,12012265,1,1,tm2331241d3_def14a.htm,DEF14A
0001127602-24-008595,2024-03-05,2024-03-01,2024-03-05T17:02:19.000Z,,4,,,,4575,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-008581,2024-03-05,2024-03-01,2024-03-05T16:58:45.000Z,,4,,,,8745,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-008572,2024-03-05,2024-03-01,2024-03-05T16:55:58.000Z,,4,,,,6929,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-008563,2024-03-05,2024-03-01,2024-03-05T16:53:08.000Z,,4,,,,8614,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-008553,2024-03-05,2024-03-01,2024-03-05T16:49:50.000Z,,4,,,,9316,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-008548,2024-03-05,2024-03-01,2024-03-05T16:46:20.000Z,,4,,,,8665,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006665,2024-02-23,2024-02-21,2024-02-23T16:31:28.000Z,,4,,,,8365,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006645,2024-02-23,2024-02-21,2024-02-23T16:27:20.000Z,,4,,,,7714,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006623,2024-02-23,2024-02-21,2024-02-23T16:21:43.000Z,,4,,,,5873,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006597,2024-02-23,2024-02-21,2024-02-23T16:16:53.000Z,,4,,,,7662,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006582,2024-02-23,2024-02-21,2024-02-23T16:13:23.000Z,,4,,,,7959,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-006569,2024-02-23,2024-02-21,2024-02-23T16:09:15.000Z,,4,,,,7716,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001104659-24-027012,2024-02-23,2024-02-23,2024-02-23T16:05:35.000Z,34,8-K,001-16111,24671127,"1.01,2.03,3.02,9.01",1433019,1,1,tm246899d1_8k.htm,FORM 8-K
0001104659-24-026619,2024-02-22,,2024-02-22T17:26:21.000Z,33,S-3ASR,333-277289,24666245,,1119593,0,0,tm246578-1_s3asr.htm,S-3ASR
0001104659-24-025742,2024-02-21,2024-02-20,2024-02-21T06:04:00.000Z,34,8-K,001-16111,24656289,"8.01,9.01",306403,1,1,tm246044d2_8k.htm,FORM 8-K
0001104659-24-025199,2024-02-20,2024-02-20,2024-02-20T07:10:56.000Z,34,8-K,001-16111,24650686,"8.01,9.01",300078,1,1,tm246044d1_8k.htm,FORM 8-K
0001959173-24-001026,2024-02-15,,2024-02-15T13:21:09.000Z,33,144,001-16111,24643120,,8490,0,0,xsl144X01/primary_doc.xml,
0001123360-24-000004,2024-02-14,2023-12-31,2024-02-14T16:31:34.000Z,34,10-K,001-16111,24639157,,19012655,1,1,gpn-20231231.htm,10-K
0001123360-24-000002,2024-02-14,2024-02-14,2024-02-14T07:02:23.000Z,34,8-K,001-16111,24632193,"2.02,9.01",3802307,1,1,gpn-20240214.htm,8-K
0001104659-24-021028,2024-02-13,,2024-02-13T17:06:16.000Z,34,SC 13G/A,005-61363,24628559,,12986,0,0,tv01026-globalpaymentsinc.htm,SCHEDULE 13G/A
0000902219-24-000268,2024-02-09,,2024-02-09T08:40:49.000Z,34,SC 13G/A,005-61363,24611419,,33794,0,0,SEC13G_Filing.htm,SEC SCHEDULE 13G
0001086364-24-004837,2024-01-26,,2024-01-26T17:25:22.000Z,34,SC 13G,005-61363,24569155,,13721,0,0,us37940x1028_012624.txt,
0001127602-24-002293,2024-01-26,2024-01-25,2024-01-26T16:25:25.000Z,,3,,,,5889,0,0,xslF345X02/form3.xml,PRIMARY DOCUMENT
0001127602-23-029702,2023-12-15,2023-12-14,2023-12-15T16:10:07.000Z,,4,,,,7572,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-23-029133,2023-12-08,2023-12-06,2023-12-08T16:11:55.000Z,,4,,,,7592,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-23-027803,2023-11-17,2023-11-15,2023-11-17T16:27:11.000Z,,4,,,,4191,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001959173-23-004759,2023-11-15,,2023-11-15T11:54:31.000Z,33,144,001-16111,231409639,,4134,0,0,xsl144X01/primary_doc.xml,
0001123360-23-000042,2023-11-08,2023-11-03,2023-11-08T08:38:50.000Z,34,8-K,001-16111,231386139,"5.02,7.01,9.01",3130174,1,1,gpn-20231103.htm,8-K
0001127602-23-026761,2023-11-03,2023-11-02,2023-11-03T16:37:34.000Z,,4,,,,6352,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001959173-23-004487,2023-11-02,,2023-11-02T13:14:36.000Z,33,144,001-16111,231371165,,4659,0,0,xsl144X01/primary_doc.xml,
0001123360-23-000039,2023-10-31,2023-09-30,2023-10-31T09:23:09.000Z,34,10-Q,001-16111,231362466,,12133079,1,1,gpn-20230930.htm,10-Q
0001123360-23-000037,2023-10-31,2023-10-31,2023-10-31T07:42:50.000Z,34,8-K,001-16111,231362312,"2.02,9.01",3785360,1,1,gpn-20231031.htm,8-K
0001127602-23-026361,2023-10-30,2023-10-26,2023-10-30T16:24:03.000Z,,4,,,,4349,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-23-026359,2023-10-30,2023-10-26,2023-10-30T16:22:01.000Z,,3,,,,5328,0,0,xslF345X02/form3.xml,PRIMARY DOCUMENT
0001123360-23-000035,2023-10-27,2023-10-26,2023-10-27T16:05:30.000Z,34,8-K,001-16111,231355536,5.02,3099597,1,1,gpn-20231026.htm,8-K
0001127602-23-023901,2023-09-08,2023-09-06,2023-09-08T16:40:46.000Z,,4,,,,5666,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001959173-23-003801,2023-09-06,,2023-09-06T17:09:20.000Z,33,144,001-16111,231240047,,10001,0,0,xsl144X01/primary_doc.xml,
0001127602-23-022947,2023-08-18,2023-08-17,2023-08-18T16:31:38.000Z,,4,,,,4834,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001959173-23-003328,2023-08-17,,2023-08-17T11:25:31.000Z,33,144,001-16111,231180536,,5738,0,0,xsl144X01/primary_doc.xml,
0001127602-23-022145,2023-08-07,2023-08-04,2023-08-07T17:10:18.000Z,,4,,,,5014,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-23-022046,2023-08-04,2023-08-02,2023-08-04T19:15:38.000Z,,4,,,,8512,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-23-022044,2023-08-04,2023-08-02,2023-08-04T19:13:09.000Z,,4,,,,5900,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001959173-23-002834,2023-08-02,,2023-08-02T17:26:58.000Z,33,144,001-16111,231137131,,6297,0,0,xsl144X01/primary_doc.xml,
0001959173-23-002792,2023-08-02,,2023-08-02T12:24:11.000Z,33,144,001-16111,231134521,,6279,0,0,xsl144X01/primary_doc.xml,
0001959173-23-002788,2023-08-02,,2023-08-02T11:32:08.000Z,33,144,001-16111,231134335,,4162,0,0,xsl144X01/primary_doc.xml,
0001123360-23-000030,2023-08-01,2023-08-01,2023-08-01T16:09:11.000Z,34,8-K/A,001-16111,231131755,5.07,3104803,1,1,gpn-20230801.htm,8-K/A
0001123360-23-000028,2023-08-01,2023-06-30,2023-08-01T09:21:28.000Z,34,10-Q,001-16111,231129867,,12155470,1,1,gpn-20230630.htm,10-Q
0001123360-23-000026,2023-08-01,2023-08-01,2023-08-01T07:02:19.000Z,34,8-K,001-16111,231129609,"2.02,9.01",3806633,1,1,gpn-20230801.htm,8-K
0001127602-23-019708,2023-07-03,2023-07-01,2023-07-03T13:33:56.000Z,,4,,,,4514,0,0,xslF345X04/form4.xml,PRIMARY DOCUMENT
0001958244-23-000840,2023-06-02,,2023-06-02T19:26:40.000Z,33,144,001-16111,23990824,,28087,0,0,xsl144X01/primary_doc.xml,
0001127602-23-017581,2023-06-02,2023-06-01,2023-06-02T16:44:21.000Z,,3,,,,3430,0,0,xslF345X02/form3.xml,PRIMARY DOCUMENT
