accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001965301-24-000069,2024-05-15,,2024-05-15T14:59:00.000Z,33,144,001-34073,24949598,,4514,0,0,xsl144X01/primary_doc.xml,
0001225208-24-005855,2024-05-08,2024-05-06,2024-05-08T18:28:39.000Z,,4,,,,6035,0,0,xslF345X05/doc4.xml,
0001225208-24-005771,2024-05-07,2024-05-03,2024-05-07T19:03:41.000Z,,4,,,,4867,0,0,xslF345X05/doc4.xml,
0001225208-24-005760,2024-05-07,2024-03-01,2024-05-07T18:36:33.000Z,,3/A,,,,4176,0,0,xslF345X02/doc3a.xml,
0001225208-24-005630,2024-05-03,2024-05-01,2024-05-03T20:47:18.000Z,,4,,,,8269,0,0,xslF345X05/doc4.xml,
0001225208-24-005629,2024-05-03,2024-05-01,2024-05-03T20:47:16.000Z,,4,,,,4660,0,0,xslF345X05/doc4.xml,
0001225208-24-005628,2024-05-03,2024-05-01,2024-05-03T20:47:11.000Z,,4,,,,9459,0,0,xslF345X05/doc4.xml,
0001225208-24-005627,2024-05-03,2024-05-01,2024-05-03T20:47:06.000Z,,4,,,,4842,0,0,xslF345X05/doc4.xml,
0001225208-24-005605,2024-05-03,2024-05-01,2024-05-03T17:11:13.000Z,,4,,,,4666,0,0,xslF345X05/doc4.xml,
0001225208-24-005604,2024-05-03,2024-05-01,2024-05-03T17:11:09.000Z,,4,,,,4621,0,0,xslF345X05/doc4.xml,
0001225208-24-005601,2024-05-03,2024-05-01,2024-05-03T17:11:07.000Z,,4,,,,5679,0,0,xslF345X05/doc4.xml,
0001225208-24-005603,2024-05-03,2024-05-01,2024-05-03T17:11:06.000Z,,4,,,,4630,0,0,xslF345X05/doc4.xml,
0001225208-24-005600,2024-05-03,2024-05-01,2024-05-03T17:11:05.000Z,,4,,,,6009,0,0,xslF345X05/doc4.xml,
0001225208-24-005602,2024-05-03,2024-05-01,2024-05-03T17:11:02.000Z,,4,,,,4622,0,0,xslF345X05/doc4.xml,
0001225208-24-005599,2024-05-03,2024-05-01,2024-05-03T17:11:02.000Z,,4,,,,7857,0,0,xslF345X05/doc4.xml,
0001225208-24-005598,2024-05-03,2024-05-01,2024-05-03T17:10:59.000Z,,4,,,,4611,0,0,xslF345X05/doc4.xml,
0001225208-24-005597,2024-05-03,2024-05-01,2024-05-03T17:10:53.000Z,,4,,,,5677,0,0,xslF345X05/doc4.xml,
0001225208-24-005596,2024-05-03,2024-05-01,2024-05-03T17:10:50.000Z,,4,,,,5638,0,0,xslF345X05/doc4.xml,
