accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000874766-24-000079,2024-05-16,2024-05-15,2024-05-16T16:27:16.000Z,34,8-K,001-13958,24956000,"5.03,5.07",248552,1,1,hig-20240515.htm,8-K
0001225208-24-005930,2024-05-10,2024-05-08,2024-05-10T16:17:15.000Z,,4,,,,21987,0,0,xslF345X05/doc4.xml,
0001225208-24-005929,2024-05-10,2024-05-08,2024-05-10T16:17:08.000Z,,4,,,,18301,0,0,xslF345X05/doc4.xml,
0001959173-24-003387,2024-05-09,,2024-05-09T15:17:44.000Z,33,144,001-13958,24930099,,5068,0,0,xsl144X01/primary_doc.xml,
0001959173-24-003359,2024-05-08,,2024-05-08T16:52:04.000Z,33,144,001-13958,24927104,,5252,0,0,xsl144X01/primary_doc.xml,
0001959173-24-003337,2024-05-08,,2024-05-08T10:17:44.000Z,33,144,001-13958,24924643,,4602,0,0,xsl144X01/primary_doc.xml,
0000874766-24-000075,2024-04-30,2024-04-30,2024-04-30T10:15:36.000Z,34,8-K,001-13958,24894619,9.01,744232,1,1,hig-20240430.htm,8-K
0001193125-24-123948,2024-04-30,,2024-04-30T09:46:56.000Z,33,424B5,333-262879,24894502,,461778,0,0,d780069d424b5.htm,424B5
0000874766-24-000073,2024-04-25,2024-03-31,2024-04-25T16:17:25.000Z,34,10-Q,001-13958,24876567,,21750329,1,1,hig-20240331.htm,10-Q
0000874766-24-000072,2024-04-25,2024-04-25,2024-04-25T16:16:07.000Z,34,8-K,001-13958,24876533,"2.02,9.01",3513599,1,1,hig-20240425.htm,8-K
0000874766-24-000061,2024-04-05,2023-12-31,2024-04-05T14:58:20.000Z,34,ARS,001-13958,24826203,,38764814,0,0,hartfordars.pdf,ARS
0000874766-24-000051,2024-04-05,,2024-04-05T13:44:49.000Z,34,DEFA14A,001-13958,24825925,,2661900,0,0,a2024proxyvotinginstructio.htm,DEFA14A
0000874766-24-000049,2024-04-05,2024-04-05,2024-04-05T13:41:16.000Z,34,DEF 14A,001-13958,24825912,,39269850,1,1,hig-20240405.htm,DEF 14A
0000874766-24-000022,2024-03-26,2024-03-26,2024-03-26T16:17:42.000Z,34,PRE 14A,001-13958,24783756,,20399349,1,1,hig-20240326.htm,PRE 14A
0001225208-24-004261,2024-03-15,2024-03-13,2024-03-15T16:07:58.000Z,,4,,,,18688,0,0,xslF345X05/doc4.xml,
0001959173-24-002288,2024-03-13,,2024-03-13T13:31:42.000Z,33,144,001-13958,24745357,,5581,0,0,xsl144X01/primary_doc.xml,
0001959173-24-002279,2024-03-13,,2024-03-13T11:21:49.000Z,33,144,001-13958,24744980,,5048,0,0,xsl144X01/primary_doc.xml,
0001225208-24-003846,2024-03-07,2024-03-01,2024-03-07T16:11:21.000Z,,3,,,,5568,0,0,xslF345X02/doc3.xml,
0001225208-24-003845,2024-03-07,2024-03-01,2024-03-07T16:11:16.000Z,,3,,,,5009,0,0,xslF345X02/doc3.xml,
0001225208-24-003791,2024-03-06,2024-03-04,2024-03-06T16:06:30.000Z,,4,,,,7008,0,0,xslF345X05/doc4.xml,
0001959173-24-001831,2024-03-04,,2024-03-04T19:10:51.000Z,33,144,001-13958,24717478,,5576,0,0,xsl144X01/primary_doc.xml,
0001225208-24-003473,2024-03-04,2024-02-29,2024-03-04T17:18:15.000Z,,4,,,,17414,0,0,xslF345X05/doc4.xml,
0001225208-24-003470,2024-03-04,2024-03-01,2024-03-04T17:18:05.000Z,,4,,,,12017,0,0,xslF345X05/doc4.xml,
