accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000950170-24-062996,2024-05-21,2024-05-17,2024-05-21T16:42:36.000Z,,4,,,,7122,0,0,xslF345X05/ownership.xml,4
0000950170-24-062994,2024-05-21,2024-05-17,2024-05-21T16:42:04.000Z,,4,,,,7099,0,0,xslF345X05/ownership.xml,4
0001104659-24-063868,2024-05-21,2024-05-17,2024-05-21T16:31:02.000Z,34,8-K,001-36198,24969888,5.07,212329,1,1,tm2415083d1_8k.htm,FORM 8-K
0000950170-24-062967,2024-05-21,2024-05-17,2024-05-21T16:30:30.000Z,,4,,,,5421,0,0,xslF345X05/ownership.xml,4
0000950170-24-062964,2024-05-21,2024-05-17,2024-05-21T16:30:29.000Z,,4,,,,5287,0,0,xslF345X05/ownership.xml,4
0000950170-24-062963,2024-05-21,2024-05-17,2024-05-21T16:30:27.000Z,,4,,,,5277,0,0,xslF345X05/ownership.xml,4
0000950170-24-062959,2024-05-21,2024-05-17,2024-05-21T16:30:24.000Z,,4,,,,5247,0,0,xslF345X05/ownership.xml,4
0000950170-24-062961,2024-05-21,2024-05-17,2024-05-21T16:30:21.000Z,,4,,,,5226,0,0,xslF345X05/ownership.xml,4
0000950170-24-062965,2024-05-21,2024-05-17,2024-05-21T16:30:18.000Z,,4,,,,5495,0,0,xslF345X05/ownership.xml,4
0000950170-24-062958,2024-05-21,2024-05-17,2024-05-21T16:30:17.000Z,,4,,,,5292,0,0,xslF345X05/ownership.xml,4
0000950170-24-060525,2024-05-15,2024-05-13,2024-05-15T16:30:09.000Z,,4,,,,6876,0,0,xslF345X05/ownership.xml,4
0001193125-24-137264,2024-05-13,2024-05-13,2024-05-13T16:31:04.000Z,34,8-K,001-36198,24939603,"8.01,9.01",507700,1,1,d805877d8k.htm,8-K
0001193125-24-134302,2024-05-08,,2024-05-08T16:54:22.000Z,33,424B5,333-277603,24927134,,525749,0,0,d795929d424b5.htm,424B5
