accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001674244-24-000004,2024-05-17,2024-05-15,2024-05-17T16:44:11.000Z,,4,,,,4933,0,0,xslF345X05/wk-form4_1715978613.xml,FORM 4
0001628280-24-024099,2024-05-17,2024-05-15,2024-05-17T16:38:02.000Z,,4,,,,4888,0,0,xslF345X05/wk-form4_1715978257.xml,FORM 4
0001628280-24-024088,2024-05-17,2024-05-15,2024-05-17T16:32:30.000Z,,4,,,,4883,0,0,xslF345X05/wk-form4_1715977919.xml,FORM 4
0001628280-24-024076,2024-05-17,2024-05-15,2024-05-17T16:22:36.000Z,,4,,,,337192,0,0,xslF345X05/wk-form4_1715977340.xml,FORM 4
0001628280-24-024038,2024-05-17,2024-05-15,2024-05-17T16:08:46.000Z,,4,,,,343481,0,0,xslF345X05/wk-form4_1715976507.xml,FORM 4
0001298173-24-000002,2024-05-17,2024-05-15,2024-05-17T16:00:40.000Z,,4,,,,345429,0,0,xslF345X05/wk-form4_1715976027.xml,FORM 4
0001181664-24-000004,2024-05-17,2024-05-15,2024-05-17T15:53:24.000Z,,4,,,,338018,0,0,xslF345X05/wk-form4_1715975592.xml,FORM 4
0001197233-24-000004,2024-05-17,2024-05-15,2024-05-17T15:20:43.000Z,,4,,,,335890,0,0,xslF345X05/wk-form4_1715973628.xml,FORM 4
0001363651-24-000004,2024-05-17,2024-05-15,2024-05-17T15:16:08.000Z,,4,,,,350368,0,0,xslF345X05/wk-form4_1715973358.xml,FORM 4
0001706784-24-000002,2024-05-17,2024-05-15,2024-05-17T15:11:55.000Z,,4,,,,344614,0,0,xslF345X05/wk-form4_1715973105.xml,FORM 4
0001642391-24-000003,2024-05-17,2024-05-15,2024-05-17T15:06:18.000Z,,4,,,,284486,0,0,xslF345X05/wk-form4_1715972767.xml,FORM 4
0000914208-24-000311,2024-05-14,2024-03-31,2024-05-14T14:45:02.000Z,34,13F-HR,028-11246,24943558,,11371496,0,0,xslForm13F_X02/primary_doc.xml,
0000914208-24-000281,2024-05-09,2024-05-09,2024-05-09T16:49:56.000Z,34,8-K,001-13908,24931551,"7.01,9.01",236699,1,1,ivz-20240509.htm,8-K
0001209191-24-005493,2024-05-03,2024-05-01,2024-05-03T15:35:11.000Z,34,4,000-56564,24912683,,15633,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001976927-24-000015,2024-05-02,2024-04-30,2024-05-02T19:13:37.000Z,34,4,000-56655,24910298,,10420,0,0,xslF345X05/wk-form4_1714691608.xml,FORM 4
0001976927-24-000013,2024-05-02,2024-04-30,2024-05-02T16:31:59.000Z,34,4,000-56564,24909003,,21209,0,0,xslF345X05/wk-form4_1714681906.xml,FORM 4
0000914208-24-000276,2024-05-01,2024-03-31,2024-05-01T13:08:52.000Z,34,10-Q,001-13908,24901911,,7445704,1,1,ivz-20240331.htm,10-Q
0000914208-24-000264,2024-04-26,2024-04-26,2024-04-26T15:19:26.000Z,34,3,000-56655,24882860,,42611,0,0,xslF345X02/form3.xml,
0000914208-24-000262,2024-04-26,2024-04-26,2024-04-26T15:13:40.000Z,34,3,000-56655,24882793,,43801,0,0,xslF345X02/form3.xml,
0000914208-24-000249,2024-04-23,2024-04-23,2024-04-23T07:46:27.000Z,34,8-K,001-13908,24862711,"2.02,9.01",921193,1,1,ivz-20240423.htm,8-K
0000914208-24-000240,2024-04-10,,2024-04-10T11:35:06.000Z,,SC 13G/A,,,,18293,0,0,SEC13G_Filing.htm,SEC SCHEDULE 13G
0000914208-24-000238,2024-04-10,,2024-04-10T11:33:19.000Z,,SC 13G/A,,,,18192,0,0,SEC13G_Filing.htm,SEC SCHEDULE 13G
0000914208-24-000236,2024-04-10,,2024-04-10T11:31:26.000Z,,SC 13G/A,,,,18256,0,0,SEC13G_Filing.htm,SEC SCHEDULE 13G
0000914208-24-000234,2024-04-10,,2024-04-10T11:27:00.000Z,,SC 13G/A,,,,19075,0,0,SEC13G_Filing.htm,SEC SCHEDULE 13G
