accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000779152-24-000035,2024-05-14,2024-05-10,2024-05-14T15:36:07.000Z,,4,,,,5035,0,0,xslF345X05/wk-form4_1715715356.xml,FORM 4
0000779152-24-000033,2024-05-09,2024-03-31,2024-05-09T15:34:10.000Z,34,10-Q,000-14112,24930156,,6225792,1,1,jkhy-20240331.htm,10-Q - JKHY 2024.03.31 - Q3 FY'2024
0000779152-24-000030,2024-05-07,2024-05-07,2024-05-07T16:21:37.000Z,34,8-K,000-14112,24922309,"2.02,9.01",1139181,1,1,jkhy-20240507.htm,8-K - JKHY - 03.31.2024 - Q3 FY24 PRESS RELEASE
0000779152-24-000027,2024-04-29,2024-04-29,2024-04-29T16:57:58.000Z,34,8-K,000-14112,24892229,"2.02,9.01",148580,1,1,jkhy-20240429.htm,8-K - JKHY - 04.29.2024 - Q3 FY24 DECONVERSION REVENUE NOTICE
0000779152-24-000025,2024-03-22,2024-03-22,2024-03-22T13:32:54.000Z,34,8-K,000-14112,24774580,"8.01,9.01",146413,1,1,jkhy-20240322.htm,8-K - JKHY - 03..22.24 - KELLY ANNOUNCEMENT
0000779152-24-000021,2024-03-11,2024-03-11,2024-03-11T16:19:05.000Z,34,8-K,000-14112,24738278,"5.02,9.01",153933,1,1,jkhy-20240311.htm,8-K - JKHY - 2024.03.11 - ANNOUNCING MCLACHLAN AS COO
0001104659-24-021245,2024-02-13,,2024-02-13T17:08:09.000Z,34,SC 13G/A,005-01810,24628883,,13176,0,0,tv01239-jackhenryassociatesi.htm,SCHEDULE 13G/A
0001398344-24-002792,2024-02-13,,2024-02-13T16:05:28.000Z,34,SC 13G,005-01810,24625684,,46438,0,0,fp0086862-30_sc13g.htm,
0000779152-24-000018,2024-02-08,2023-12-31,2024-02-08T16:50:04.000Z,34,10-Q,000-14112,24609846,,6099068,1,1,jkhy-20231231.htm,10-Q - JKHY 2023.12.31 - Q2 FY'2024
0001493152-24-005293,2024-02-07,,2024-02-07T17:25:05.000Z,34,SC 13G/A,005-01810,24605915,,164581,0,0,formsc13ga.htm,
0000779152-24-000016,2024-02-06,2024-02-06,2024-02-06T16:48:18.000Z,34,8-K,000-14112,24600923,"2.02,9.01",1126904,1,1,jkhy-20240206.htm,8-K - JKHY - 12.31.2024 - Q2 FY24 PRESS RELEASE
