accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000060086-24-000129,2024-05-22,2024-05-21,2024-05-22T16:17:47.000Z,,4,,,,4920,0,0,xslF345X05/wk-form4_1716409044.xml,FORM 4
0001950047-24-003975,2024-05-21,,2024-05-21T16:10:47.000Z,33,144,001-06541,24969442,,5239,0,0,xsl144X01/primary_doc.xml,
0000060086-24-000127,2024-05-20,2024-05-17,2024-05-20T16:57:18.000Z,,4,,,,6348,0,0,xslF345X05/wk-form4_1716238626.xml,FORM 4
0000060086-24-000125,2024-05-16,2024-05-14,2024-05-16T17:03:47.000Z,,4,,,,8118,0,0,xslF345X05/wk-form4_1715893411.xml,FORM 4
0000060086-24-000122,2024-05-14,2024-05-14,2024-05-14T16:35:11.000Z,,4,,,,5423,0,0,xslF345X05/wk-form4_1715718894.xml,FORM 4
0000060086-24-000121,2024-05-14,2024-05-14,2024-05-14T16:34:00.000Z,,4,,,,5521,0,0,xslF345X05/wk-form4_1715718806.xml,FORM 4
0000060086-24-000120,2024-05-14,2024-05-14,2024-05-14T16:32:31.000Z,,4,,,,5484,0,0,xslF345X05/wk-form4_1715718730.xml,FORM 4
0000060086-24-000119,2024-05-14,2024-05-14,2024-05-14T16:30:53.000Z,,4,,,,5553,0,0,xslF345X05/wk-form4_1715718617.xml,FORM 4
0000060086-24-000118,2024-05-14,2024-05-14,2024-05-14T16:29:38.000Z,,4,,,,5516,0,0,xslF345X05/wk-form4_1715718567.xml,FORM 4
0000060086-24-000117,2024-05-14,2024-05-14,2024-05-14T16:28:23.000Z,,4,,,,5518,0,0,xslF345X05/wk-form4_1715718484.xml,FORM 4
0000060086-24-000116,2024-05-14,2024-05-14,2024-05-14T16:27:09.000Z,,4,,,,5521,0,0,xslF345X05/wk-form4_1715718411.xml,FORM 4
0000060086-24-000115,2024-05-14,2024-05-14,2024-05-14T16:26:07.000Z,,4,,,,5580,0,0,xslF345X05/wk-form4_1715718356.xml,FORM 4
0000060086-24-000114,2024-05-14,2024-05-14,2024-05-14T16:24:42.000Z,,4,,,,5594,0,0,xslF345X05/wk-form4_1715718259.xml,FORM 4
0000060086-24-000113,2024-05-14,2024-05-14,2024-05-14T16:23:13.000Z,34,8-K,001-06541,24944748,"5.07,9.01",173714,1,1,l-20240514.htm,8-K
0000060086-24-000100,2024-05-10,2024-05-08,2024-05-10T16:18:16.000Z,,4,,,,8119,0,0,xslF345X05/wk-form4_1715372282.xml,FORM 4
0000060086-24-000098,2024-05-09,2024-05-09,2024-05-09T08:42:06.000Z,,4,,,,7058,0,0,xslF345X05/wk-form4_1715258516.xml,FORM 4
0000060086-24-000097,2024-05-09,2024-05-09,2024-05-09T08:40:25.000Z,,4,,,,7022,0,0,xslF345X05/wk-form4_1715258415.xml,FORM 4
0000060086-24-000096,2024-05-09,2024-05-09,2024-05-09T08:38:45.000Z,,4,,,,7153,0,0,xslF345X05/wk-form4_1715258316.xml,FORM 4
0000060086-24-000095,2024-05-09,2024-05-09,2024-05-09T08:37:16.000Z,,4,,,,7121,0,0,xslF345X05/wk-form4_1715258226.xml,FORM 4
0000060086-24-000094,2024-05-09,2024-05-09,2024-05-09T08:35:49.000Z,,4,,,,7182,0,0,xslF345X05/wk-form4_1715258140.xml,FORM 4
0000060086-24-000093,2024-05-09,2024-05-09,2024-05-09T08:34:20.000Z,,4,,,,7193,0,0,xslF345X05/wk-form4_1715258051.xml,FORM 4
0000060086-24-000092,2024-05-09,2024-05-09,2024-05-09T08:32:15.000Z,,4,,,,7812,0,0,xslF345X05/wk-form4_1715257925.xml,FORM 4
0000891836-24-000020,2024-05-08,,2024-05-08T18:35:03.000Z,33,144,001-06541,24927906,,6207,0,0,xsl144X01/primary_doc.xml,
0000891836-24-000019,2024-05-08,,2024-05-08T18:32:38.000Z,33,144,001-06541,24927899,,6228,0,0,xsl144X01/primary_doc.xml,
0000891836-24-000018,2024-05-08,,2024-05-08T18:29:28.000Z,33,144,001-06541,24927890,,7091,0,0,xsl144X01/primary_doc.xml,
0000060086-24-000090,2024-05-08,2024-05-07,2024-05-08T16:18:45.000Z,,4,,,,5858,0,0,xslF345X05/wk-form4_1715199503.xml,FORM 4
0000060086-24-000088,2024-05-06,2024-03-31,2024-05-06T14:39:02.000Z,34,13F-HR,028-00217,24917046,,11836,0,0,xslForm13F_X02/primary_doc.xml,
0000060086-24-000086,2024-05-06,2024-03-31,2024-05-06T10:38:32.000Z,34,10-Q,001-06541,24916269,,11845519,1,1,l-20240331.htm,10-Q
