accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001141391-24-000101,2024-05-23,2024-05-22,2024-05-23T16:02:47.000Z,,4,,,,12758,0,0,xslF345X05/wk-form4_1716494555.xml,FORM 4
0001415889-24-014195,2024-05-23,2024-05-22,2024-05-23T09:52:23.000Z,,4,,,,6876,0,0,xslF345X05/form4-05232024_010517.xml,
0001415889-24-014178,2024-05-23,2024-05-21,2024-05-23T08:44:40.000Z,,4,,,,6876,0,0,xslF345X05/form4-05232024_120534.xml,
0001950047-24-004058,2024-05-22,,2024-05-22T16:30:55.000Z,33,144,001-32877,24973764,,4760,0,0,xsl144X01/primary_doc.xml,
0001415889-24-013872,2024-05-21,2024-05-17,2024-05-21T10:14:37.000Z,,4,,,,6876,0,0,xslF345X05/form4-05212024_020531.xml,
0001141391-24-000099,2024-05-20,2024-05-16,2024-05-20T16:17:30.000Z,,4,,,,8626,0,0,xslF345X05/wk-form4_1716236238.xml,FORM 4
0001415889-24-013414,2024-05-17,2024-05-16,2024-05-17T09:04:32.000Z,,4,,,,6876,0,0,xslF345X05/form4-05172024_010526.xml,
0001950047-24-003791,2024-05-16,,2024-05-16T16:19:19.000Z,33,144,001-32877,24955873,,4745,0,0,xsl144X01/primary_doc.xml,
0001415889-24-013294,2024-05-16,2024-05-15,2024-05-16T13:21:00.000Z,,4,,,,6876,0,0,xslF345X05/form4-05162024_050554.xml,
0001141391-24-000097,2024-05-15,2024-05-14,2024-05-15T16:11:06.000Z,,4,,,,5325,0,0,xslF345X05/wk-form4_1715803854.xml,FORM 4
0001415889-24-013174,2024-05-15,2024-05-14,2024-05-15T10:50:54.000Z,,4,,,,6876,0,0,xslF345X05/form4-05152024_020548.xml,
0001415889-24-013085,2024-05-14,2024-05-13,2024-05-14T09:49:21.000Z,,4,,,,6876,0,0,xslF345X05/form4-05142024_010515.xml,
0001415889-24-012941,2024-05-13,2024-05-10,2024-05-13T09:59:46.000Z,,4,,,,6876,0,0,xslF345X05/form4-05132024_010540.xml,
0001141391-24-000095,2024-05-10,2024-05-09,2024-05-10T16:04:02.000Z,,4,,,,4997,0,0,xslF345X05/wk-form4_1715371423.xml,FORM 4
0001415889-24-012824,2024-05-10,,2024-05-10T14:03:51.000Z,33,144,001-32877,24934107,,15814,0,0,xsl144X01/primary_doc.xml,
0001415889-24-012801,2024-05-10,2024-05-09,2024-05-10T11:39:53.000Z,,4,,,,6876,0,0,xslF345X05/form4-05102024_030546.xml,
0001193125-24-135252,2024-05-09,2024-05-07,2024-05-09T16:06:05.000Z,34,8-K,001-32877,24930472,"8.01,9.01",472413,1,1,d783883d8k.htm,8-K
0001415889-24-012658,2024-05-09,2024-05-08,2024-05-09T09:35:21.000Z,,4,,,,6876,0,0,xslF345X05/form4-05092024_010513.xml,
0001141391-24-000093,2024-05-08,2024-05-06,2024-05-08T17:28:51.000Z,,4,,,,7834,0,0,xslF345X05/wk-form4_1715203720.xml,FORM 4
0001141391-24-000092,2024-05-08,2024-05-06,2024-05-08T17:28:17.000Z,,4,,,,11722,0,0,xslF345X05/wk-form4_1715203683.xml,FORM 4
0001193125-24-134218,2024-05-08,,2024-05-08T16:14:00.000Z,33,424B2,333-277032,24926235,,769563,0,0,d751437d424b2.htm,424B2
0001415889-24-012570,2024-05-08,2024-05-07,2024-05-08T11:04:34.000Z,,4,,,,6876,0,0,xslF345X05/form4-05082024_030528.xml,
0001193125-24-133313,2024-05-07,,2024-05-07T17:24:58.000Z,34,FWP,333-277032,24923334,,16513,0,0,d832633dfwp.htm,FWP
0001415889-24-012386,2024-05-07,2024-05-06,2024-05-07T09:06:31.000Z,,4,,,,6876,0,0,xslF345X05/form4-05072024_010524.xml,
0001193125-24-132616,2024-05-07,,2024-05-07T08:26:38.000Z,33,424B2,333-277032,24919751,,722966,0,0,d751437d424b2.htm,424B2
0001950047-24-003396,2024-05-06,,2024-05-06T16:23:10.000Z,33,144,001-32877,24917881,,4920,0,0,xsl144X01/primary_doc.xml,
0001415889-24-012269,2024-05-06,2024-05-03,2024-05-06T10:42:48.000Z,,4,,,,6876,0,0,xslF345X05/form4-05062024_020541.xml,
0001415889-24-012119,2024-05-03,2024-05-02,2024-05-03T11:10:14.000Z,,4,,,,6876,0,0,xslF345X05/form4-05032024_030507.xml,
0001415889-24-011969,2024-05-02,2024-05-01,2024-05-02T13:07:48.000Z,,4,,,,6876,0,0,xslF345X05/form4-05022024_050541.xml,
0001141391-24-000089,2024-05-01,,2024-05-01T10:26:27.000Z,34,IRANNOTICE,001-32877,24900829,,47963,0,0,ma03312024-irannotice.htm,IRANNOTICE
0001141391-24-000087,2024-05-01,2024-03-31,2024-05-01T10:22:38.000Z,34,10-Q,001-32877,24900802,,7804787,1,1,ma-20240331.htm,10-Q
0001141391-24-000085,2024-05-01,2024-05-01,2024-05-01T08:04:47.000Z,34,8-K,001-32877,24900150,"2.02,9.01",775256,1,1,ma-20240501.htm,8-K
0001415889-24-011638,2024-04-29,2024-04-26,2024-04-29T11:31:36.000Z,,4,,,,6876,0,0,xslF345X05/form4-04292024_030429.xml,
0001141391-24-000080,2024-04-26,2023-12-31,2024-04-26T11:50:33.000Z,34,ARS,001-32877,24880485,,14905255,0,0,ma12312023-10xkarsasfiled.pdf,ARS
0001141391-24-000079,2024-04-26,,2024-04-26T11:47:28.000Z,34,DEFA14A,001-32877,24880393,,2974095,0,0,mastercard2024proxystateme.htm,DEFA14A
0001141391-24-000078,2024-04-26,2024-06-18,2024-04-26T11:41:52.000Z,34,DEF 14A,001-32877,24880328,,119874733,1,1,ma-20240426.htm,DEF 14A
0001415889-24-011547,2024-04-26,2024-04-25,2024-04-26T08:16:23.000Z,,4,,,,6876,0,0,xslF345X05/form4-04262024_120417.xml,
0001415889-24-011490,2024-04-25,2024-04-24,2024-04-25T09:22:08.000Z,,4,,,,6876,0,0,xslF345X05/form4-04252024_010401.xml,
0001415889-24-011410,2024-04-24,2024-04-23,2024-04-24T11:44:39.000Z,,4,,,,6876,0,0,xslF345X05/form4-04242024_030433.xml,
0001415889-24-011361,2024-04-23,2024-04-22,2024-04-23T10:51:01.000Z,,4,,,,6876,0,0,xslF345X05/form4-04232024_020455.xml,
0001415889-24-011267,2024-04-22,2024-04-19,2024-04-22T10:32:37.000Z,,4,,,,6876,0,0,xslF345X05/form4-04222024_020431.xml,
0001415889-24-011204,2024-04-19,2024-04-18,2024-04-19T11:35:22.000Z,,4,,,,6876,0,0,xslF345X05/form4-04192024_030417.xml,
0001415889-24-010951,2024-04-17,,2024-04-17T16:09:00.000Z,33,144,001-32877,24851091,,5930,0,0,xsl144X01/primary_doc.xml,
0001628280-24-016424,2024-04-16,2024-04-15,2024-04-16T16:40:39.000Z,,4,,,,6959,0,0,xslF345X05/wk-form4_1713300029.xml,FORM 4
0001628280-24-016423,2024-04-16,2024-04-15,2024-04-16T16:38:59.000Z,,3,,,,323541,0,0,xslF345X02/wk-form3_1713299929.xml,FORM 3
0001141391-24-000070,2024-04-15,2024-04-09,2024-04-15T16:41:57.000Z,,3/A,,,,322948,0,0,xslF345X02/wk-form3a_1713213702.xml,FORM 3/A
0000950103-24-005315,2024-04-15,,2024-04-15T16:05:45.000Z,,SC 13G,,,,53374,0,0,dp209765_sc13g.htm,FORM SC 13G
0001141391-24-000068,2024-04-11,2024-04-09,2024-04-11T17:33:16.000Z,,4,,,,6932,0,0,xslF345X05/wk-form4_1712871185.xml,FORM 4
0001141391-24-000067,2024-04-11,2024-04-09,2024-04-11T17:32:41.000Z,,3,,,,10474,0,0,xslF345X02/wk-form3_1712871151.xml,FORM 3
0001141391-24-000065,2024-04-11,2024-04-09,2024-04-11T17:17:34.000Z,,4,,,,6949,0,0,xslF345X05/wk-form4_1712870246.xml,FORM 4
0001141391-24-000064,2024-04-11,2024-04-09,2024-04-11T17:17:02.000Z,,4,,,,6937,0,0,xslF345X05/wk-form4_1712870214.xml,FORM 4
0001141391-24-000060,2024-03-26,2024-03-26,2024-03-26T08:56:54.000Z,34,8-K,001-32877,24781159,"8.01,9.01",2653917,1,1,ma-20240326.htm,8-K
0001415889-24-008912,2024-03-22,2024-03-21,2024-03-22T11:31:58.000Z,,4,,,,6873,0,0,xslF345X05/form4-03222024_030351.xml,
0001104659-24-036815,2024-03-20,,2024-03-20T18:37:50.000Z,33,144,001-32877,24768945,,21763,0,0,xsl144X01/primary_doc.xml,
0001141391-24-000056,2024-03-19,2024-03-15,2024-03-19T16:21:21.000Z,,4,,,,16463,0,0,xslF345X05/wk-form4_1710879661.xml,FORM 4
