accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001059556-24-000092,2024-05-09,2024-05-07,2024-05-09T16:03:29.000Z,,4,,,,7126,0,0,xslF345X05/wk-form4_1715284988.xml,FORM 4
0001193125-24-131945,2024-05-06,2024-05-06,2024-05-06T16:19:06.000Z,34,8-K,001-14037,24917788,"1.01,2.03,9.01",1156678,1,1,d824452d8k.htm,8-K
0001059556-24-000090,2024-05-02,2024-03-31,2024-05-02T16:20:56.000Z,34,10-Q,001-14037,24908662,,18681141,1,1,mco-20240331.htm,10-Q
0001059556-24-000087,2024-05-02,2024-05-02,2024-05-02T07:00:11.000Z,34,8-K,001-14037,24905192,"2.02,7.01,9.01",2002630,1,1,mco-20240502.htm,8-K
0001193125-24-102931,2024-04-19,2024-04-16,2024-04-19T16:23:05.000Z,34,8-K,001-14037,24858071,"5.03,5.07,9.01",423832,1,1,d810321d8k.htm,8-K
0001059556-24-000079,2024-04-02,2024-04-01,2024-04-02T16:22:54.000Z,,3,,,,294479,0,0,xslF345X02/wk-form3_1712089351.xml,FORM 3
0001059556-24-000077,2024-04-02,2024-04-01,2024-04-02T16:19:36.000Z,,4,,,,5792,0,0,xslF345X05/wk-form4_1712089154.xml,FORM 4
0001059556-24-000075,2024-03-18,2024-03-15,2024-03-18T16:17:58.000Z,,4,,,,8537,0,0,xslF345X05/wk-form4_1710793065.xml,FORM 4
0001059556-24-000073,2024-03-18,2024-03-15,2024-03-18T16:15:30.000Z,,4,,,,7034,0,0,xslF345X05/wk-form4_1710792919.xml,FORM 4
0001059556-24-000071,2024-03-18,2024-03-15,2024-03-18T16:14:05.000Z,,4,,,,9437,0,0,xslF345X05/wk-form4_1710792836.xml,FORM 4
0001059556-24-000069,2024-03-18,2024-03-15,2024-03-18T16:12:47.000Z,,4,,,,4840,0,0,xslF345X05/wk-form4_1710792755.xml,FORM 4
0001059556-24-000067,2024-03-18,2024-03-15,2024-03-18T16:11:25.000Z,,4,,,,4864,0,0,xslF345X05/wk-form4_1710792672.xml,FORM 4
0001059556-24-000065,2024-03-18,2024-03-15,2024-03-18T16:09:00.000Z,,4,,,,9463,0,0,xslF345X05/wk-form4_1710792528.xml,FORM 4
0001059556-24-000063,2024-03-18,2024-03-15,2024-03-18T16:06:59.000Z,,4,,,,7015,0,0,xslF345X05/wk-form4_1710792408.xml,FORM 4
0001059556-24-000061,2024-03-18,2024-03-15,2024-03-18T16:05:30.000Z,,4,,,,6413,0,0,xslF345X05/wk-form4_1710792320.xml,FORM 4
0001193125-24-060143,2024-03-06,2023-12-31,2024-03-06T09:36:56.000Z,34,ARS,001-14037,24724559,,1201402,0,0,d610058dars.pdf,ARS
0001193125-24-060141,2024-03-06,,2024-03-06T09:33:56.000Z,34,DEFA14A,001-14037,24724555,,247522,0,0,d788741ddefa14a.htm,DEFA14A
0001193125-24-060138,2024-03-06,2024-04-16,2024-03-06T09:31:17.000Z,34,DEF 14A,001-14037,24724551,,6256971,1,1,d636277ddef14a.htm,DEF 14A
0001059556-24-000059,2024-03-05,2024-03-01,2024-03-05T16:25:38.000Z,,4,,,,9201,0,0,xslF345X05/wk-form4_1709673922.xml,FORM 4
0001059556-24-000057,2024-03-05,2024-03-01,2024-03-05T16:22:59.000Z,,4,,,,6490,0,0,xslF345X05/wk-form4_1709673764.xml,FORM 4
0001059556-24-000055,2024-03-05,2024-03-01,2024-03-05T16:19:01.000Z,,4,,,,6479,0,0,xslF345X05/wk-form4_1709673507.xml,FORM 4
