accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001099219-24-000144,2024-05-15,2024-05-15,2024-05-15T17:10:04.000Z,34,8-K,001-15787,24952475,"8.01,9.01",257592,1,1,met-20240515.htm,8-K
0001628280-24-023199,2024-05-14,2024-03-31,2024-05-14T16:06:31.000Z,34,13F-HR,028-18621,24944285,,7292,0,0,xslForm13F_X02/primary_doc.xml,
0001214659-24-008578,2024-05-08,,2024-05-07T19:48:24.000Z,34,PX14A6G,001-15787,24923833,,27843,0,0,p56240px14a6g.htm,
0001193125-24-129530,2024-05-02,,2024-05-02T17:34:57.000Z,34,SC 13D/A,005-58857,24910015,,69485,0,0,d787156dsc13da.htm,SC 13D/A
0001099219-24-000141,2024-05-02,2024-03-31,2024-05-02T17:31:26.000Z,34,10-Q,001-15787,24909997,,37148987,1,1,met-20240331.htm,10-Q
0001099219-24-000139,2024-05-01,2024-05-01,2024-05-01T16:32:33.000Z,34,8-K,001-15787,24903561,"2.02,7.01,8.01,9.01",8793411,1,1,met-20240501.htm,8-K
0001099219-24-000135,2024-04-26,2023-12-31,2024-04-26T16:46:39.000Z,34,ARS,001-15787,24884706,,55016762,0,0,metlifeinc_wrapx2024xproof.pdf,ARS
0001099219-24-000134,2024-04-26,,2024-04-26T16:41:02.000Z,34,DEFA14A,001-15787,24884599,,7013605,0,0,a2024metlifenoticeandacces.htm,DEFA14A
0001099219-24-000133,2024-04-26,2024-06-18,2024-04-26T16:38:49.000Z,34,DEF 14A,001-15787,24884567,,90375172,1,1,met-20240426.htm,DEF 14A
0001099219-24-000127,2024-04-03,2024-04-01,2024-04-03T16:23:35.000Z,,4,,,,4663,0,0,xslF345X05/wk-form4_1712175804.xml,FORM 4
0001099219-24-000126,2024-04-03,2024-04-01,2024-04-03T16:23:20.000Z,,4,,,,5241,0,0,xslF345X05/wk-form4_1712175785.xml,FORM 4
