accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000950170-24-054646,2024-05-07,2024-03-31,2024-05-07T16:42:04.000Z,34,10-Q,001-34091,24922730,,12311626,1,1,mktx-20240331.htm,10-Q
0001193125-24-132524,2024-05-07,2024-05-07,2024-05-07T06:30:32.000Z,34,8-K,001-34091,24919486,"2.02,8.01,9.01",392885,1,1,d792409d8k.htm,8-K
0000950170-24-047655,2024-04-24,2023-12-31,2024-04-24T16:40:08.000Z,34,ARS,001-34091,24871154,,8939622,0,0,ars_2023.pdf,ARS
0000950170-24-047644,2024-04-24,,2024-04-24T16:35:03.000Z,34,DEFA14A,001-34091,24871095,,1473346,0,0,mktx_2024_defa14a.htm,DEFA14A
0000950170-24-047633,2024-04-24,2024-04-22,2024-04-24T16:30:38.000Z,34,DEF 14A,001-34091,24871014,,25962562,1,1,mktx-20240422.htm,DEF 14A
0000950170-24-044086,2024-04-12,2024-04-12,2024-04-12T16:30:39.000Z,34,PRE 14A,001-34091,24841889,,25979743,1,1,mktx-20240412.htm,PRE 14A
0001193125-24-088517,2024-04-05,2024-04-04,2024-04-05T16:30:54.000Z,34,8-K,001-34091,24826939,5.02,138759,1,1,d796337d8k.htm,8-K
0000950170-24-023866,2024-03-01,2024-03-01,2024-03-01T16:15:06.000Z,,4,,,,4915,0,0,xslF345X05/ownership.xml,4
0001193125-24-045398,2024-02-26,2024-02-21,2024-02-26T08:01:01.000Z,34,8-K,001-34091,24673601,"5.02,7.01,9.01",423764,1,1,d798718d8k.htm,8-K
0000950170-24-018935,2024-02-22,2023-12-31,2024-02-22T17:22:26.000Z,34,10-K,001-34091,24666199,,20540298,1,1,mktx-20231231.htm,10-K
0000950170-24-016510,2024-02-16,2024-02-15,2024-02-16T17:00:47.000Z,,4,,,,8325,0,0,xslF345X05/ownership.xml,4
0000950170-24-016508,2024-02-16,2024-02-15,2024-02-16T17:00:34.000Z,,4,,,,6601,0,0,xslF345X05/ownership.xml,4
0000950170-24-016511,2024-02-16,2024-02-15,2024-02-16T17:00:31.000Z,,4,,,,6554,0,0,xslF345X05/ownership.xml,4
0000950170-24-016502,2024-02-16,2024-02-15,2024-02-16T17:00:25.000Z,,4,,,,7078,0,0,xslF345X05/ownership.xml,4
0000950170-24-016512,2024-02-16,2024-02-15,2024-02-16T17:00:22.000Z,,4,,,,8446,0,0,xslF345X05/ownership.xml,4
0000950170-24-016507,2024-02-16,2024-02-15,2024-02-16T17:00:19.000Z,,4,,,,8232,0,0,xslF345X05/ownership.xml,4
0000950170-24-016506,2024-02-16,2024-02-15,2024-02-16T17:00:15.000Z,,4,,,,7787,0,0,xslF345X05/ownership.xml,4
0001921094-24-000179,2024-02-16,,2024-02-16T16:57:49.000Z,33,144,001-34091,24649226,,5529,0,0,xsl144X01/primary_doc.xml,
0001897612-24-001334,2024-02-16,,2024-02-16T16:57:01.000Z,34,SC 13G/A,005-80409,,,6772,0,0,mktx13gadec23.txt,
0001062993-24-003184,2024-02-14,,2024-02-14T17:03:01.000Z,34,SC 13G/A,005-80409,24640206,,63682,0,0,formsc13ga.htm,FORM SC 13G/A
0001897612-24-001198,2024-02-14,,2024-02-14T10:04:36.000Z,34,SC 13G,005-80409,,,6764,0,0,mktx13gdec23.txt,
0001104659-24-021413,2024-02-13,,2024-02-13T17:09:43.000Z,34,SC 13G/A,005-80409,24629052,,13117,0,0,tv01402-marketaxessholdingsi.htm,SCHEDULE 13G/A
0000950170-24-012207,2024-02-07,2024-02-01,2024-02-07T16:15:12.000Z,,3,,,,13803,0,0,xslF345X02/ownership.xml,3
0000950170-24-010505,2024-02-02,2024-01-31,2024-02-02T16:15:27.000Z,,4,,,,8266,0,0,xslF345X05/ownership.xml,4
0000950170-24-010506,2024-02-02,2024-01-31,2024-02-02T16:15:26.000Z,,4,,,,8006,0,0,xslF345X05/ownership.xml,4
0000950170-24-010503,2024-02-02,2024-01-31,2024-02-02T16:15:21.000Z,,4,,,,8009,0,0,xslF345X05/ownership.xml,4
