accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001127602-24-016151,2024-05-21,2024-05-17,2024-05-21T17:09:50.000Z,,4,,,,8475,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015818,2024-05-17,2024-05-15,2024-05-17T16:10:33.000Z,,4,,,,5574,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015816,2024-05-17,2024-05-15,2024-05-17T16:09:38.000Z,,4,,,,5567,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015815,2024-05-17,2024-05-15,2024-05-17T16:08:44.000Z,,4,,,,5571,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015813,2024-05-17,2024-05-15,2024-05-17T16:07:00.000Z,,4,,,,7838,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015812,2024-05-17,2024-05-15,2024-05-17T16:06:13.000Z,,4,,,,7843,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015810,2024-05-17,2024-05-15,2024-05-17T16:04:33.000Z,,4,,,,5365,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015808,2024-05-17,2024-05-15,2024-05-17T16:03:50.000Z,,4,,,,6557,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015806,2024-05-17,2024-05-15,2024-05-17T16:02:48.000Z,,4,,,,7888,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001959173-24-003657,2024-05-17,,2024-05-17T11:48:13.000Z,33,144,001-05998,24958420,,6818,0,0,xsl144X01/primary_doc.xml,
0000062709-24-000044,2024-05-17,2024-05-16,2024-05-17T08:46:29.000Z,34,8-K,001-05998,24957834,5.07,436621,1,1,mmc-20240516.htm,8-K
0000062709-24-000040,2024-04-29,,2024-04-29T08:20:40.000Z,34,DEFA14A,001-05998,24886713,,21095,0,0,defa14adraft42624.htm,DEFA14A
0000062709-24-000037,2024-04-18,2024-03-31,2024-04-18T16:48:58.000Z,34,10-Q,001-05998,24854843,,10564076,1,1,mmc-20240331.htm,10-Q
0000062709-24-000032,2024-04-18,2024-04-18,2024-04-18T07:04:26.000Z,34,8-K,001-05998,24852824,"2.02,9.01",984262,1,1,mmc-20240418.htm,8-K
0001127602-24-012147,2024-04-03,2024-04-01,2024-04-03T16:03:06.000Z,,4,,,,5434,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-012146,2024-04-03,2024-04-01,2024-04-03T16:01:36.000Z,,3,,,,13108,0,0,xslF345X02/form3.xml,PRIMARY DOCUMENT
0001193125-24-081528,2024-03-29,2023-12-31,2024-03-29T07:09:27.000Z,34,ARS,001-05998,24801987,,2252547,0,0,d615591dars.pdf,ARS
0001193125-24-081527,2024-03-29,,2024-03-29T07:06:57.000Z,34,DEFA14A,001-05998,24801985,,122186,0,0,d400836ddefa14a.htm,DEFA14A
0001193125-24-081524,2024-03-29,2024-05-16,2024-03-29T07:03:58.000Z,34,DEF 14A,001-05998,24801980,,20378457,1,1,d365210ddef14a.htm,DEF 14A
0001127602-24-010403,2024-03-18,2024-03-14,2024-03-18T16:07:23.000Z,,4,,,,4729,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0000062709-24-000024,2024-03-14,2024-03-08,2024-03-14T16:02:14.000Z,34,8-K,001-05998,24749659,5.02,402013,1,1,mmc-20240308.htm,8-K
0001959173-24-002337,2024-03-14,,2024-03-14T11:19:18.000Z,33,144,001-05998,24748521,,5137,0,0,xsl144X01/primary_doc.xml,
0001127602-24-009715,2024-03-12,2024-03-08,2024-03-12T16:01:57.000Z,,4,,,,8486,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-009174,2024-03-08,2024-03-07,2024-03-08T16:03:11.000Z,,4,,,,5207,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-009173,2024-03-08,2024-03-06,2024-03-08T16:01:31.000Z,,4,,,,13745,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001959173-24-002122,2024-03-08,,2024-03-08T13:24:38.000Z,33,144,001-05998,24733478,,5171,0,0,xsl144X01/primary_doc.xml,
0001959173-24-002041,2024-03-07,,2024-03-07T10:48:51.000Z,33,144,001-05998,24728629,,4456,0,0,xsl144X01/primary_doc.xml,
0001127602-24-008788,2024-03-06,2024-03-04,2024-03-06T16:07:24.000Z,,4,,,,16429,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-008786,2024-03-06,2024-03-05,2024-03-06T16:05:47.000Z,,4,,,,5060,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-008785,2024-03-06,2024-03-04,2024-03-06T16:04:28.000Z,,4,,,,4700,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-008783,2024-03-06,2024-03-04,2024-03-06T16:03:11.000Z,,4,,,,4576,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001959173-24-001994,2024-03-06,,2024-03-06T15:13:47.000Z,33,144,001-05998,24725503,,4983,0,0,xsl144X01/primary_doc.xml,
0001959173-24-001953,2024-03-05,,2024-03-05T17:03:54.000Z,33,144,001-05998,24722024,,6224,0,0,xsl144X01/primary_doc.xml,
0001959173-24-001876,2024-03-05,,2024-03-05T11:29:31.000Z,33,144,001-05998,24718946,,4501,0,0,xsl144X01/primary_doc.xml,
0001959173-24-001834,2024-03-04,,2024-03-04T19:16:19.000Z,33,144,001-05998,24717523,,5107,0,0,xsl144X01/primary_doc.xml,
0001959173-24-001828,2024-03-04,,2024-03-04T19:03:49.000Z,33,144,001-05998,24717449,,5618,0,0,xsl144X01/primary_doc.xml,
0001959173-24-001742,2024-03-04,,2024-03-04T11:25:50.000Z,33,144,001-05998,24713452,,4467,0,0,xsl144X01/primary_doc.xml,
0001127602-24-007860,2024-03-01,2024-02-28,2024-03-01T16:18:47.000Z,,4,,,,10363,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-007854,2024-03-01,2024-02-28,2024-03-01T16:17:20.000Z,,4,,,,8839,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-007850,2024-03-01,2024-02-28,2024-03-01T16:15:10.000Z,,4,,,,11446,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-007844,2024-03-01,2024-02-28,2024-03-01T16:13:55.000Z,,4,,,,9737,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-007838,2024-03-01,2024-02-28,2024-03-01T16:12:18.000Z,,4,,,,9072,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-007833,2024-03-01,2024-02-28,2024-03-01T16:10:16.000Z,,4,,,,8992,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-007829,2024-03-01,2024-02-28,2024-03-01T16:09:01.000Z,,4,,,,8593,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-007827,2024-03-01,2024-02-28,2024-03-01T16:07:59.000Z,,4,,,,8752,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-007823,2024-03-01,2024-02-28,2024-03-01T16:06:41.000Z,,4,,,,8689,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-007820,2024-03-01,2024-02-28,2024-03-01T16:05:29.000Z,,4,,,,8915,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-007815,2024-03-01,2024-02-28,2024-03-01T16:04:05.000Z,,4,,,,8693,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001959173-24-001624,2024-03-01,,2024-03-01T08:48:12.000Z,33,144/A,001-05998,24707119,,4726,0,0,xsl144X01/primary_doc.xml,
0001959173-24-001608,2024-02-29,,2024-02-29T17:17:15.000Z,33,144,001-05998,24705133,,4468,0,0,xsl144X01/primary_doc.xml,
