accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001408198-24-000114,2024-05-03,2024-05-01,2024-05-03T16:07:55.000Z,,4,,,,5974,0,0,xslF345X05/wk-form4_1714766860.xml,FORM 4
0001408198-24-000113,2024-05-03,2024-05-01,2024-05-03T16:07:23.000Z,,4,,,,6598,0,0,xslF345X05/wk-form4_1714766829.xml,FORM 4
0001408198-24-000112,2024-05-03,2024-05-01,2024-05-03T16:06:50.000Z,,4,,,,5989,0,0,xslF345X05/wk-form4_1714766795.xml,FORM 4
0001408198-24-000111,2024-05-03,2024-05-01,2024-05-03T16:05:59.000Z,,4,,,,4810,0,0,xslF345X05/wk-form4_1714766728.xml,FORM 4
0001408198-24-000110,2024-05-03,2024-05-01,2024-05-03T16:05:09.000Z,,4,,,,6257,0,0,xslF345X05/wk-form4_1714766691.xml,FORM 4
0001408198-24-000109,2024-05-03,2024-05-01,2024-05-03T16:04:23.000Z,,4,,,,4587,0,0,xslF345X05/wk-form4_1714766644.xml,FORM 4
0001408198-24-000108,2024-05-03,2024-05-01,2024-05-03T16:03:43.000Z,,4,,,,4875,0,0,xslF345X05/wk-form4_1714766609.xml,FORM 4
0001408198-24-000107,2024-05-03,2024-05-01,2024-05-03T16:03:09.000Z,,4,,,,4641,0,0,xslF345X05/wk-form4_1714766577.xml,FORM 4
0001408198-24-000106,2024-05-03,2024-05-01,2024-05-03T16:02:40.000Z,,4,,,,4623,0,0,xslF345X05/wk-form4_1714766546.xml,FORM 4
0001408198-24-000105,2024-05-03,2024-05-01,2024-05-03T16:02:03.000Z,,4,,,,7390,0,0,xslF345X05/wk-form4_1714766506.xml,FORM 4
0001408198-24-000094,2024-05-01,2024-04-30,2024-05-01T16:02:35.000Z,,4,,,,6983,0,0,xslF345X05/wk-form4_1714593739.xml,FORM 4
0001972362-24-000546,2024-04-30,,2024-04-30T14:51:18.000Z,33,144,001-33812,24896487,,5994,0,0,xsl144X01/primary_doc.xml,
0001408198-24-000081,2024-04-26,2024-04-25,2024-04-26T09:19:56.000Z,,4,,,,31100,0,0,xslF345X05/wk-form4_1714137587.xml,FORM 4
0001408198-24-000080,2024-04-26,2024-04-25,2024-04-26T09:19:15.000Z,,4,,,,5019,0,0,xslF345X05/wk-form4_1714137545.xml,FORM 4
0001408198-24-000077,2024-04-24,2024-04-23,2024-04-24T16:06:08.000Z,34,8-K,001-33812,24870577,5.07,199180,1,1,msci-20240423.htm,8-K
0001408198-24-000075,2024-04-23,2024-03-31,2024-04-23T13:10:27.000Z,34,10-Q,001-33812,24863639,,7402510,1,1,msci-20240331.htm,10-Q
0001408198-24-000072,2024-04-23,2024-04-23,2024-04-23T06:51:39.000Z,34,8-K,001-33812,24862650,"2.02,9.01",797038,1,1,msci-20240423.htm,8-K
0001408198-24-000065,2024-03-13,2024-03-11,2024-03-13T16:52:59.000Z,,4,,,,4621,0,0,xslF345X05/wk-form4_1710363168.xml,FORM 4
0001408198-24-000064,2024-03-13,2024-03-11,2024-03-13T16:47:41.000Z,,3,,,,312377,0,0,xslF345X02/wk-form3_1710362842.xml,FORM 3
0001408198-24-000062,2024-03-13,,2024-03-13T12:13:08.000Z,34,DEFA14A,001-33812,24745167,,2471219,0,0,a2024mscina.htm,DEFA14A
0001408198-24-000061,2024-03-13,2024-04-23,2024-03-13T12:10:19.000Z,34,DEF 14A,001-33812,24745150,,53014905,1,1,msci-20240313.htm,DEF 14A
0001408198-24-000059,2024-03-13,2023-12-31,2024-03-13T12:04:57.000Z,34,ARS,001-33812,24745131,,23253189,0,0,a2023annualreportforedgar.pdf,ARS
0001408198-24-000048,2024-03-11,2024-03-08,2024-03-11T06:56:57.000Z,34,8-K,001-33812,24736511,"5.02,7.01,9.01",179830,1,1,msci-20240308.htm,8-K
0000950103-24-003591,2024-03-08,,2024-03-08T16:29:07.000Z,33,S-3ASR,333-277791,24734819,,224540,0,0,dp208004_s3asr.htm,FORM S-3ASR
0001408198-24-000045,2024-03-06,2024-03-04,2024-03-06T16:29:16.000Z,,4,,,,5901,0,0,xslF345X05/wk-form4_1709760542.xml,FORM 4
0001408198-24-000042,2024-03-04,2024-02-29,2024-03-04T16:27:39.000Z,,4,,,,4948,0,0,xslF345X05/wk-form4_1709587274.xml,FORM 4
0001408198-24-000041,2024-03-04,2024-02-29,2024-03-04T16:16:41.000Z,,4,,,,4855,0,0,xslF345X05/wk-form4_1709586777.xml,FORM 4
0001408198-24-000040,2024-03-04,2024-02-29,2024-03-04T16:10:01.000Z,,4,,,,4919,0,0,xslF345X05/wk-form4_1709586359.xml,FORM 4
0001408198-24-000039,2024-03-04,2024-02-29,2024-03-04T16:04:19.000Z,,4,,,,7047,0,0,xslF345X05/wk-form4_1709586178.xml,FORM 4
0001104659-24-021505,2024-02-13,,2024-02-13T17:09:39.000Z,34,SC 13G/A,005-83421,24628990,,13101,0,0,tv01494-msciincclassa.htm,SCHEDULE 13G/A
0001408198-24-000030,2024-02-09,2023-12-31,2024-02-09T16:39:39.000Z,34,10-K,001-33812,24615656,,13989947,1,1,msci-20231231.htm,10-K
0001408198-24-000027,2024-02-07,2024-02-05,2024-02-07T20:09:26.000Z,,4,,,,14130,0,0,xslF345X05/wk-form4_1707354557.xml,FORM 4
0001408198-24-000026,2024-02-07,2024-02-05,2024-02-07T16:08:43.000Z,,4,,,,10197,0,0,xslF345X05/wk-form4_1707340114.xml,FORM 4
0001408198-24-000025,2024-02-07,2024-02-05,2024-02-07T16:08:08.000Z,,4,,,,10323,0,0,xslF345X05/wk-form4_1707340073.xml,FORM 4
0001408198-24-000024,2024-02-07,2024-02-05,2024-02-07T16:07:21.000Z,,4,,,,10211,0,0,xslF345X05/wk-form4_1707340028.xml,FORM 4
