accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001209191-24-005653,2024-05-16,2024-05-14,2024-05-16T15:27:56.000Z,,4,,,,11486,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001959173-24-003535,2024-05-14,,2024-05-14T16:17:53.000Z,33,144,001-09861,24944621,,6783,0,0,xsl144X01/primary_doc.xml,
0000876661-24-000343,2024-05-14,,2024-05-14T08:16:09.000Z,34,CERT,001-09861,24941546,,393162,0,0,MTBPRJ051424.pdf,NYSE CERTIFICATION
0001193125-24-137334,2024-05-13,,2024-05-13T17:10:56.000Z,34,8-A12B,001-09861,24940246,,18307,0,0,d821808d8a12b.htm,8-A12B
0001209191-24-005621,2024-05-13,2024-05-09,2024-05-13T16:53:53.000Z,,4,,,,15407,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005620,2024-05-13,2024-05-10,2024-05-13T16:47:50.000Z,,4,,,,5170,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001193125-24-137273,2024-05-13,2024-05-09,2024-05-13T16:36:15.000Z,34,8-K,001-09861,24939686,"3.03,5.03,8.01,9.01",757494,1,1,d800336d8k.htm,8-K
0001959173-24-003428,2024-05-10,,2024-05-10T14:34:26.000Z,33,144,001-09861,24934209,,4964,0,0,xsl144X01/primary_doc.xml,
0000950170-24-057476,2024-05-10,,2024-05-10T08:54:34.000Z,33,144,001-09861,24933021,,9685,0,0,xsl144X01/primary_doc.xml,
0001959173-24-003399,2024-05-09,,2024-05-09T16:25:03.000Z,33,144,001-09861,24931118,,5632,0,0,xsl144X01/primary_doc.xml,
0001193125-24-133536,2024-05-08,,2024-05-08T06:02:32.000Z,33,424B5,333-274646,24924058,,512989,0,0,d794425d424b5.htm,424B5
0001209191-24-005564,2024-05-07,2024-05-06,2024-05-07T17:22:10.000Z,,4,,,,16088,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005563,2024-05-07,2024-05-03,2024-05-07T17:21:02.000Z,,4,,,,24885,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005562,2024-05-07,2024-05-03,2024-05-07T17:05:35.000Z,,4,,,,4720,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0000950123-24-003966,2024-05-07,2024-03-31,2024-05-07T11:18:19.000Z,34,13F-HR,028-00267,24920373,,6462615,0,0,xslForm13F_X02/primary_doc.xml,
0001193125-24-132472,2024-05-07,,2024-05-07T06:04:27.000Z,34,FWP,333-274646,24919436,,27509,0,0,d835782dfwp.htm,FWP
0001959173-24-003281,2024-05-06,,2024-05-06T16:48:49.000Z,33,144,001-09861,24918289,,6193,0,0,xsl144X01/primary_doc.xml,
0001959173-24-003254,2024-05-06,,2024-05-06T10:58:22.000Z,33,144,001-09861,24916336,,6112,0,0,xsl144X01/primary_doc.xml,
0001193125-24-131520,2024-05-06,,2024-05-06T08:56:08.000Z,33,424B5,333-274646,24916025,,499488,0,0,d794425d424b5.htm,424B5
0001959173-24-003246,2024-05-03,,2024-05-03T16:52:55.000Z,33,144,001-09861,24914071,,5604,0,0,xsl144X01/primary_doc.xml,
0000950170-24-052871,2024-05-03,2024-05-03,2024-05-03T16:05:09.000Z,34,8-K,001-09861,24912958,"7.01,9.01",19762810,1,1,mtb-20240503.htm,8-K
0000950170-24-052773,2024-05-03,2024-03-31,2024-05-03T15:12:58.000Z,34,10-Q,001-09861,24912564,,32456129,1,1,mtb-20240331.htm,10-Q
0001959173-24-003208,2024-05-03,,2024-05-03T12:09:22.000Z,33,144,001-09861,24911773,,6182,0,0,xsl144X01/primary_doc.xml,
0001959173-24-003201,2024-05-03,,2024-05-03T09:59:01.000Z,33,144,001-09861,24911167,,5624,0,0,xsl144X01/primary_doc.xml,
0001209191-24-005484,2024-05-02,2024-04-30,2024-05-02T17:27:22.000Z,,4,,,,5696,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005483,2024-05-02,2024-04-30,2024-05-02T17:26:34.000Z,,4,,,,8097,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005482,2024-05-02,2024-04-30,2024-05-02T17:15:53.000Z,,4,,,,5156,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005476,2024-05-02,2024-04-30,2024-05-02T17:14:21.000Z,,4,,,,6860,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005475,2024-05-02,2024-04-30,2024-05-02T17:13:11.000Z,,4,,,,6738,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005474,2024-05-02,2024-04-30,2024-05-02T17:11:15.000Z,,4,,,,5382,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005473,2024-05-02,2024-04-30,2024-05-02T17:08:41.000Z,,4,,,,5811,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005470,2024-05-02,2024-04-30,2024-05-02T17:06:42.000Z,,4,,,,5247,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005469,2024-05-02,2024-04-30,2024-05-02T17:05:06.000Z,,4,,,,5872,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005468,2024-05-02,2024-04-30,2024-05-02T17:04:20.000Z,,4,,,,5282,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005467,2024-05-02,2024-04-30,2024-05-02T17:02:43.000Z,,4,,,,5156,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005466,2024-05-02,2024-04-30,2024-05-02T17:02:08.000Z,,4,,,,5131,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005465,2024-05-02,2024-04-30,2024-05-02T17:00:55.000Z,,4,,,,5100,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005464,2024-05-02,2024-04-30,2024-05-02T16:59:51.000Z,,4,,,,6674,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005463,2024-05-02,2024-04-30,2024-05-02T16:56:13.000Z,,4,,,,7225,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-005405,2024-04-29,2024-04-01,2024-04-29T16:41:28.000Z,,4,,,,9861,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
