accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000950170-24-052979,2024-05-03,2024-05-01,2024-05-03T16:33:58.000Z,,4,,,,5001,0,0,xslF345X05/ownership.xml,4
0001193125-24-130753,2024-05-03,2024-05-03,2024-05-03T16:19:07.000Z,34,8-K,001-38855,24913395,"8.01,9.01",227027,1,1,d774461d8k.htm,8-K
0001193125-24-130728,2024-05-03,,2024-05-03T16:15:40.000Z,33,424B7,333-279011,24913293,,353274,0,0,d830546d424b7.htm,424B7
0001120193-24-000010,2024-05-02,2024-03-31,2024-05-02T11:29:52.000Z,34,10-Q,001-38855,24906372,,11941249,1,1,ndaq-20240331.htm,10-Q
0001950047-24-003252,2024-05-01,,2024-05-01T16:02:42.000Z,33,144,001-38855,24902864,,7445,0,0,xsl144X01/primary_doc.xml,
0001193125-24-125189,2024-04-30,,2024-04-30T16:23:57.000Z,33,S-3ASR,333-279011,24897660,,528008,0,0,d791683ds3asr.htm,S-3ASR
0001193125-24-125075,2024-04-30,2024-04-30,2024-04-30T16:10:05.000Z,34,8-K,001-38855,24897251,"8.01,9.01",373133,1,1,d783957d8k.htm,8-K
0001193125-24-118208,2024-04-26,,2024-04-26T16:36:02.000Z,34,DEFA14A,001-38855,24884499,,923813,0,0,d758622ddefa14a.htm,DEFA14A
0001193125-24-118183,2024-04-26,2024-06-11,2024-04-26T16:32:38.000Z,34,DEF 14A,001-38855,24884429,,60397706,1,1,d739414ddef14a.htm,DEF 14A
0001193125-24-111540,2024-04-25,2024-04-25,2024-04-25T07:18:38.000Z,34,8-K,001-38855,24872909,"2.02,7.01,8.01,9.01",577702,1,1,d806601d8k.htm,8-K
0000950170-24-044480,2024-04-15,2024-04-01,2024-04-15T16:59:02.000Z,,4/A,,,,5640,0,0,xslF345X05/ownership.xml,4/A
0000950170-24-041855,2024-04-04,2024-04-03,2024-04-04T16:34:34.000Z,,4,,,,4943,0,0,xslF345X05/ownership.xml,4
0000950170-24-041324,2024-04-03,2024-04-01,2024-04-03T17:32:10.000Z,,4,,,,6732,0,0,xslF345X05/ownership.xml,4
0000950170-24-041314,2024-04-03,2024-04-01,2024-04-03T17:29:49.000Z,,4,,,,6703,0,0,xslF345X05/ownership.xml,4
0000950170-24-041307,2024-04-03,2024-04-01,2024-04-03T17:26:32.000Z,,4,,,,6756,0,0,xslF345X05/ownership.xml,4
0000950170-24-041293,2024-04-03,2024-04-01,2024-04-03T17:21:14.000Z,,4,,,,6690,0,0,xslF345X05/ownership.xml,4
0000950170-24-041285,2024-04-03,2024-04-01,2024-04-03T17:16:49.000Z,,4,,,,6723,0,0,xslF345X05/ownership.xml,4
0000950170-24-041276,2024-04-03,2024-04-01,2024-04-03T17:13:50.000Z,,4,,,,6666,0,0,xslF345X05/ownership.xml,4
0000950170-24-041261,2024-04-03,2024-04-01,2024-04-03T17:10:44.000Z,,4,,,,6639,0,0,xslF345X05/ownership.xml,4
0000950170-24-041253,2024-04-03,2024-04-01,2024-04-03T17:07:18.000Z,,4,,,,8822,0,0,xslF345X05/ownership.xml,4
0000950170-24-041238,2024-04-03,2024-04-01,2024-04-03T17:00:46.000Z,,4,,,,11452,0,0,xslF345X05/ownership.xml,4
0001950047-24-002842,2024-04-01,,2024-04-01T18:29:15.000Z,33,144,001-38855,24811552,,5580,0,0,xsl144X01/primary_doc.xml,
0000950170-24-039511,2024-04-01,2024-03-28,2024-04-01T17:12:32.000Z,,4,,,,6984,0,0,xslF345X05/ownership.xml,4
0001140361-24-014825,2024-03-22,,2024-03-22T16:47:00.000Z,34,SC 13D/A,005-78034,24775909,,101914,0,0,ef20024851_sc13da.htm,SC 13D/A
0000950103-24-004179,2024-03-22,2024-03-22,2024-03-22T16:30:41.000Z,,4,,,,15035,0,0,xslF345X05/dp208740_4-borse.xml,FORM 4
0001193125-24-075204,2024-03-22,2024-03-22,2024-03-22T16:05:59.000Z,34,8-K,001-38855,24775218,"8.01,9.01",226908,1,1,d818003d8k.htm,8-K
0001193125-24-073867,2024-03-21,,2024-03-21T16:23:24.000Z,33,424B7,333-255666,24771712,,733660,0,0,d783528d424b7.htm,424B7
0001140361-24-014246,2024-03-20,,2024-03-20T10:29:25.000Z,34,SC 13D/A,005-78034,24766648,,428620,0,0,ef20024661_sc13da.htm,SC 13D/A
0001193125-24-072138,2024-03-20,2024-03-19,2024-03-20T09:06:07.000Z,34,8-K,001-38855,24766464,"1.01,8.01,9.01",650589,1,1,d812900d8k.htm,8-K
0001193125-24-071296,2024-03-19,,2024-03-19T16:11:56.000Z,34,FWP,333-255666,24763318,,13549,0,0,d783528dfwp.htm,FWP
0001193125-24-071247,2024-03-19,,2024-03-19T16:02:07.000Z,33,424B7,333-255666,24762961,,713224,0,0,d783528d424b7.htm,424B7
0001140361-24-012544,2024-03-11,,2024-03-11T12:51:47.000Z,34,SC 13D/A,005-78034,24737279,,1276224,0,0,ef20022496_sc13da.htm,SC 13D/A
0000950170-24-024806,2024-03-04,2024-03-01,2024-03-04T16:00:36.000Z,,4,,,,4855,0,0,xslF345X05/ownership.xml,4
0001950047-24-001600,2024-03-01,,2024-03-01T16:03:10.000Z,33,144,001-38855,24709478,,4890,0,0,xsl144X01/primary_doc.xml,
0000950170-24-019339,2024-02-23,2024-02-21,2024-02-23T16:00:23.000Z,,4,,,,11547,0,0,xslF345X05/ownership.xml,4
0000950170-24-018849,2024-02-22,2024-02-20,2024-02-22T16:43:58.000Z,,4,,,,6834,0,0,xslF345X05/ownership.xml,4
0000950170-24-018845,2024-02-22,2024-02-20,2024-02-22T16:42:13.000Z,,4,,,,6766,0,0,xslF345X05/ownership.xml,4
0000950170-24-018842,2024-02-22,2024-02-20,2024-02-22T16:39:49.000Z,,4,,,,6850,0,0,xslF345X05/ownership.xml,4
0000950170-24-018839,2024-02-22,2024-02-20,2024-02-22T16:38:00.000Z,,4,,,,6851,0,0,xslF345X05/ownership.xml,4
0000950170-24-018833,2024-02-22,2024-02-20,2024-02-22T16:34:09.000Z,,4,,,,6824,0,0,xslF345X05/ownership.xml,4
0000950170-24-018816,2024-02-22,2024-02-20,2024-02-22T16:29:05.000Z,,4,,,,6785,0,0,xslF345X05/ownership.xml,4
0001120193-24-000006,2024-02-21,2023-12-31,2024-02-21T17:03:01.000Z,34,10-K,001-38855,24660769,,18132898,1,1,ndaq-20231231.htm,10-K
0001104659-24-021519,2024-02-13,,2024-02-13T17:09:42.000Z,34,SC 13G/A,005-78034,24629015,,13175,0,0,tv01508-nasdaqinc.htm,SCHEDULE 13G/A
0000912938-24-000218,2024-02-09,,2024-02-09T11:49:02.000Z,34,SC 13G/A,005-78034,24613251,,17565,0,0,SEC13G_Filing.htm,SEC SCHEDULE 13G
0001086364-24-006043,2024-01-31,,2024-01-31T14:08:27.000Z,34,SC 13G,005-78034,24582160,,13953,0,0,us6311031081_013124.txt,
0001193125-24-020225,2024-01-31,2024-01-31,2024-01-31T07:14:03.000Z,34,8-K,001-38855,24580625,"2.02,7.01,8.01,9.01",655300,1,1,d169716d8k.htm,8-K
0001193125-24-009301,2024-01-17,2023-11-01,2024-01-17T16:53:38.000Z,34,8-K/A,001-38855,24539100,"7.01,9.01",1665407,1,1,d47532d8ka.htm,8-K/A
0001209191-24-000088,2024-01-02,2023-12-29,2024-01-02T16:14:14.000Z,,4,,,,6725,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-23-058651,2023-12-14,2023-12-12,2023-12-14T16:43:09.000Z,,4,,,,6652,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-23-057940,2023-12-08,2023-12-06,2023-12-08T16:40:36.000Z,,4,,,,5210,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-23-057939,2023-12-08,2023-12-06,2023-12-08T16:39:50.000Z,,4,,,,5151,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-23-057938,2023-12-08,2023-12-01,2023-12-08T16:38:36.000Z,,3,,,,6921,0,0,xslF345X02/doc3.xml,FORM 3 SUBMISSION
0001209191-23-056896,2023-11-29,2023-11-27,2023-11-29T16:16:05.000Z,,4,,,,5536,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001140361-23-051587,2023-11-06,,2023-11-06T16:30:26.000Z,34,SC 13D/A,005-78034,231380363,,106671,0,0,ef20014111_sc13da.htm,SC 13D/A
0000950170-23-058912,2023-11-03,2023-11-01,2023-11-03T17:22:59.000Z,,3,,,,7516,0,0,xslF345X02/ownership.xml,3
0001193125-23-270478,2023-11-03,,2023-11-03T16:52:27.000Z,34,SC 13D,005-78034,231377106,,59584,0,0,d534661dsc13d.htm,SC 13D
0001209191-23-054321,2023-11-03,2023-11-01,2023-11-03T16:25:52.000Z,,3,,,,6898,0,0,xslF345X02/doc3.xml,FORM 3 SUBMISSION
0001193125-23-270374,2023-11-03,2023-11-01,2023-11-03T16:09:07.000Z,34,8-K,001-38855,231376400,"1.01,2.01,3.02,5.02,8.01,9.01",571867,1,1,d655352d8k.htm,8-K
0001209191-23-054309,2023-11-03,2023-11-01,2023-11-03T16:08:37.000Z,,4,,,,4999,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001120193-23-000031,2023-11-03,2023-09-30,2023-11-03T15:02:31.000Z,34,10-Q,001-38855,231375955,,12574071,1,1,ndaq-20230930.htm,10-Q
0001972362-23-000870,2023-11-01,,2023-11-01T16:26:00.000Z,33,144,001-38855,231368617,,4257,0,0,xsl144X01/primary_doc.xml,
0001209191-23-053542,2023-10-25,2023-10-23,2023-10-25T16:02:10.000Z,,4,,,,4949,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001193125-23-258050,2023-10-18,2023-10-18,2023-10-18T07:18:02.000Z,34,8-K,001-38855,231330915,"2.02,7.01,8.01,9.01",586932,1,1,d558543d8k.htm,8-K
0001193125-23-227721,2023-09-01,2023-08-29,2023-09-01T16:55:02.000Z,34,8-K,001-38855,231233226,"5.02,8.01,9.01",242996,1,1,d549304d8k.htm,8-K
0001209191-23-044773,2023-08-07,2023-08-03,2023-08-07T16:04:06.000Z,,4,,,,5773,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-23-044193,2023-08-02,2023-07-31,2023-08-02T16:12:16.000Z,,4,,,,9706,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001120193-23-000022,2023-08-02,2023-06-30,2023-08-02T12:04:05.000Z,34,10-Q,001-38855,231134432,,12764253,1,1,ndaq-20230630.htm,10-Q
0001209191-23-043411,2023-07-26,2023-07-24,2023-07-26T16:13:30.000Z,,4,,,,5696,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001969223-23-000212,2023-07-25,,2023-07-25T16:42:19.000Z,33,144/A,001-38855,231109109,,4540,0,0,xsl144X01/primary_doc.xml,
0001209191-23-043293,2023-07-25,2023-07-21,2023-07-25T16:11:58.000Z,,4,,,,4998,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001969223-23-000210,2023-07-24,,2023-07-24T16:43:10.000Z,33,144,001-38855,231105513,,4388,0,0,xsl144X01/primary_doc.xml,
0001969223-23-000209,2023-07-24,,2023-07-24T15:49:21.000Z,33,144,001-38855,231104989,,4193,0,0,xsl144X01/primary_doc.xml,
0001972362-23-000495,2023-07-21,,2023-07-21T17:10:53.000Z,33,144,001-38855,231103132,,4746,0,0,xsl144X01/primary_doc.xml,
0001193125-23-189208,2023-07-19,2023-07-19,2023-07-19T07:18:02.000Z,34,8-K,001-38855,231095565,"2.02,7.01,8.01,9.01",595402,1,1,d446058d8k.htm,8-K
0001209191-23-040956,2023-07-05,2023-07-03,2023-07-05T16:03:36.000Z,,4,,,,5229,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001209191-23-040954,2023-07-05,2023-07-03,2023-07-05T16:03:05.000Z,,4,,,,5172,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001209191-23-040950,2023-07-05,2023-07-03,2023-07-05T16:02:27.000Z,,4,,,,5194,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001354457-23-000442,2023-06-29,,2023-06-29T16:00:21.000Z,34,CERT,001-38855,231057292,,253875,0,0,8A_Cert_NDAQ.pdf,
0001193125-23-177638,2023-06-29,,2023-06-28T17:50:58.000Z,34,8-A12B,001-38855,231053655,,179355,0,0,d529712d8a12b.htm,8-A12B
0001193125-23-177619,2023-06-28,2023-06-28,2023-06-28T17:26:41.000Z,34,8-K,001-38855,231053362,"1.01,2.03,8.01,9.01",2197571,1,1,d494014d8k.htm,8-K
0001193125-23-176140,2023-06-27,2023-06-21,2023-06-27T16:05:57.000Z,34,8-K,001-38855,231047320,5.07,224483,1,1,d507938d8k.htm,8-K
0001193125-23-175270,2023-06-26,,2023-06-26T17:28:59.000Z,33,424B5,333-255666,231043350,,871690,0,0,d516533d424b5.htm,424B5
0001193125-23-175269,2023-06-26,,2023-06-26T17:28:26.000Z,33,424B5,333-255666,231043342,,905468,0,0,d500700d424b5.htm,424B5
0001193125-23-173987,2023-06-23,2023-06-20,2023-06-23T17:30:33.000Z,34,8-K,001-38855,231038824,"8.01,9.01",806232,1,1,d802847d8k.htm,8-K
0001209191-23-039381,2023-06-23,2023-06-21,2023-06-23T16:20:38.000Z,,4,,,,7064,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001209191-23-039377,2023-06-23,2023-06-21,2023-06-23T16:19:45.000Z,,4,,,,5152,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001209191-23-039371,2023-06-23,2023-06-21,2023-06-23T16:18:53.000Z,,4,,,,6771,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001209191-23-039364,2023-06-23,2023-06-21,2023-06-23T16:17:51.000Z,,4,,,,5957,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001209191-23-039357,2023-06-23,2023-06-21,2023-06-23T16:16:53.000Z,,4,,,,5980,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001209191-23-039348,2023-06-23,2023-06-21,2023-06-23T16:15:34.000Z,,4,,,,6907,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001209191-23-039345,2023-06-23,2023-06-21,2023-06-23T16:15:01.000Z,,4,,,,5115,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
0001209191-23-039340,2023-06-23,2023-06-21,2023-06-23T16:13:44.000Z,,4,,,,5047,0,0,xslF345X04/doc4.xml,FORM 4 SUBMISSION
