accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000073124-24-000171,2024-05-17,2024-05-15,2024-05-17T17:03:54.000Z,,4,,,,7058,0,0,xslF345X05/wk-form4_1715979817.xml,FORM 4
0000073124-24-000169,2024-05-14,,2024-05-14T17:39:26.000Z,33,144,001-36609,24946057,,6315,0,0,xsl144X01/primary_doc.xml,
0001256484-24-000012,2024-05-14,2024-03-31,2024-05-14T11:03:06.000Z,34,13F-HR,028-00290,24942090,,7862803,0,0,xslForm13F_X02/primary_doc.xml,
0000073124-24-000165,2024-05-03,2024-05-01,2024-05-03T17:00:37.000Z,,4,,,,12564,0,0,xslF345X05/wk-form4_1714770018.xml,FORM 4
0000073124-24-000163,2024-05-02,2024-04-30,2024-05-02T17:40:40.000Z,,4,,,,10622,0,0,xslF345X05/wk-form4_1714686025.xml,FORM 4
0001959173-24-003117,2024-05-01,,2024-05-01T12:36:30.000Z,33,144,001-36609,24901701,,4847,0,0,xsl144X01/primary_doc.xml,
0000073124-24-000161,2024-04-25,2024-04-23,2024-04-25T17:06:33.000Z,,4,,,,5396,0,0,xslF345X05/wk-form4_1714079183.xml,FORM 4
0000073124-24-000159,2024-04-23,2024-03-31,2024-04-23T17:25:22.000Z,34,10-Q,001-36609,24866012,,24201833,1,1,ntrs-20240331.htm,10-Q
0000073124-24-000155,2024-04-19,2024-04-16,2024-04-19T16:30:55.000Z,34,8-K,001-36609,24858224,5.07,222588,1,1,ntrs-20240416.htm,8-K
0000073124-24-000152,2024-04-18,2024-04-16,2024-04-18T19:09:58.000Z,,4,,,,10627,0,0,xslF345X05/wk-form4_1713481788.xml,FORM 4
0000073124-24-000151,2024-04-18,2024-04-16,2024-04-18T19:09:44.000Z,,4,,,,5703,0,0,xslF345X05/wk-form4_1713481775.xml,FORM 4
0000073124-24-000150,2024-04-18,2024-04-16,2024-04-18T19:09:30.000Z,,4,,,,6223,0,0,xslF345X05/wk-form4_1713481759.xml,FORM 4
0000073124-24-000149,2024-04-18,2024-04-16,2024-04-18T19:09:16.000Z,,4,,,,10449,0,0,xslF345X05/wk-form4_1713481747.xml,FORM 4
0000073124-24-000148,2024-04-18,2024-04-16,2024-04-18T19:09:04.000Z,,4,,,,6041,0,0,xslF345X05/wk-form4_1713481735.xml,FORM 4
0000073124-24-000147,2024-04-18,2024-04-16,2024-04-18T19:08:52.000Z,,4,,,,6765,0,0,xslF345X05/wk-form4_1713481722.xml,FORM 4
0000073124-24-000146,2024-04-18,2024-04-16,2024-04-18T19:08:40.000Z,,4,,,,5693,0,0,xslF345X05/wk-form4_1713481711.xml,FORM 4
0000073124-24-000145,2024-04-18,2024-04-16,2024-04-18T19:08:28.000Z,,4,,,,6818,0,0,xslF345X05/wk-form4_1713481700.xml,FORM 4
0000073124-24-000144,2024-04-18,2024-04-16,2024-04-18T19:08:17.000Z,,4,,,,6208,0,0,xslF345X05/wk-form4_1713481687.xml,FORM 4
0000073124-24-000143,2024-04-18,2024-04-16,2024-04-18T19:08:05.000Z,,4,,,,7403,0,0,xslF345X05/wk-form4_1713481675.xml,FORM 4
0001124194-24-000003,2024-04-18,2024-04-16,2024-04-18T14:44:43.000Z,,4,,,,7276,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0000073124-24-000132,2024-04-17,2024-04-16,2024-04-16T17:31:23.000Z,34,8-K/A,001-36609,24848829,"2.02,7.01,9.01",4338185,1,1,ntrs-20240416.htm,8-K/A
0000073124-24-000130,2024-04-16,2024-04-16,2024-04-16T17:28:36.000Z,34,8-K,001-36609,24848809,"7.01,9.01",1431471,1,1,ntrs-20240416.htm,8-K
0000073124-24-000122,2024-04-16,2024-04-16,2024-04-16T07:12:27.000Z,34,8-K,001-36609,24846099,"2.02,7.01,9.01",4336854,1,1,ntrs-20240416.htm,8-K
0000073124-24-000118,2024-04-05,2024-04-03,2024-04-05T17:23:37.000Z,,4,,,,5014,0,0,xslF345X05/wk-form4_1712352208.xml,FORM 4
0001124194-24-000002,2024-04-03,2024-04-01,2024-04-03T12:56:26.000Z,,4,,,,7280,0,0,xslF345X05/primary_doc.xml,PRIMARY DOCUMENT
0000073124-24-000116,2024-04-02,2024-04-01,2024-04-02T16:50:49.000Z,,4,,,,6717,0,0,xslF345X05/wk-form4_1712091034.xml,FORM 4
0000073124-24-000115,2024-04-02,2024-03-31,2024-04-02T16:50:28.000Z,,4,,,,7409,0,0,xslF345X05/wk-form4_1712091009.xml,FORM 4
0000073124-24-000114,2024-04-02,2024-04-01,2024-04-02T16:50:06.000Z,,4,,,,5331,0,0,xslF345X05/wk-form4_1712090993.xml,FORM 4
0000073124-24-000113,2024-04-02,2024-04-01,2024-04-02T16:49:48.000Z,,4,,,,5414,0,0,xslF345X05/wk-form4_1712090964.xml,FORM 4
0000073124-24-000112,2024-04-02,2024-04-01,2024-04-02T16:49:19.000Z,,4,,,,4636,0,0,xslF345X05/wk-form4_1712090938.xml,FORM 4
0000073124-24-000111,2024-04-02,2024-04-01,2024-04-02T16:48:55.000Z,,4,,,,4665,0,0,xslF345X05/wk-form4_1712090915.xml,FORM 4
0000073124-24-000110,2024-04-02,2024-03-31,2024-04-02T16:48:32.000Z,,4,,,,6772,0,0,xslF345X05/wk-form4_1712090901.xml,FORM 4
0001193125-24-060823,2024-03-06,,2024-03-06T16:55:59.000Z,34,DEFA14A,001-36609,24726746,,333291,0,0,d117431ddefa14a.htm,DEFA14A
0001193125-24-060814,2024-03-06,2024-04-16,2024-03-06T16:54:16.000Z,34,DEF 14A,001-36609,24726718,,9944625,1,1,d117431ddef14a.htm,DEF 14A
0000073124-24-000102,2024-03-06,2023-12-31,2024-03-06T16:32:00.000Z,34,ARS,001-36609,24726408,,33124429,0,0,nt2023ars.pdf,ARS
0000073124-24-000100,2024-03-06,2024-03-05,2024-03-06T06:26:47.000Z,34,8-K,001-36609,24724307,8.01,196548,1,1,ntrs-20240305.htm,8-K
0000073124-24-000098,2024-03-05,2024-03-01,2024-03-05T19:07:09.000Z,,4,,,,5710,0,0,xslF345X05/wk-form4_1709683610.xml,FORM 4
0000073124-24-000097,2024-03-05,2024-03-01,2024-03-05T19:06:49.000Z,,4,,,,4992,0,0,xslF345X05/wk-form4_1709683596.xml,FORM 4
0000073124-24-000096,2024-03-05,2024-03-01,2024-03-05T19:06:33.000Z,,4,,,,5726,0,0,xslF345X05/wk-form4_1709683582.xml,FORM 4
0000073124-24-000095,2024-03-05,2024-03-01,2024-03-05T19:06:18.000Z,,4,,,,5741,0,0,xslF345X05/wk-form4_1709683569.xml,FORM 4
0000073124-24-000094,2024-03-05,2024-03-01,2024-03-05T19:06:06.000Z,,4,,,,9425,0,0,xslF345X05/wk-form4_1709683552.xml,FORM 4
0000073124-24-000093,2024-03-05,2024-03-01,2024-03-05T19:05:47.000Z,,4,,,,7228,0,0,xslF345X05/wk-form4_1709683527.xml,FORM 4
0000073124-24-000092,2024-03-05,2024-03-01,2024-03-05T19:05:22.000Z,,4,,,,5034,0,0,xslF345X05/wk-form4_1709683493.xml,FORM 4
0000073124-24-000091,2024-03-05,2024-03-01,2024-03-05T19:04:52.000Z,,4,,,,9482,0,0,xslF345X05/wk-form4_1709683481.xml,FORM 4
0000073124-24-000090,2024-03-05,2024-03-01,2024-03-05T19:04:38.000Z,,4,,,,7200,0,0,xslF345X05/wk-form4_1709683468.xml,FORM 4
0000073124-24-000089,2024-03-05,2024-03-01,2024-03-05T19:04:26.000Z,,4,,,,5073,0,0,xslF345X05/wk-form4_1709683452.xml,FORM 4
0000073124-24-000088,2024-03-05,2024-03-01,2024-03-05T19:04:11.000Z,,4,,,,5712,0,0,xslF345X05/wk-form4_1709683413.xml,FORM 4
0000073124-24-000076,2024-03-05,2024-02-21,2024-03-05T18:57:17.000Z,,4/A,,,,5078,0,0,xslF345X05/wk-form4a_1709683024.xml,FORM 4/A
0000073124-24-000073,2024-02-27,2023-12-31,2024-02-27T17:23:06.000Z,34,10-K,001-36609,24688641,,37267535,1,1,ntrs-20231231.htm,10-K
0000073124-24-000070,2024-02-26,2024-02-22,2024-02-26T21:22:21.000Z,,4,,,,5744,0,0,xslF345X05/wk-form4_1709000500.xml,FORM 4
0000073124-24-000067,2024-02-23,2024-02-21,2024-02-23T16:51:38.000Z,,4,,,,4725,0,0,xslF345X05/wk-form4_1708725083.xml,FORM 4
0000073124-24-000066,2024-02-23,2024-02-21,2024-02-23T16:51:16.000Z,,4,,,,5426,0,0,xslF345X05/wk-form4_1708725060.xml,FORM 4
0000073124-24-000065,2024-02-23,2024-02-21,2024-02-23T16:50:53.000Z,,4,,,,5395,0,0,xslF345X05/wk-form4_1708725042.xml,FORM 4
0000073124-24-000064,2024-02-23,2024-02-21,2024-02-23T16:50:37.000Z,,4,,,,5396,0,0,xslF345X05/wk-form4_1708725022.xml,FORM 4
0000073124-24-000063,2024-02-23,2024-02-21,2024-02-23T16:50:19.000Z,,4,,,,4681,0,0,xslF345X05/wk-form4_1708724999.xml,FORM 4
0000073124-24-000062,2024-02-23,2024-02-21,2024-02-23T16:49:54.000Z,,4,,,,4758,0,0,xslF345X05/wk-form4_1708724981.xml,FORM 4
0000073124-24-000061,2024-02-23,2024-02-21,2024-02-23T16:49:35.000Z,,4,,,,14252,0,0,xslF345X05/wk-form4_1708724959.xml,FORM 4
0000073124-24-000060,2024-02-23,2024-02-21,2024-02-23T16:49:16.000Z,,4,,,,4693,0,0,xslF345X05/wk-form4_1708724917.xml,FORM 4
