accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001193125-24-141514,2024-05-17,,2024-05-17T13:21:55.000Z,33,S-3ASR,333-279482,24958739,,564804,0,0,d795738ds3asr.htm,S-3ASR
0001193125-24-141513,2024-05-17,,2024-05-17T13:19:57.000Z,33,S-8 POS,333-268127,24958733,,111959,0,0,d841718ds8pos.htm,S-8 POS
0001193125-24-141509,2024-05-17,,2024-05-17T13:17:57.000Z,33,S-8 POS,333-204406,24958725,,111959,0,0,d841718ds8pos.htm,S-8 POS
0001193125-24-141502,2024-05-17,,2024-05-17T13:12:38.000Z,33,S-8,333-279481,24958712,,110237,0,0,d840483ds8.htm,S-8
0001127602-24-015561,2024-05-16,2024-05-15,2024-05-16T13:40:07.000Z,,4,,,,4532,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0000080661-24-000024,2024-05-15,2023-12-31,2024-05-15T14:26:27.000Z,34,11-K,001-09518,24949389,,259628,0,0,pgr-20231231x401kx11k.htm,11-K
0001959173-24-003553,2024-05-15,,2024-05-15T11:01:02.000Z,33,144,001-09518,24948235,,5453,0,0,xsl144X01/primary_doc.xml,
0000080661-24-000023,2024-05-15,2024-05-15,2024-05-15T08:56:45.000Z,34,8-K,001-09518,24947416,"7.01,9.01",550904,1,1,pgr-20240515.htm,8-K
0000080661-24-000022,2024-05-14,2024-05-10,2024-05-14T14:52:58.000Z,34,8-K,001-09518,24943593,"5.02,5.07,7.01,9.01",380917,1,1,pgr-20240510.htm,8-K
0001127602-24-015218,2024-05-14,2024-05-10,2024-05-14T13:52:54.000Z,,4,,,,4992,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015214,2024-05-14,2024-05-10,2024-05-14T13:47:37.000Z,,4,,,,4940,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015191,2024-05-14,2024-05-10,2024-05-14T11:25:57.000Z,,4,,,,4959,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015189,2024-05-14,2024-05-10,2024-05-14T11:21:36.000Z,,4,,,,4946,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015187,2024-05-14,2024-05-10,2024-05-14T11:15:56.000Z,,4,,,,4984,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015185,2024-05-14,2024-05-10,2024-05-14T11:11:55.000Z,,4,,,,4968,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015182,2024-05-14,2024-05-10,2024-05-14T11:05:31.000Z,,4,,,,5227,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015177,2024-05-14,2024-05-10,2024-05-14T10:57:12.000Z,,4,,,,5168,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015175,2024-05-14,2024-05-10,2024-05-14T10:51:36.000Z,,4,,,,5756,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015173,2024-05-14,2024-05-10,2024-05-14T10:46:06.000Z,,4,,,,5056,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015168,2024-05-14,2024-05-10,2024-05-14T10:36:31.000Z,,4,,,,5105,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0000080661-24-000018,2024-05-06,2024-03-31,2024-05-06T09:56:59.000Z,34,10-Q,001-09518,24916155,,13932249,1,1,pgr-20240331.htm,10-Q
0001096906-24-000997,2024-05-01,,2024-04-30T18:11:20.000Z,34,PX14A6G,001-09518,24899078,,23445,0,0,ncppr_px14a6g.htm,NATIONAL CENTER FOR PUBLIC POLICY RESEARCH - PX14A6G
0001127602-24-013177,2024-04-19,2024-04-17,2024-04-19T11:37:23.000Z,,4,,,,4207,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001959173-24-002963,2024-04-17,,2024-04-17T13:30:07.000Z,33,144,001-09518,24850180,,4238,0,0,xsl144X01/primary_doc.xml,
0001127602-24-012984,2024-04-16,2024-04-12,2024-04-16T16:03:12.000Z,,4,,,,7804,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-012982,2024-04-16,2024-04-12,2024-04-16T15:57:29.000Z,,4,,,,5381,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-012980,2024-04-16,2024-04-12,2024-04-16T15:51:46.000Z,,4,,,,5383,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-012978,2024-04-16,2024-04-12,2024-04-16T15:47:41.000Z,,4,,,,5375,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-012976,2024-04-16,2024-04-12,2024-04-16T15:42:55.000Z,,4,,,,5377,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-012972,2024-04-16,2024-04-12,2024-04-16T15:37:44.000Z,,4,,,,5401,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-012970,2024-04-16,2024-04-12,2024-04-16T15:33:30.000Z,,4,,,,5329,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-012968,2024-04-16,2024-04-12,2024-04-16T15:28:26.000Z,,4,,,,5485,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-012966,2024-04-16,2024-04-12,2024-04-16T15:24:30.000Z,,4,,,,5404,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-012964,2024-04-16,2024-04-12,2024-04-16T15:20:47.000Z,,4,,,,7745,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-012961,2024-04-16,2024-04-12,2024-04-16T15:15:11.000Z,,4,,,,5380,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-012959,2024-04-16,2024-04-12,2024-04-16T14:58:30.000Z,,4,,,,5346,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-012957,2024-04-16,2024-04-12,2024-04-16T14:52:42.000Z,,4,,,,5336,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-012955,2024-04-16,2024-04-12,2024-04-16T14:47:12.000Z,,4,,,,5268,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-012952,2024-04-16,2024-04-12,2024-04-16T14:40:36.000Z,,4,,,,9437,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
