accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000713676-24-000048,2024-05-14,2024-05-08,2024-05-14T16:27:54.000Z,34,8-K,001-09718,24944842,"8.01,9.01",14326494,1,1,pnc-20240508.htm,8-K
0000950123-24-004308,2024-05-10,2024-03-31,2024-05-10T09:41:29.000Z,34,13F-HR,028-01235,24933143,,8790338,0,0,xslForm13F_X02/primary_doc.xml,
0001628280-24-022004,2024-05-09,,2024-05-09T10:39:31.000Z,33,424B2,333-261622,24929159,,748373,0,0,pncfsg-6nc5xfinalprosupp.htm,424B2
0001628280-24-021698,2024-05-08,,2024-05-08T16:19:02.000Z,34,FWP,333-261622,24926388,,69938,0,0,pncfsg-may2024fwp.htm,FWP
0001628280-24-021693,2024-05-08,2024-05-07,2024-05-08T16:16:14.000Z,,4,,,,4871,0,0,xslF345X05/wk-form4_1715199360.xml,FORM 4
0001628280-24-021394,2024-05-08,,2024-05-08T08:34:54.000Z,33,424B5,333-261622,24924398,,727636,0,0,pncfsg-6nc5xprelimprosupp.htm,424B5
0001959173-24-003315,2024-05-07,,2024-05-07T15:11:38.000Z,33,144,001-09718,24921381,,5740,0,0,xsl144X01/primary_doc.xml,
0001628280-24-020705,2024-05-06,2024-05-01,2024-05-06T17:03:38.000Z,,3,,,,290761,0,0,xslF345X02/wk-form3_1715029400.xml,FORM 3
0000713676-24-000046,2024-05-02,2024-03-31,2024-05-02T12:26:26.000Z,34,10-Q,001-09718,24906626,,28844995,1,1,pnc-20240331.htm,10-Q
0000713676-24-000041,2024-04-29,2024-04-24,2024-04-29T16:05:23.000Z,34,8-K,001-09718,24890587,5.07,209901,1,1,pnc-20240424.htm,8-K
0001628280-24-018613,2024-04-26,2024-04-24,2024-04-26T15:50:40.000Z,,4,,,,8974,0,0,xslF345X05/wk-form4_1714161031.xml,FORM 4
0001628280-24-018612,2024-04-26,2024-04-24,2024-04-26T15:50:29.000Z,,4,,,,7589,0,0,xslF345X05/wk-form4_1714161016.xml,FORM 4
0001628280-24-018611,2024-04-26,2024-04-24,2024-04-26T15:50:15.000Z,,4,,,,8100,0,0,xslF345X05/wk-form4_1714161005.xml,FORM 4
0001628280-24-018610,2024-04-26,2024-04-24,2024-04-26T15:50:04.000Z,,4,,,,7601,0,0,xslF345X05/wk-form4_1714160993.xml,FORM 4
0001628280-24-018609,2024-04-26,2024-04-24,2024-04-26T15:49:50.000Z,,4,,,,8947,0,0,xslF345X05/wk-form4_1714160977.xml,FORM 4
0001628280-24-018608,2024-04-26,2024-04-24,2024-04-26T15:49:35.000Z,,4,,,,8819,0,0,xslF345X05/wk-form4_1714160962.xml,FORM 4
0001628280-24-018607,2024-04-26,2024-04-24,2024-04-26T15:49:20.000Z,,4,,,,6269,0,0,xslF345X05/wk-form4_1714160948.xml,FORM 4
0001628280-24-018606,2024-04-26,2024-04-24,2024-04-26T15:49:04.000Z,,4,,,,7590,0,0,xslF345X05/wk-form4_1714160933.xml,FORM 4
0001628280-24-018605,2024-04-26,2024-04-24,2024-04-26T15:48:51.000Z,,4,,,,6221,0,0,xslF345X05/wk-form4_1714160919.xml,FORM 4
0001628280-24-018590,2024-04-26,2024-04-24,2024-04-26T15:42:15.000Z,,4,,,,7609,0,0,xslF345X05/wk-form4_1714160525.xml,FORM 4
0001628280-24-018586,2024-04-26,2024-04-24,2024-04-26T15:37:33.000Z,,4,,,,7596,0,0,xslF345X05/wk-form4_1714160239.xml,FORM 4
0001628280-24-017364,2024-04-23,2024-04-20,2024-04-23T15:52:25.000Z,,4,,,,5128,0,0,xslF345X05/wk-form4_1713901935.xml,FORM 4
0001949846-24-000207,2024-04-23,,2024-04-23T15:23:13.000Z,33,144,001-09718,24864547,,5145,0,0,xsl144X01/primary_doc.xml,
0000713676-24-000039,2024-04-16,2024-04-16,2024-04-16T12:55:08.000Z,34,8-K,001-09718,24846883,"7.01,9.01",4540249,1,1,pnc-20240416.htm,8-K
0000713676-24-000037,2024-04-16,2024-04-16,2024-04-16T06:35:15.000Z,34,8-K,001-09718,24846080,"2.02,8.01,9.01",2855701,1,1,pnc-20240416.htm,8-K
0001628280-24-014691,2024-04-03,2024-04-01,2024-04-03T17:33:27.000Z,,4,,,,8150,0,0,xslF345X05/wk-form4_1712179996.xml,FORM 4
0001628280-24-014686,2024-04-03,2024-04-01,2024-04-03T17:31:09.000Z,,4,,,,9829,0,0,xslF345X05/wk-form4_1712179851.xml,FORM 4
0001628280-24-014682,2024-04-03,2024-04-01,2024-04-03T17:29:35.000Z,,4,,,,8151,0,0,xslF345X05/wk-form4_1712179765.xml,FORM 4
0001628280-24-014671,2024-04-03,2024-04-01,2024-04-03T17:25:44.000Z,,4,,,,9854,0,0,xslF345X05/wk-form4_1712179532.xml,FORM 4
0001628280-24-014664,2024-04-03,2024-04-01,2024-04-03T17:20:50.000Z,,4,,,,9699,0,0,xslF345X05/wk-form4_1712179235.xml,FORM 4
0001628280-24-014661,2024-04-03,2024-04-01,2024-04-03T17:17:04.000Z,,4,,,,8156,0,0,xslF345X05/wk-form4_1712179014.xml,FORM 4
0001628280-24-014654,2024-04-03,2024-04-01,2024-04-03T17:15:09.000Z,,4,,,,8169,0,0,xslF345X05/wk-form4_1712178897.xml,FORM 4
0001628280-24-014639,2024-04-03,2024-04-01,2024-04-03T17:08:16.000Z,,4,,,,8163,0,0,xslF345X05/wk-form4_1712178480.xml,FORM 4
0001628280-24-012706,2024-03-22,2024-03-13,2024-03-22T14:51:53.000Z,,3,,,,291494,0,0,xslF345X02/wk-form3_1711133503.xml,FORM 3
0000950123-24-002962,2024-03-22,2023-12-31,2024-03-22T08:25:56.000Z,34,13F-HR/A,028-01235,24773176,,8784710,0,0,xslForm13F_X02/primary_doc.xml,
0001193125-24-066855,2024-03-13,,2024-03-13T16:20:28.000Z,34,DEFA14A,001-09718,24746203,,170874,0,0,d540496ddefa14a.htm,DEFA14A
0001193125-24-066850,2024-03-13,2024-04-24,2024-03-13T16:16:28.000Z,34,DEF 14A,001-09718,24746113,,23384983,1,1,d540496ddef14a.htm,DEF 14A
0000713676-24-000034,2024-03-05,2024-03-05,2024-03-05T13:57:34.000Z,34,8-K,001-09718,24719546,"2.02,8.01,9.01",3584280,1,1,pnc-20240305.htm,8-K
0000713676-24-000030,2024-03-01,2023-12-31,2024-03-01T08:29:25.000Z,34,ARS,001-09718,24707069,,78988774,0,0,pnc2023annualreport.htm,ARS
0001209191-24-003734,2024-02-21,2024-02-16,2024-02-21T18:09:21.000Z,,4,,,,12705,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
0001209191-24-003733,2024-02-21,2024-02-16,2024-02-21T18:07:26.000Z,,4,,,,11254,0,0,xslF345X05/doc4.xml,FORM 4 SUBMISSION
