accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001127602-24-015637,2024-05-16,2024-05-14,2024-05-16T16:03:30.000Z,,4,,,,5703,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015625,2024-05-16,2024-05-14,2024-05-16T15:59:00.000Z,,4,,,,5657,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015615,2024-05-16,2024-05-14,2024-05-16T15:54:42.000Z,,4,,,,5710,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015610,2024-05-16,2024-05-14,2024-05-16T15:49:59.000Z,,4,,,,5308,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015607,2024-05-16,2024-05-14,2024-05-16T15:44:44.000Z,,4,,,,5269,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015601,2024-05-16,2024-05-14,2024-05-16T15:40:05.000Z,,4,,,,5127,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015596,2024-05-16,2024-05-14,2024-05-16T15:36:10.000Z,,4,,,,5180,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015593,2024-05-16,2024-05-14,2024-05-16T15:31:05.000Z,,4,,,,5280,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015485,2024-05-15,2024-05-13,2024-05-15T16:45:14.000Z,,4,,,,14835,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001193125-24-138342,2024-05-14,2024-05-14,2024-05-14T16:58:11.000Z,34,8-K,001-16707,24945448,5.07,210853,1,1,d757458d8k.htm,8-K
0001137774-24-000071,2024-05-14,2024-03-31,2024-05-14T14:19:40.000Z,34,13F-HR,028-10077,24943000,,3080173,0,0,xslForm13F_X02/primary_doc.xml,
0001137774-24-000070,2024-05-13,,2024-05-13T18:49:24.000Z,33,144,001-16707,24940835,,4820,0,0,xsl144X01/primary_doc.xml,
0001127602-24-015109,2024-05-13,2024-05-09,2024-05-13T16:43:51.000Z,,4,,,,6599,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015105,2024-05-13,2024-05-09,2024-05-13T16:40:19.000Z,,4,,,,8173,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015103,2024-05-13,2024-05-09,2024-05-13T16:38:33.000Z,,4,,,,8076,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-014738,2024-05-09,2024-05-08,2024-05-09T14:03:30.000Z,,4,,,,6423,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001137774-24-000069,2024-05-08,,2024-05-08T16:37:56.000Z,33,144,001-16707,24926872,,5943,0,0,xsl144X01/primary_doc.xml,
0001137774-24-000068,2024-05-02,2024-03-31,2024-05-02T16:21:46.000Z,34,10-Q,001-16707,24908688,,46937392,1,1,pru-20240331.htm,10-Q
0001193125-24-129020,2024-05-02,,2024-05-02T12:13:25.000Z,34,DEFA14A,001-16707,24906542,,27582,0,0,d832992ddefa14a.htm,DEFA14A
0001137774-24-000064,2024-04-30,2024-04-30,2024-04-30T16:24:56.000Z,34,8-K,001-16707,24897669,"2.02,7.01,9.01",4599904,1,1,pru-20240430.htm,8-K
0001137774-24-000058,2024-04-16,2024-04-16,2024-04-16T16:23:57.000Z,34,8-K,001-16707,24848106,7.01,216336,1,1,pru-20240416.htm,8-K
0001193125-24-080552,2024-03-28,2023-12-31,2024-03-28T16:01:03.000Z,34,ARS,001-16707,24798667,,2493400,0,0,d534871dars.pdf,ARS
0001104659-24-040492,2024-03-28,2024-05-14,2024-03-28T16:00:53.000Z,34,DEF 14A,001-16707,24798663,,17189509,1,1,tm2328464-d3_def14a.htm,DEF 14A
0001127602-24-010966,2024-03-22,2024-03-15,2024-03-22T15:09:39.000Z,,3,,,,16415,0,0,xslF345X02/form3.xml,PRIMARY DOCUMENT
0001127602-24-010482,2024-03-18,2024-03-14,2024-03-18T17:30:05.000Z,,4,,,,5272,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-010479,2024-03-18,2024-03-14,2024-03-18T17:26:03.000Z,,4,,,,5254,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-010475,2024-03-18,2024-03-14,2024-03-18T17:22:24.000Z,,4,,,,11560,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-010471,2024-03-18,2024-03-14,2024-03-18T17:18:53.000Z,,4,,,,11018,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-010467,2024-03-18,2024-03-14,2024-03-18T17:15:02.000Z,,4,,,,11069,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-010460,2024-03-18,2024-03-14,2024-03-18T17:09:46.000Z,,4,,,,11120,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-010456,2024-03-18,2024-03-14,2024-03-18T17:07:07.000Z,,4,,,,5281,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-010455,2024-03-18,2024-03-14,2024-03-18T17:02:57.000Z,,4,,,,8191,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-010450,2024-03-18,2024-03-14,2024-03-18T16:59:21.000Z,,4,,,,11570,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-010443,2024-03-18,2024-03-14,2024-03-18T16:55:08.000Z,,4,,,,8237,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001104659-24-035559,2024-03-18,2024-01-02,2024-03-18T16:16:14.000Z,34,4,811-23894,24759237,,6990,0,0,xslF345X05/tm248863-5_4seq1.xml,OWNERSHIP DOCUMENT
0001104659-24-034681,2024-03-14,2023-09-29,2024-03-14T21:05:30.000Z,34,4,811-23739,24752244,,8992,0,0,xslF345X05/tm248863-4_4seq1.xml,OWNERSHIP DOCUMENT
0001127602-24-010085,2024-03-14,2024-03-12,2024-03-14T15:21:43.000Z,,4,,,,7434,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-010081,2024-03-14,2024-03-12,2024-03-14T14:59:34.000Z,,4,,,,7452,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-009987,2024-03-13,2024-03-11,2024-03-13T16:28:11.000Z,,4,,,,5976,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-009984,2024-03-13,2024-03-11,2024-03-13T16:24:38.000Z,,4,,,,5988,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-009832,2024-03-12,2024-03-08,2024-03-12T17:12:22.000Z,,4,,,,5276,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001137774-24-000054,2024-03-12,,2024-03-12T17:08:13.000Z,33,144,001-16707,24743236,,7632,0,0,xsl144X01/primary_doc.xml,
