accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001633917-24-000068,2024-05-23,2024-05-22,2024-05-23T21:34:00.000Z,,4,,,,4955,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001633917-24-000066,2024-05-23,2024-05-22,2024-05-23T21:31:14.000Z,,4,,,,4980,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001633917-24-000064,2024-05-23,2024-05-22,2024-05-23T21:27:39.000Z,,4,,,,5007,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001633917-24-000062,2024-05-23,2024-05-22,2024-05-23T21:25:13.000Z,,4,,,,4943,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001633917-24-000060,2024-05-23,2024-05-22,2024-05-23T21:22:31.000Z,,4,,,,8428,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001633917-24-000058,2024-05-23,2024-05-22,2024-05-23T21:19:36.000Z,,4,,,,5119,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001633917-24-000056,2024-05-23,2024-05-22,2024-05-23T21:16:31.000Z,,4,,,,5835,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001633917-24-000054,2024-05-23,2024-05-22,2024-05-23T21:13:29.000Z,,4,,,,6794,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001633917-24-000052,2024-05-23,2024-05-22,2024-05-23T21:10:30.000Z,,4,,,,4998,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001633917-24-000050,2024-05-23,2024-05-22,2024-05-23T21:07:52.000Z,,4,,,,4941,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001193125-24-144493,2024-05-22,,2024-05-22T08:44:07.000Z,33,424B2,333-266474,24971710,,769747,0,0,d711660d424b2.htm,424B2
0001193125-24-144012,2024-05-21,2024-05-20,2024-05-21T16:48:39.000Z,34,8-K,001-36859,24970253,"8.01,9.01",348874,1,1,d106373d8k.htm,8-K
0001193125-24-143367,2024-05-21,,2024-05-21T08:18:55.000Z,34,FWP,333-266474,24966901,,29115,0,0,d828049dfwp.htm,FWP
0001193125-24-142990,2024-05-20,,2024-05-20T17:24:56.000Z,34,FWP,333-266474,24965944,,28714,0,0,d823564dfwp.htm,FWP
0001193125-24-142253,2024-05-20,,2024-05-20T08:10:43.000Z,33,424B2,333-266474,24962405,,730955,0,0,d711660d424b2.htm,424B2
0001193125-24-135311,2024-05-09,,2024-05-09T16:30:32.000Z,34,DEFA14A,001-36859,24931217,,87607,0,0,d835207ddefa14a.htm,DEFA14A
0001193125-24-131979,2024-05-06,,2024-05-06T16:31:30.000Z,34,DEFA14A,001-36859,24918026,,3235295,0,0,d828553ddefa14a.htm,DEFA14A
0001193125-24-129463,2024-05-02,,2024-05-02T17:00:29.000Z,34,DEFA14A,001-36859,24909480,,100034,0,0,d806639ddefa14a.htm,DEFA14A
0001633917-24-000048,2024-04-30,2024-03-31,2024-04-30T16:49:48.000Z,34,10-Q,001-36859,24898137,,14974533,1,1,pypl-20240331.htm,10-Q
0001193125-24-123690,2024-04-30,2024-04-30,2024-04-30T07:30:30.000Z,34,8-K,001-36859,24894051,"2.02,9.01",929896,1,1,d831310d8k.htm,8-K
0001214659-24-006986,2024-04-17,,2024-04-17T06:01:08.000Z,34,PX14A6G,001-36859,24849294,,79351,0,0,p416240px14a6g.htm,
0001633917-24-000044,2024-04-16,2024-04-15,2024-04-16T17:45:04.000Z,,4,,,,10172,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001633917-24-000042,2024-04-16,2024-04-15,2024-04-16T17:39:42.000Z,,4,,,,5776,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001096906-24-000850,2024-04-16,,2024-04-16T12:28:19.000Z,34,PX14A6G,001-36859,24846739,,48158,0,0,insp_px14a6g.htm,"INSPIRE INVESTING, LLC - PX14A6G"
0001193125-24-090920,2024-04-09,2023-12-31,2024-04-09T16:51:30.000Z,34,ARS,001-36859,24833300,,2946288,0,0,d555007dars.pdf,ARS
0001193125-24-090916,2024-04-09,,2024-04-09T16:48:55.000Z,34,DEFA14A,001-36859,24833283,,323199,0,0,d555083ddefa14a.htm,DEFA14A
0001193125-24-090908,2024-04-09,2024-05-22,2024-04-09T16:46:25.000Z,34,DEF 14A,001-36859,24833262,,24822469,1,1,d554828ddef14a.htm,DEF 14A
0001193125-24-080896,2024-03-28,2024-03-25,2024-03-28T17:25:59.000Z,34,8-K,001-36859,24800597,"5.02,8.01,9.01",151088,1,1,d787879d8k.htm,8-K
0001633917-24-000040,2024-03-27,2024-03-18,2024-03-27T19:36:59.000Z,,3,,,,6117,0,0,xslF345X02/edgardoc.xml,PRIMARY DOCUMENT
0001096906-24-000605,2024-03-27,,2024-03-27T11:54:53.000Z,34,PX14A6G,001-36859,24787288,,61216,0,0,bowy_px14a6g.htm,BOWYER RESEARCH - PX14A6G
0002007317-24-000346,2024-03-07,,2024-03-07T16:27:03.000Z,33,144,001-36859,24730529,,10631,0,0,xsl144X01/primary_doc.xml,
0001633917-24-000038,2024-03-04,2024-03-01,2024-03-04T18:26:35.000Z,,4,,,,4566,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
0001633917-24-000036,2024-03-04,2024-03-01,2024-03-04T18:19:28.000Z,,4,,,,16015,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT
