accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001225208-24-005745,2024-05-07,2024-05-03,2024-05-07T18:11:12.000Z,,4,,,,9705,0,0,xslF345X05/doc4.xml,
0001281761-24-000032,2024-05-07,2024-03-31,2024-05-07T14:23:11.000Z,34,10-Q,001-34034,24921166,,23494891,1,1,rf-20240331.htm,10-Q
0001958244-24-002180,2024-05-03,,2024-05-03T16:58:38.000Z,33,144,001-34034,24914153,,5770,0,0,xsl144X01/primary_doc.xml,
0001225208-24-005422,2024-05-01,2024-04-29,2024-05-01T11:54:42.000Z,,4,,,,5011,0,0,xslF345X05/doc4.xml,
0001281761-24-000025,2024-04-25,2024-04-25,2024-04-25T17:14:20.000Z,34,8-K,001-34034,24877456,"7.01,9.01",15906401,1,1,rf-20240425.htm,8-K
0001225208-24-005213,2024-04-24,2024-04-22,2024-04-24T19:49:16.000Z,,4,,,,5616,0,0,xslF345X05/doc4.xml,
0001225208-24-005212,2024-04-24,2024-04-22,2024-04-24T19:49:12.000Z,,4,,,,5518,0,0,xslF345X05/doc4.xml,
0001225208-24-005211,2024-04-24,2024-04-22,2024-04-24T19:49:07.000Z,,4,,,,5631,0,0,xslF345X05/doc4.xml,
0001225208-24-005210,2024-04-24,2024-04-22,2024-04-24T19:49:04.000Z,,4,,,,5458,0,0,xslF345X05/doc4.xml,
0001225208-24-005209,2024-04-24,2024-04-22,2024-04-24T19:48:59.000Z,,4,,,,5630,0,0,xslF345X05/doc4.xml,
0001225208-24-005207,2024-04-24,2024-04-22,2024-04-24T19:48:59.000Z,,4,,,,5392,0,0,xslF345X05/doc4.xml,
0001225208-24-005206,2024-04-24,2024-04-22,2024-04-24T19:48:57.000Z,,4,,,,5460,0,0,xslF345X05/doc4.xml,
0001225208-24-005208,2024-04-24,2024-04-22,2024-04-24T19:48:55.000Z,,4,,,,5625,0,0,xslF345X05/doc4.xml,
0001225208-24-005204,2024-04-24,2024-04-22,2024-04-24T19:48:54.000Z,,4,,,,5181,0,0,xslF345X05/doc4.xml,
0001225208-24-005205,2024-04-24,2024-04-22,2024-04-24T19:48:50.000Z,,4,,,,5622,0,0,xslF345X05/doc4.xml,
0001225208-24-005203,2024-04-24,2024-04-22,2024-04-24T19:48:47.000Z,,4,,,,5630,0,0,xslF345X05/doc4.xml,
0001225208-24-005202,2024-04-24,2024-04-22,2024-04-24T19:48:43.000Z,,4,,,,9180,0,0,xslF345X05/doc4.xml,
0001281761-24-000023,2024-04-23,2024-03-31,2024-04-23T14:56:04.000Z,34,13F-HR,028-10938,24864284,,881503,0,0,xslForm13F_X02/primary_doc.xml,
0001225208-24-005145,2024-04-19,2024-04-17,2024-04-19T16:50:37.000Z,,4,,,,8198,0,0,xslF345X05/doc4.xml,
0001225208-24-005144,2024-04-19,2024-04-17,2024-04-19T16:50:36.000Z,,4,,,,6756,0,0,xslF345X05/doc4.xml,
0001225208-24-005143,2024-04-19,2024-04-17,2024-04-19T16:50:28.000Z,,4,,,,7489,0,0,xslF345X05/doc4.xml,
0001225208-24-005142,2024-04-19,2024-04-17,2024-04-19T16:50:25.000Z,,4,,,,7370,0,0,xslF345X05/doc4.xml,
0001225208-24-005141,2024-04-19,2024-04-17,2024-04-19T16:50:22.000Z,,4,,,,6748,0,0,xslF345X05/doc4.xml,
0001225208-24-005140,2024-04-19,2024-04-17,2024-04-19T16:50:19.000Z,,4,,,,7273,0,0,xslF345X05/doc4.xml,
0001225208-24-005139,2024-04-19,2024-04-17,2024-04-19T16:50:13.000Z,,4,,,,10200,0,0,xslF345X05/doc4.xml,
0001281761-24-000022,2024-04-19,2024-04-19,2024-04-19T06:05:00.000Z,34,8-K,001-34034,24855531,"2.02,7.01,9.01",11139997,1,1,rf-20240419.htm,8-K
0001281761-24-000019,2024-04-18,2024-04-17,2024-04-18T17:00:24.000Z,34,8-K,001-34034,24854924,5.07,242300,1,1,rf-20240417.htm,8-K
0001225208-24-005100,2024-04-17,2024-04-15,2024-04-17T18:46:02.000Z,,4,,,,5877,0,0,xslF345X05/doc4.xml,
0001225208-24-005099,2024-04-17,2024-04-15,2024-04-17T18:46:00.000Z,,4,,,,5893,0,0,xslF345X05/doc4.xml,
0001225208-24-005098,2024-04-17,2024-04-15,2024-04-17T18:45:55.000Z,,4,,,,5980,0,0,xslF345X05/doc4.xml,
0001225208-24-005097,2024-04-17,2024-04-15,2024-04-17T18:45:51.000Z,,4,,,,5887,0,0,xslF345X05/doc4.xml,
0001225208-24-005096,2024-04-17,2024-04-15,2024-04-17T18:45:46.000Z,,4,,,,5883,0,0,xslF345X05/doc4.xml,
0001225208-24-005095,2024-04-17,2024-04-15,2024-04-17T18:45:41.000Z,,4,,,,5891,0,0,xslF345X05/doc4.xml,
0001225208-24-004925,2024-04-03,2024-04-01,2024-04-03T18:10:32.000Z,,4,,,,14408,0,0,xslF345X05/doc4.xml,
0001225208-24-004924,2024-04-03,2024-04-01,2024-04-03T18:10:31.000Z,,4,,,,13660,0,0,xslF345X05/doc4.xml,
0001225208-24-004928,2024-04-03,2024-04-01,2024-04-03T18:10:27.000Z,,4,,,,7844,0,0,xslF345X05/doc4.xml,
0001225208-24-004923,2024-04-03,2024-04-01,2024-04-03T18:10:25.000Z,,4,,,,13657,0,0,xslF345X05/doc4.xml,
0001225208-24-004927,2024-04-03,2024-04-01,2024-04-03T18:10:23.000Z,,4,,,,13693,0,0,xslF345X05/doc4.xml,
0001225208-24-004922,2024-04-03,2024-04-01,2024-04-03T18:10:21.000Z,,4,,,,11980,0,0,xslF345X05/doc4.xml,
0001225208-24-004926,2024-04-03,2024-04-01,2024-04-03T18:10:19.000Z,,4,,,,5668,0,0,xslF345X05/doc4.xml,
0001225208-24-004921,2024-04-03,2024-04-01,2024-04-03T18:10:18.000Z,,4,,,,12480,0,0,xslF345X05/doc4.xml,
0001225208-24-004920,2024-04-03,2024-04-01,2024-04-03T18:10:15.000Z,,4,,,,12485,0,0,xslF345X05/doc4.xml,
0001225208-24-004919,2024-04-03,2024-04-01,2024-04-03T18:10:11.000Z,,4,,,,12480,0,0,xslF345X05/doc4.xml,
0001225208-24-004918,2024-04-03,2024-04-01,2024-04-03T18:10:08.000Z,,4,,,,12459,0,0,xslF345X05/doc4.xml,
0001096906-24-000623,2024-03-27,,2024-03-27T17:09:04.000Z,34,PX14A6G,001-34034,24791772,,46262,0,0,insp_px14a6g.htm,"INSPIRE INVESTING, LLC - PX14A6G"
0001096906-24-000586,2024-03-27,,2024-03-26T17:40:39.000Z,34,PX14A6G,001-34034,24784966,,70265,0,0,bowy_px14a6g.htm,BOWYER RESEARCH - PX14A6G
0001225208-24-003531,2024-03-05,2024-03-01,2024-03-05T12:45:09.000Z,,4,,,,5223,0,0,xslF345X05/doc4.xml,
0001225208-24-003530,2024-03-05,2024-03-01,2024-03-05T11:54:25.000Z,,3,,,,9133,0,0,xslF345X02/doc3.xml,
0001281761-24-000016,2024-03-04,2024-04-17,2024-03-04T17:29:55.000Z,34,DEF 14A,001-34034,24716294,,64743932,1,1,rf-20240304.htm,DEF 14A
0001281761-24-000017,2024-03-04,,2024-03-04T17:29:49.000Z,34,DEFA14A,001-34034,24716288,,1415434,0,0,sch14adefaddmaterials-prox.htm,DEFA14A
0001281761-24-000015,2024-03-04,2023-12-31,2024-03-04T17:27:03.000Z,34,ARS,001-34034,24716173,,29242031,0,0,rf20231231annualreport.pdf,ARS
0001281761-24-000010,2024-02-23,2023-12-31,2024-02-23T16:55:16.000Z,34,10-K,001-34034,24672276,,36056146,1,1,rf-20231231.htm,10-K
0001193125-24-036364,2024-02-14,2024-02-14,2024-02-14T16:36:10.000Z,34,8-K,001-34034,24639345,"5.02,7.01,9.01",244186,1,1,d690133d8k.htm,8-K
0001104659-24-021819,2024-02-13,,2024-02-13T17:13:53.000Z,34,SC 13G/A,005-83626,24629414,,13124,0,0,tv01802-regionsfinancialcorp.htm,SCHEDULE 13G/A
0000902219-24-000049,2024-02-08,,2024-02-08T10:11:31.000Z,34,SC 13G,005-83626,24607262,,37291,0,0,SEC13G_Filing.htm,SEC SCHEDULE 13G
0001281761-24-000006,2024-02-06,2024-02-06,2024-02-06T16:31:06.000Z,34,8-K,001-34034,24600735,"7.01,9.01",16160667,1,1,rf-20240206.htm,8-K
0001281761-24-000004,2024-02-06,2023-12-31,2024-02-06T09:28:51.000Z,34,13F-HR,028-10938,24598340,,863518,0,0,xslForm13F_X02/primary_doc.xml,
0000093751-24-000478,2024-01-30,,2024-01-30T15:39:11.000Z,34,SC 13G/A,005-83626,24577929,,8767,0,0,Regions_Financial.txt,
0001086364-24-002269,2024-01-24,,2024-01-24T14:27:13.000Z,34,SC 13G/A,005-83626,24555834,,13973,0,0,us7591ep1005_012424.txt,
0001281761-24-000003,2024-01-19,2024-01-19,2024-01-19T06:02:50.000Z,34,8-K,001-34034,24543633,"2.02,7.01,9.01",11768663,1,1,rf-20240119.htm,8-K
