accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000064040-24-000132,2024-05-17,2024-05-15,2024-05-17T16:01:20.000Z,,4,,,,18739,0,0,xslF345X05/wk-form4_1715976064.xml,FORM 4
0001950047-24-003759,2024-05-15,,2024-05-15T17:03:37.000Z,33,144,001-01023,24952368,,5094,0,0,xsl144X01/primary_doc.xml,
0000064040-24-000130,2024-05-06,2024-05-01,2024-05-06T16:53:47.000Z,34,8-K,001-01023,24918355,5.07,174044,1,1,spgi-20240501.htm,8-K
0000064040-24-000127,2024-04-26,,2024-04-25T17:35:25.000Z,34,IRANNOTICE,001-01023,24877723,,16268,0,0,q12024irannotice.htm,IRANNOTICE
0000064040-24-000125,2024-04-25,2024-03-31,2024-04-25T17:26:37.000Z,34,10-Q,001-01023,24877674,,9981824,1,1,spgi-20240331.htm,10-Q
0000064040-24-000121,2024-04-25,2024-04-25,2024-04-25T07:10:29.000Z,34,8-K,001-01023,24872888,"2.02,7.01,9.01",963413,1,1,spgi-20240425.htm,8-K
0000064040-24-000117,2024-04-03,2024-04-01,2024-04-03T16:04:24.000Z,,4,,,,14968,0,0,xslF345X05/wk-form4_1712174653.xml,FORM 4
0000950103-24-004174,2024-03-22,,2024-03-22T16:07:59.000Z,34,DEFA14A,001-01023,24775261,,16197,0,0,dp208708_defa14a.htm,FORM DEFA14A
0001104659-24-035908,2024-03-19,2023-12-31,2024-03-19T08:07:29.000Z,34,ARS,001-01023,24761149,,1461984,0,0,tm242732d4_ars.pdf,ARS
0001104659-24-035906,2024-03-19,,2024-03-19T08:03:59.000Z,34,DEFA14A,001-01023,24761142,,544599,0,0,tm242732d3_defa14a.htm,DEFA14A
0001104659-24-035901,2024-03-19,2024-05-01,2024-03-19T08:00:40.000Z,34,DEF 14A,001-01023,24761137,,20302721,1,1,tm242732d2_def14a.htm,DEF 14A
