accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000093751-24-000641,2024-05-22,2024-05-21,2024-05-22T16:10:02.000Z,,4,,,,4757,0,0,xslF345X05/wk-form4_1716408579.xml,FORM 4
0001959173-24-003755,2024-05-21,,2024-05-21T11:22:42.000Z,33,144,001-07511,24967764,,14208,0,0,xsl144X01/primary_doc.xml,
0000093751-24-000639,2024-05-20,2024-05-15,2024-05-20T16:24:51.000Z,34,8-K,001-07511,24964951,"5.07,9.01",221428,1,1,stt-20240515.htm,8-K
0000093751-24-000637,2024-05-17,2024-05-15,2024-05-17T16:09:00.000Z,,4,,,,5037,0,0,xslF345X05/wk-form4_1715976514.xml,FORM 4
0000093751-24-000636,2024-05-17,2024-05-15,2024-05-17T16:08:32.000Z,,4,,,,5037,0,0,xslF345X05/wk-form4_1715976495.xml,FORM 4
0000093751-24-000635,2024-05-17,2024-05-15,2024-05-17T16:08:13.000Z,,4,,,,6550,0,0,xslF345X05/wk-form4_1715976473.xml,FORM 4
0000093751-24-000634,2024-05-17,2024-05-15,2024-05-17T16:07:45.000Z,,4,,,,5050,0,0,xslF345X05/wk-form4_1715976445.xml,FORM 4
0000093751-24-000633,2024-05-17,2024-05-15,2024-05-17T16:07:20.000Z,,4,,,,4829,0,0,xslF345X05/wk-form4_1715976415.xml,FORM 4
0000093751-24-000632,2024-05-17,2024-05-15,2024-05-17T16:06:49.000Z,,4,,,,20992,0,0,xslF345X05/wk-form4_1715976367.xml,FORM 4
0000093751-24-000631,2024-05-17,2024-05-15,2024-05-17T16:06:03.000Z,,4,,,,4988,0,0,xslF345X05/wk-form4_1715976347.xml,FORM 4
0000093751-24-000630,2024-05-17,2024-05-15,2024-05-17T16:05:44.000Z,,4,,,,5003,0,0,xslF345X05/wk-form4_1715976317.xml,FORM 4
0000093751-24-000629,2024-05-17,2024-05-15,2024-05-17T16:05:16.000Z,,4,,,,4973,0,0,xslF345X05/wk-form4_1715976292.xml,FORM 4
0000093751-24-000628,2024-05-17,2024-05-15,2024-05-17T16:04:48.000Z,,4,,,,6017,0,0,xslF345X05/wk-form4_1715976275.xml,FORM 4
0000093751-24-000627,2024-05-17,2024-05-15,2024-05-17T16:04:31.000Z,,4,,,,5062,0,0,xslF345X05/wk-form4_1715976255.xml,FORM 4
0000093751-24-000626,2024-05-17,2024-05-15,2024-05-17T16:04:11.000Z,,4,,,,5050,0,0,xslF345X05/wk-form4_1715976226.xml,FORM 4
0000093751-24-000625,2024-05-17,2024-05-15,2024-05-17T16:03:39.000Z,,4,,,,5041,0,0,xslF345X05/wk-form4_1715976201.xml,FORM 4
0000093751-24-000624,2024-05-17,2024-05-15,2024-05-17T16:03:20.000Z,,4,,,,5022,0,0,xslF345X05/wk-form4_1715976182.xml,FORM 4
0000093751-24-000623,2024-05-17,2024-05-15,2024-05-17T16:03:00.000Z,,4,,,,4987,0,0,xslF345X05/wk-form4_1715976149.xml,FORM 4
0000093751-24-000622,2024-05-17,2024-05-15,2024-05-17T16:02:28.000Z,,4,,,,5049,0,0,xslF345X05/wk-form4_1715976119.xml,FORM 4
0000093751-24-000605,2024-05-16,2024-05-14,2024-05-16T16:20:48.000Z,,4,,,,5023,0,0,xslF345X05/wk-form4_1715890834.xml,FORM 4
0001959173-24-003602,2024-05-16,,2024-05-16T09:49:26.000Z,33,144,001-07511,24953840,,5839,0,0,xsl144X01/primary_doc.xml,
0000093751-24-000592,2024-05-15,2024-03-31,2024-05-15T09:01:44.000Z,34,13F-HR,028-00399,24947489,,2570323,0,0,xslForm13F_X02/primary_doc.xml,
0000093751-24-000591,2024-05-14,2024-05-10,2024-05-14T16:02:29.000Z,,4,,,,5359,0,0,xslF345X05/wk-form4_1715716933.xml,FORM 4
0001959173-24-003502,2024-05-14,,2024-05-14T10:48:17.000Z,33,144,001-07511,24942009,,5281,0,0,xsl144X01/primary_doc.xml,
0000093751-24-000589,2024-05-10,2024-05-10,2024-05-10T16:29:55.000Z,34,8-K,001-07511,24935377,"7.01,9.01",196018,1,1,stt-20240510.htm,8-K
0001959173-24-003422,2024-05-10,,2024-05-10T13:49:30.000Z,33,144,001-07511,24934050,,5761,0,0,xsl144X01/primary_doc.xml,
0000093751-24-000587,2024-05-02,2024-03-31,2024-05-02T07:45:49.000Z,34,10-Q,001-07511,24905337,,137232942,1,1,stt-20240331.htm,10-Q
0000093751-24-000584,2024-04-12,2024-04-12,2024-04-12T07:30:53.000Z,34,8-K,001-07511,24839983,"2.02,7.01,9.01",7992033,1,1,stt-20240412.htm,8-K
0000093751-24-000579,2024-04-10,,2024-04-10T09:55:15.000Z,,SC 13G/A,,,,8522,0,0,Bluebird_Bio_Inc.txt,
0000093751-24-000578,2024-04-10,,2024-04-10T09:52:13.000Z,,SC 13G,,,,10261,0,0,C4_Therapeutics_Inc.txt,
0000093751-24-000577,2024-04-10,,2024-04-10T09:48:48.000Z,,SC 13G/A,,,,10283,0,0,Replimune_Group_Inc.txt,
0000093751-24-000576,2024-04-10,,2024-04-10T09:45:50.000Z,,SC 13G,,,,10342,0,0,Biomea_Fusion_Inc.txt,
0000093751-24-000575,2024-04-10,,2024-04-10T09:40:25.000Z,,SC 13G/A,,,,10512,0,0,Altimmune_Inc.txt,
0000093751-24-000574,2024-04-10,,2024-04-10T09:37:23.000Z,,SC 13G/A,,,,10340,0,0,Editas_Medicine_Inc.txt,
0001959173-24-002882,2024-04-08,,2024-04-08T16:40:29.000Z,33,144,001-07511,24830103,,15193,0,0,xsl144X01/primary_doc.xml,
0001140361-24-018021,2024-04-04,2023-12-31,2024-04-04T17:30:31.000Z,34,ARS/A,001-07511,24824128,,27842662,0,0,ny20020131x6_arsa.pdf,ARS/A
0001140361-24-017642,2024-04-03,2023-12-31,2024-04-03T16:54:28.000Z,34,ARS,001-07511,24819746,,27109297,0,0,ny20020131x3_ars.pdf,ARS
0001140361-24-017638,2024-04-03,,2024-04-03T16:50:29.000Z,34,DEFA14A,001-07511,24819699,,404449,0,0,ny20020131x2_defa14a.htm,DEFA14A
0001140361-24-017636,2024-04-03,2024-05-15,2024-04-03T16:49:43.000Z,34,DEF 14A,001-07511,24819685,,34376394,1,1,ny20020131x1_def14a.htm,DEF 14A
0000093751-24-000573,2024-03-22,2024-03-19,2024-03-22T16:16:49.000Z,34,8-K,001-07511,24775467,5.02,193305,1,1,stt-20240319.htm,8-K
0001193125-24-070140,2024-03-18,2024-03-13,2024-03-18T16:08:08.000Z,34,8-K,001-07511,24759065,"8.01,9.01",431538,1,1,d777743d8k.htm,8-K
0000876661-24-000183,2024-03-15,,2024-03-15T14:35:56.000Z,34,25-NSE,001-07511,24754048,,4229,0,0,xslF25X02/primary_doc.xml,
0001193125-24-067961,2024-03-14,,2024-03-14T16:37:22.000Z,33,424B2,333-265877,24750812,,645774,0,0,d754072d424b2.htm,424B2
0001193125-24-066969,2024-03-13,,2024-03-13T17:27:28.000Z,34,FWP,333-265877,24747100,,16416,0,0,d754072dfwp.htm,FWP
0001193125-24-066448,2024-03-13,,2024-03-13T08:52:42.000Z,33,424B5,333-265877,24744685,,618374,0,0,d754072d424b5.htm,424B5
0000093751-24-000570,2024-03-11,,2024-03-11T07:43:42.000Z,,SC 13G/A,,,,10865,0,0,Zions_Bancorp_NA.txt,
0000093751-24-000569,2024-03-11,,2024-03-11T07:32:52.000Z,,SC 13G/A,,,,9048,0,0,Zions_Bancorp_NA.txt,
0000093751-24-000568,2024-03-04,2024-02-29,2024-03-04T18:27:48.000Z,,4,,,,5023,0,0,xslF345X05/wk-form4_1709594856.xml,FORM 4
0000093751-24-000567,2024-03-04,2024-03-01,2024-03-04T18:27:33.000Z,,4,,,,4975,0,0,xslF345X05/wk-form4_1709594845.xml,FORM 4
0000093751-24-000562,2024-03-04,,2024-03-04T10:09:05.000Z,,SC 13G/A,,,,8667,0,0,Kilroy_Realty_Corp.txt,
0001959173-24-001648,2024-03-01,,2024-03-01T12:31:29.000Z,33,144,001-07511,24708331,,5247,0,0,xsl144X01/primary_doc.xml,
