accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001601712-24-000212,2024-05-17,2024-05-15,2024-05-17T16:51:40.000Z,,4,,,,4966,0,0,xslF345X05/wk-form4_1715979072.xml,FORM 4
0001601712-24-000211,2024-05-17,2024-05-15,2024-05-17T16:51:11.000Z,,4,,,,5056,0,0,xslF345X05/wk-form4_1715979060.xml,FORM 4
0001601712-24-000210,2024-05-17,2024-05-15,2024-05-17T16:50:59.000Z,,4,,,,5081,0,0,xslF345X05/wk-form4_1715979035.xml,FORM 4
0001601712-24-000209,2024-05-17,2024-05-15,2024-05-17T16:50:28.000Z,,4,,,,5059,0,0,xslF345X05/wk-form4_1715978993.xml,FORM 4
0001601712-24-000208,2024-05-17,2024-05-15,2024-05-17T16:49:40.000Z,,4,,,,5056,0,0,xslF345X05/wk-form4_1715978938.xml,FORM 4
0001601712-24-000207,2024-05-17,2024-05-15,2024-05-17T16:48:51.000Z,,4,,,,5072,0,0,xslF345X05/wk-form4_1715978916.xml,FORM 4
0001601712-24-000206,2024-05-17,2024-05-15,2024-05-17T16:48:34.000Z,,4,,,,4993,0,0,xslF345X05/wk-form4_1715978872.xml,FORM 4
0001601712-24-000205,2024-05-17,2024-05-15,2024-05-17T16:47:42.000Z,,4,,,,4951,0,0,xslF345X05/wk-form4_1715978842.xml,FORM 4
0001601712-24-000204,2024-05-17,2024-05-15,2024-05-17T16:47:20.000Z,,4,,,,5035,0,0,xslF345X05/wk-form4_1715978826.xml,FORM 4
0001601712-24-000203,2024-05-17,2024-05-13,2024-05-17T16:47:01.000Z,,4,,,,6490,0,0,xslF345X05/wk-form4_1715978791.xml,FORM 4
0001601712-24-000202,2024-05-17,2024-05-15,2024-05-17T16:46:26.000Z,,4,,,,5984,0,0,xslF345X05/wk-form4_1715978765.xml,FORM 4
0001601712-24-000201,2024-05-17,2024-05-15,2024-05-17T16:45:58.000Z,,4,,,,4837,0,0,xslF345X05/wk-form4_1715978727.xml,FORM 4
0001601712-24-000200,2024-05-17,2024-05-15,2024-05-17T16:45:22.000Z,,4,,,,5080,0,0,xslF345X05/wk-form4_1715978699.xml,FORM 4
0001601712-24-000199,2024-05-17,2024-05-15,2024-05-17T16:44:46.000Z,,4,,,,4969,0,0,xslF345X05/wk-form4_1715978653.xml,FORM 4
0001601712-24-000198,2024-05-17,2024-05-15,2024-05-17T16:44:11.000Z,,4,,,,5674,0,0,xslF345X05/wk-form4_1715978639.xml,FORM 4
0001601712-24-000197,2024-05-17,2024-05-15,2024-05-17T16:43:53.000Z,,4,,,,5043,0,0,xslF345X05/wk-form4_1715978603.xml,FORM 4
