accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000092230-24-000030,2024-05-13,2024-03-31,2024-05-10T17:33:56.000Z,34,13F-HR,028-03501,24936178,,3007445,0,0,xslForm13F_X02/primary_doc.xml,
0001193125-24-136184,2024-05-10,2024-05-06,2024-05-10T16:15:50.000Z,34,8-K,001-10853,24935081,"2.01,5.02,9.01",403813,1,1,d820000d8k.htm,8-K
0000092230-24-000029,2024-05-10,2024-05-10,2024-05-10T08:30:37.000Z,34,8-K,001-10853,24932972,"8.01,9.01",36022392,1,1,tfc-20240510_d2.htm,8-K
0000092230-24-000025,2024-05-09,2024-03-31,2024-05-09T17:30:46.000Z,34,10-Q,001-10853,24932087,,29078640,1,1,tfc-20240331.htm,10-Q
0001193125-24-132563,2024-05-07,2024-05-06,2024-05-07T07:07:58.000Z,34,8-K,001-10853,24919571,"7.01,9.01",227706,1,1,d816371d8k.htm,8-K
0001664272-24-000238,2024-04-29,2024-04-23,2024-04-29T14:10:52.000Z,,4,,,,3170,0,0,xslF345X05/f4_a1edp0000016pgemam-live.xml,PRIMARY DOCUMENT
0000092230-24-000018,2024-04-26,2024-04-23,2024-04-26T16:38:44.000Z,34,8-K,001-10853,24884566,"5.07,9.01",246488,1,1,tfc-20240423.htm,8-K
0001664272-24-000236,2024-04-25,2024-04-23,2024-04-25T15:52:17.000Z,,4,,,,4721,0,0,xslF345X05/f4_a1edp0000016pfwma2-live.xml,PRIMARY DOCUMENT
0001664272-24-000234,2024-04-24,2024-04-23,2024-04-24T09:04:04.000Z,,3,,,,6627,0,0,xslF345X02/f3_a1e2k00000w4lu2uaj-live.xml,PRIMARY DOCUMENT
0000092230-24-000016,2024-04-22,2024-04-22,2024-04-22T06:06:11.000Z,34,8-K,001-10853,24859451,"2.02,9.01",6530519,1,1,tfc-20240422.htm,8-K
0000092230-24-000013,2024-04-15,2024-04-15,2024-04-15T17:25:21.000Z,34,8-K,001-10853,24845537,"7.01,9.01",420608,1,1,tfc-20240415.htm,8-K
0001096906-24-000743,2024-04-05,,2024-04-05T11:34:38.000Z,34,PX14A6G,001-10853,24825444,,46678,0,0,insp_px14a6g.htm,"INSPIRE INVESTING, LLC - PX14A6G"
0001096906-24-000584,2024-03-26,,2024-03-26T17:29:09.000Z,34,PX14A6G,001-10853,24784845,,69754,0,0,bowy_px14a6g.htm,BOWYER RESEARCH - PX14A6G
