accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001113169-24-000015,2024-05-09,2024-05-07,2024-05-09T17:26:58.000Z,34,8-K,000-32191,24932049,5.07,168591,1,1,trow-20240507.htm,8-K
0001562180-24-003931,2024-05-09,2024-05-08,2024-05-09T11:13:58.000Z,,4,,,,5682,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-003930,2024-05-09,2024-05-08,2024-05-09T11:13:47.000Z,,4,,,,10018,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-003929,2024-05-09,2024-05-08,2024-05-09T11:13:18.000Z,,4,,,,5708,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-003928,2024-05-09,2024-05-08,2024-05-09T11:12:54.000Z,,4,,,,10117,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-003927,2024-05-09,2024-05-08,2024-05-09T11:12:43.000Z,,4,,,,5680,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-003926,2024-05-09,2024-05-08,2024-05-09T11:12:32.000Z,,4,,,,7075,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-003925,2024-05-09,2024-05-08,2024-05-09T11:12:22.000Z,,4,,,,5666,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-003924,2024-05-09,2024-05-08,2024-05-09T11:12:08.000Z,,4,,,,7186,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-003923,2024-05-09,2024-05-08,2024-05-09T11:10:55.000Z,,4,,,,5751,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-003682,2024-05-02,2024-05-02,2024-05-02T12:09:51.000Z,,4,,,,7948,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-003588,2024-04-30,2024-04-29,2024-04-30T10:20:51.000Z,,4,,,,8369,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001950047-24-003220,2024-04-26,,2024-04-26T17:53:43.000Z,33,144,000-32191,24885717,,4694,0,0,xsl144X01/primary_doc.xml,
0001113169-24-000013,2024-04-26,2024-03-31,2024-04-26T11:20:57.000Z,34,10-Q,000-32191,24880197,,6897047,1,1,trow-20240331.htm,10-Q
0001113169-24-000011,2024-04-26,2024-04-26,2024-04-26T07:22:05.000Z,34,8-K,000-32191,24878635,"2.02,7.01,9.01",3800613,1,1,trow-20240426.htm,8-K
0001562180-24-003298,2024-04-04,2024-04-02,2024-04-04T10:57:48.000Z,,4,,,,12446,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-003066,2024-04-01,2024-03-28,2024-04-01T11:49:27.000Z,,4,,,,5151,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-003065,2024-04-01,2024-03-28,2024-04-01T11:49:14.000Z,,4,,,,5076,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-003064,2024-04-01,2024-03-28,2024-04-01T11:48:46.000Z,,4,,,,5177,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-003063,2024-04-01,2024-03-28,2024-04-01T11:48:08.000Z,,4,,,,5063,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-003062,2024-04-01,2024-03-28,2024-04-01T11:48:00.000Z,,4,,,,5914,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-003061,2024-04-01,2024-03-28,2024-04-01T11:47:50.000Z,,4,,,,6582,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-003060,2024-04-01,2024-03-28,2024-04-01T11:47:38.000Z,,4,,,,9585,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001104659-24-035431,2024-03-18,,2024-03-18T14:34:03.000Z,34,DEFA14A,000-32191,24758413,,895037,0,0,tm244357d3_defa14a.htm,DEFA14A
0001104659-24-035429,2024-03-18,2024-05-07,2024-03-18T14:30:55.000Z,34,DEF 14A,000-32191,24758371,,6632917,1,1,tm244357-d9_def14a.htm,FORM DEF 14A
0001562180-24-002525,2024-03-11,2024-03-08,2024-03-11T14:53:44.000Z,,4,,,,13912,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001950047-24-002069,2024-03-08,,2024-03-08T16:18:21.000Z,33,144,000-32191,24734615,,4750,0,0,xsl144X01/primary_doc.xml,
0001562180-24-002005,2024-03-01,2024-02-29,2024-03-01T15:11:51.000Z,,4,,,,7823,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-001963,2024-02-29,2024-01-01,2024-02-29T11:58:33.000Z,,3/A,,,,9008,0,0,xslF345X02/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-001960,2024-02-29,2024-02-28,2024-02-29T09:51:24.000Z,,4,,,,7080,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-001959,2024-02-29,2024-02-28,2024-02-29T09:50:42.000Z,,4,,,,5062,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001113169-24-000009,2024-02-20,2024-02-16,2024-02-20T16:03:46.000Z,34,8-K,000-32191,24653157,5.02,565229,1,1,trow-20240216.htm,8-K
0001562180-24-001408,2024-02-20,2024-02-16,2024-02-20T11:38:13.000Z,,4,,,,8999,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-001406,2024-02-20,2024-02-16,2024-02-20T11:38:09.000Z,,4,,,,7049,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-001407,2024-02-20,2024-02-16,2024-02-20T11:38:04.000Z,,4,,,,7322,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001562180-24-001405,2024-02-20,2024-02-16,2024-02-20T11:37:29.000Z,,4,,,,5156,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001113169-24-000007,2024-02-16,2023-12-31,2024-02-16T15:42:47.000Z,34,10-K,000-32191,24648007,,34394906,1,1,trow-20231231.htm,10-K
0001104659-24-020122,2024-02-13,,2024-02-13T16:55:53.000Z,34,SC 13G/A,005-83805,24627160,,13099,0,0,tv0130-trowepricegroupinc.htm,SCHEDULE 13G/A
0001562180-24-001229,2024-02-12,2024-02-09,2024-02-12T11:32:26.000Z,,4,,,,15531,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0001950047-24-000785,2024-02-09,,2024-02-09T16:06:58.000Z,33,144,000-32191,24614830,,4698,0,0,xsl144X01/primary_doc.xml,
0001113169-24-000002,2024-02-08,2024-02-08,2024-02-08T07:02:03.000Z,34,8-K,000-32191,24606830,"2.02,7.01,9.01",4543083,1,1,trow-20240208.htm,8-K
0001562180-24-000881,2024-02-01,2024-01-31,2024-02-01T11:18:06.000Z,,4,,,,47384,0,0,xslF345X05/primarydocument.xml,PRIMARY DOCUMENT
0000093751-24-000340,2024-01-29,,2024-01-29T12:09:07.000Z,34,SC 13G/A,005-83805,24571861,,8757,0,0,T_Rowe_Price_Grp_Inc.txt,
0001086364-24-003365,2024-01-25,,2024-01-25T13:49:00.000Z,34,SC 13G/A,005-83805,24561148,,13918,0,0,us74144t1088_012524.txt,
