accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001104659-24-063014,2024-05-17,2024-05-15,2024-05-17T16:16:02.000Z,34,8-K,001-10898,24959908,5.07,233694,1,1,tm2414607d1_8k.htm,FORM 8-K
0001127602-24-015751,2024-05-17,2024-05-15,2024-05-17T08:00:27.000Z,,4,,,,5211,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-015634,2024-05-16,2024-05-15,2024-05-16T16:02:19.000Z,,3,,,,3095,0,0,xslF345X02/form3.xml,PRIMARY DOCUMENT
0001104659-24-060544,2024-05-13,2024-03-31,2024-05-13T16:15:27.000Z,34,13F-HR,028-00062,24939250,,5371,0,0,xslForm13F_X02/primary_doc.xml,
0000086312-24-000038,2024-05-08,,2024-05-08T11:06:24.000Z,34,DEFA14A,001-10898,24924788,,41507,0,0,employeematerialsreproxyvo.htm,DEFA14A
0000086312-24-000035,2024-05-06,,2024-05-06T06:44:17.000Z,34,DEFA14A,001-10898,24915483,,2338478,0,0,supplementalmaterials2024.htm,DEFA14A
0001127602-24-014113,2024-05-03,2024-05-02,2024-05-03T16:03:23.000Z,,4,,,,5742,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001959173-24-003192,2024-05-02,,2024-05-02T17:00:20.000Z,33,144,001-10898,24909470,,4565,0,0,xsl144X01/primary_doc.xml,
0001127602-24-013988,2024-05-02,2024-05-01,2024-05-02T16:25:44.000Z,,4,,,,4630,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001959173-24-003120,2024-05-01,,2024-05-01T14:12:46.000Z,33,144,001-10898,24902242,,4550,0,0,xsl144X01/primary_doc.xml,
0001127602-24-013442,2024-04-26,2024-04-25,2024-04-26T16:04:59.000Z,,4,,,,5033,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001959173-24-003041,2024-04-25,,2024-04-25T15:04:04.000Z,33,144,001-10898,24875538,,5125,0,0,xsl144X01/primary_doc.xml,
