accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001127602-24-015499,2024-05-15,2024-05-15,2024-05-15T17:03:49.000Z,,4,,,,4520,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001965353-24-000183,2024-05-15,,2024-05-15T16:10:47.000Z,33,144,001-33977,24950726,,8241,0,0,xsl144X01/primary_doc.xml,
0001193125-24-133827,2024-05-08,,2024-05-08T08:47:57.000Z,34,8-A12G,000-53572,24924425,,32395,0,0,d836946d8a12g.htm,8-A12G
0001193125-24-133824,2024-05-08,2024-05-06,2024-05-08T08:45:38.000Z,34,8-K,001-33977,24924417,"1.01,8.01,9.01",208830,1,1,d829007d8k.htm,8-K
0001193125-24-131540,2024-05-06,,2024-05-06T09:14:36.000Z,34,SC TO-I/A,005-84231,24916081,,25406,0,0,d835405dsctoia.htm,SC TO-I/A
0001193125-24-131519,2024-05-06,2024-05-06,2024-05-06T08:54:36.000Z,34,8-K,001-33977,24916022,"7.01,9.01",223848,1,1,d835374d8k.htm,8-K
0001193125-24-131518,2024-05-06,,2024-05-06T08:51:28.000Z,34,425,001-33977,24916019,,16497,0,0,d547162d425.htm,425
0001127602-24-013502,2024-04-26,2024-04-26,2024-04-26T19:55:58.000Z,,4,,,,4292,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001965353-24-000153,2024-04-26,,2024-04-26T16:01:39.000Z,33,144,001-33977,24883400,,4786,0,0,xsl144X01/primary_doc.xml,
0001403161-24-000030,2024-04-24,2024-03-31,2024-04-23T18:06:59.000Z,34,10-Q,001-33977,24866218,,8734637,1,1,v-20240331.htm,10-Q
0001403161-24-000027,2024-04-23,2024-04-23,2024-04-23T16:05:39.000Z,34,8-K,001-33977,24864835,"2.02,8.01,9.01",1307816,1,1,v-20240423.htm,8-K
9999999995-24-000887,2024-04-08,,2024-04-09T00:15:24.000Z,33,EFFECT,333-276747,24831037,"S-4,,2024-04-08 09:00:00",1787,0,0,xslEFFECTX01/primary_doc.xml,
0001193125-24-089217,2024-04-08,,2024-04-08T09:30:45.000Z,34,SC TO-I,005-84231,24828348,,196925,0,0,d822198dsctoi.htm,SC TO-I
0001193125-24-089213,2024-04-08,,2024-04-08T09:12:41.000Z,33,424B3,333-276747,24828306,,588749,0,0,d641107d424b3.htm,424B3
0001193125-24-089212,2024-04-08,,2024-04-08T09:10:58.000Z,34,425,001-33977,24828303,,20576,0,0,d810722d425.htm,425
0001193125-24-087296,2024-04-04,,2024-04-04T16:31:27.000Z,,CORRESP,,,,11194,0,0,filename1.htm,
0001127602-24-011652,2024-04-01,2024-04-01,2024-04-01T20:14:15.000Z,,4,,,,9224,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001193125-24-083351,2024-04-01,,2024-04-01T16:06:38.000Z,33,S-4/A,333-276747,24809168,,669886,0,0,d641107ds4a.htm,S-4/A
0001965353-24-000135,2024-04-01,,2024-04-01T16:01:27.000Z,33,144,001-33977,24809008,,6107,0,0,xsl144X01/primary_doc.xml,
0001403161-24-000021,2024-03-26,2024-03-26,2024-03-26T08:52:36.000Z,34,8-K,001-33977,24781151,"7.01,8.01,9.01",2598781,1,1,v-20240326.htm,8-K
0001965353-24-000121,2024-03-18,,2024-03-18T16:13:18.000Z,33,144,001-33977,24759176,,4888,0,0,xsl144X01/primary_doc.xml,
0001965353-24-000119,2024-03-15,,2024-03-15T16:23:44.000Z,33,144,001-33977,24755148,,4279,0,0,xsl144X01/primary_doc.xml,
0001193125-24-064813,2024-03-11,,2024-03-11T16:12:56.000Z,,CORRESP,,,,69835,0,0,filename1.htm,
0001193125-24-064798,2024-03-11,,2024-03-11T16:10:09.000Z,33,S-4/A,333-276747,24738070,,798965,0,0,d641107ds4a.htm,S-4/A
0001127602-24-008142,2024-03-04,2024-03-01,2024-03-04T16:32:18.000Z,,4,,,,9227,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001965353-24-000081,2024-03-01,,2024-03-01T17:29:38.000Z,33,144,001-33977,24711794,,6107,0,0,xsl144X01/primary_doc.xml,
0000000000-24-002300,2024-02-29,,2024-02-29T15:36:06.000Z,,UPLOAD,333-276747,,,53831,0,0,filename1.pdf,
0001127602-24-005386,2024-02-16,2024-02-15,2024-02-16T16:49:51.000Z,,4,,,,9099,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-005385,2024-02-16,2024-02-15,2024-02-16T16:45:42.000Z,,4,,,,8369,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001104659-24-022254,2024-02-13,,2024-02-13T17:17:36.000Z,34,SC 13G/A,005-84231,24630003,,13075,0,0,tv02230-visaincclassa.htm,SCHEDULE 13G/A
0001127602-24-004088,2024-02-08,2024-02-07,2024-02-08T18:17:11.000Z,,4,,,,4352,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001086364-24-006874,2024-02-08,,2024-02-08T10:26:28.000Z,34,SC 13G/A,005-84231,24607449,,14014,0,0,us92826c8394_020824.txt,
0001965353-24-000037,2024-02-07,,2024-02-07T16:19:34.000Z,33,144,001-33977,24604608,,5333,0,0,xsl144X01/primary_doc.xml,
0001127602-24-003391,2024-02-05,2024-02-01,2024-02-05T16:33:05.000Z,,4,,,,9226,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001965353-24-000028,2024-02-01,,2024-02-01T20:14:08.000Z,33,144,001-33977,24588530,,6107,0,0,xsl144X01/primary_doc.xml,
0001193125-24-018106,2024-01-29,,2024-01-29T16:10:06.000Z,33,S-4,333-276747,24573737,,816924,0,0,d641107ds4.htm,S-4
