accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001127602-24-015985,2024-05-20,2024-05-08,2024-05-20T16:17:57.000Z,,3,,,,10044,0,0,xslF345X02/form3.xml,PRIMARY DOCUMENT
0001839882-24-015849,2024-05-20,,2024-05-20T15:15:36.000Z,33,424B2,333-270532,24964015,,137209,0,0,r5200wfc_424b2-09571.htm,PRICING SUPPLEMENT NO. 339
0001839882-24-015727,2024-05-17,,2024-05-17T11:28:48.000Z,33,424B2,333-270532,24958351,,147629,0,0,r5200wfc_424b2-09493.htm,PRELIMINARY PRICING SUPPLEMENT NO. 339
0001839882-24-015520,2024-05-15,,2024-05-15T16:22:24.000Z,33,424B2,333-270532,24951261,,113491,0,0,r5198wfc_424b2-09357.htm,PRELIMINARY PRICING SUPPLEMENT NO. 338
0001839882-24-015519,2024-05-15,,2024-05-15T16:19:39.000Z,33,424B2,333-270532,24951156,,113631,0,0,r5196wfc_424b2-09359.htm,PRELIMINARY PRICING SUPPLEMENT NO. 336
0001839882-24-015518,2024-05-15,,2024-05-15T16:16:18.000Z,33,424B2,333-270532,24951019,,113520,0,0,r5197wfc_424b2-09356.htm,PRELIMINARY PRICING SUPPLEMENT NO. 337
0001839882-24-015517,2024-05-15,,2024-05-15T16:12:40.000Z,33,424B2,333-270532,24950813,,112257,0,0,r5195wfc_424b2-09358.htm,PRELIMINARY PRICING SUPPLEMENT NO. 335
0001839882-24-015473,2024-05-15,,2024-05-15T11:18:24.000Z,33,424B2,333-270532,24948314,,113890,0,0,r5169wfc_424b2-09320.htm,PRICING SUPPLEMENT NO. 334
0001839882-24-015472,2024-05-15,,2024-05-15T11:15:42.000Z,33,424B2,333-270532,24948302,,114105,0,0,r5167wfc_424b2-09325.htm,PRICING SUPPLEMENT NO. 332
0001839882-24-015469,2024-05-15,,2024-05-15T11:12:05.000Z,33,424B2,333-270532,24948284,,129762,0,0,r5166wfc_424b2-09324.htm,PRICING SUPPLEMENT NO. 331
0001839882-24-015468,2024-05-15,,2024-05-15T11:09:24.000Z,33,424B2,333-270532,24948274,,113627,0,0,r5168wfc_424b2-09319.htm,PRICING SUPPLEMENT NO. 333
0001127602-24-014993,2024-05-10,2023-12-07,2024-05-10T16:18:39.000Z,,4,,,,4642,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-014983,2024-05-10,2022-04-26,2024-05-10T16:10:41.000Z,,3/A,,,,4030,0,0,xslF345X02/form3a.xml,PRIMARY DOCUMENT
0000072971-24-000139,2024-05-10,2024-03-31,2024-05-10T10:11:14.000Z,34,13F-HR,028-00165,24933246,,9227526,0,0,xslForm13F_X02/primary_doc.xml,
0001193125-24-134794,2024-05-09,2024-05-09,2024-05-09T08:06:05.000Z,34,8-K,001-02979,24928696,"8.01,9.01",266657,1,1,d794343d8k.htm,8-K
0001193125-24-133464,2024-05-07,,2024-05-07T20:32:52.000Z,,SC 13D,,,,656449,0,0,d825225dsc13d.htm,SC 13D
0001193125-24-133461,2024-05-07,,2024-05-07T20:22:58.000Z,,SC 13D,,,,652286,0,0,d825205dsc13d.htm,SC 13D
0001193125-24-133451,2024-05-07,,2024-05-07T20:10:57.000Z,,SC 13D,,,,349341,0,0,d825278dsc13d.htm,SC 13D
0001193125-24-133450,2024-05-07,,2024-05-07T20:09:57.000Z,,SC 13D,,,,422845,0,0,d825292dsc13d.htm,SC 13D
0000950170-24-054650,2024-05-07,2024-05-03,2024-05-07T16:43:07.000Z,34,4,811-10331,24922746,,70217,0,0,xslF345X05/ownership.xml,4
0000950170-24-054644,2024-05-07,2024-05-03,2024-05-07T16:41:24.000Z,34,4,811-22603,24922722,,68851,0,0,xslF345X05/ownership.xml,4
0000950170-24-054640,2024-05-07,2024-05-03,2024-05-07T16:40:28.000Z,34,4,811-08573,24922700,,74198,0,0,xslF345X05/ownership.xml,4
0000950170-24-054620,2024-05-07,2024-05-03,2024-05-07T16:34:25.000Z,34,4,811-09297,24922590,,67857,0,0,xslF345X05/ownership.xml,4
0001839882-24-014774,2024-05-07,,2024-05-07T10:27:19.000Z,33,424B2,333-270532,24920196,,113801,0,0,r5167wfc_424b2-08883.htm,PRELIMINARY PRICING SUPPLEMENT NO. 332
0001839882-24-014773,2024-05-07,,2024-05-07T10:24:48.000Z,33,424B2,333-270532,24920184,,225932,0,0,r5166wfc_424b2-08881.htm,PRELIMINARY PRICING SUPPLEMENT NO. 331
0001839882-24-014762,2024-05-07,,2024-05-07T09:42:29.000Z,33,424B2,333-270532,24920063,,113245,0,0,r5168wfc_424b2-08880.htm,PRELIMINARY PRICING SUPPLEMENT NO. 333
0001839882-24-014761,2024-05-07,,2024-05-07T09:41:49.000Z,33,424B2,333-270532,24920061,,113246,0,0,r5169wfc_424b2-08882.htm,PRELIMINARY PRICING SUPPLEMENT NO. 334
0001839882-24-014711,2024-05-06,,2024-05-06T15:12:08.000Z,33,424B2,333-270532,24917165,,108243,0,0,i407wfc_424b2-08841.htm,PRICING SUPPLEMENT NO. 330
