accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000899140-24-000612,2024-05-15,2024-03-31,2024-05-15T16:50:49.000Z,34,13F-HR,028-06504,24952144,,87602,0,0,xslForm13F_X02/primary_doc.xml,
0000011544-24-000012,2024-05-03,2024-03-31,2024-05-03T16:11:43.000Z,34,10-Q,001-15202,24913185,,11820923,1,1,wrb-20240331.htm,10-Q
0001193125-24-118122,2024-04-26,2023-12-31,2024-04-26T16:20:56.000Z,34,ARS,001-15202,24884117,,12834742,0,0,d633759dars.pdf,ARS
0001193125-24-118102,2024-04-26,,2024-04-26T16:17:57.000Z,34,DEFA14A,001-15202,24884043,,1013608,0,0,d629453ddefa14a.htm,DEFA14A
0001193125-24-118082,2024-04-26,2024-06-12,2024-04-26T16:16:12.000Z,34,DEF 14A,001-15202,24884000,,9211818,1,1,d629453ddef14a.htm,DEF 14A
0000011544-24-000010,2024-04-23,2024-04-23,2024-04-23T17:24:42.000Z,34,8-K,001-15202,24866003,7.01,217406,1,1,wrb-20240423.htm,8-K
0000011544-24-000008,2024-04-23,2024-04-23,2024-04-23T08:04:09.000Z,34,8-K,001-15202,24862741,"2.02,9.01",459047,1,1,wrb-20240423.htm,8-K
0000011544-24-000005,2024-02-23,2023-12-31,2024-02-23T16:09:29.000Z,34,10-K,001-15202,24671219,,25041128,1,1,wrb-20231231.htm,10-K
0000899140-24-000232,2024-02-14,2023-12-31,2024-02-14T16:11:13.000Z,34,13F-HR,028-06504,24638186,,109175,0,0,xslForm13F_X02/primary_doc.xml,
0001104659-24-022270,2024-02-13,,2024-02-13T17:17:31.000Z,34,SC 13G/A,005-30068,24629917,,13000,0,0,tv02246-wrberkleycorp.htm,SCHEDULE 13G/A
0001086364-24-005142,2024-01-29,,2024-01-29T15:26:29.000Z,34,SC 13G/A,005-30068,24573181,,13787,0,0,us0844231029_012924.txt,
0000011544-24-000002,2024-01-24,2024-01-24,2024-01-24T16:11:26.000Z,34,8-K,001-15202,24556520,"2.02,9.01",573468,1,1,wrb-20240124.htm,8-K
0000899140-23-001106,2023-11-14,2023-09-30,2023-11-14T15:50:21.000Z,34,13F-HR,028-06504,231405366,,119112,0,0,xslForm13F_X02/primary_doc.xml,
0001193125-23-270404,2023-11-03,,2023-11-03T16:20:27.000Z,33,S-3ASR,333-275308,231376633,,600312,0,0,d542610ds3asr.htm,S-3ASR
0000011544-23-000023,2023-11-03,2023-09-30,2023-11-03T16:11:31.000Z,34,10-Q,001-15202,231376445,,13427000,1,1,wrb-20230930.htm,10-Q
0000011544-23-000021,2023-10-23,2023-10-23,2023-10-23T16:11:10.000Z,34,8-K,001-15202,231340105,"2.02,9.01",568598,1,1,wrb-20231023.htm,8-K
0001062993-23-016729,2023-08-17,2023-08-15,2023-08-17T16:40:46.000Z,,4,,,,7236,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-23-016728,2023-08-17,2023-08-15,2023-08-17T16:40:10.000Z,,4,,,,6544,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-23-016727,2023-08-17,2023-08-15,2023-08-17T16:39:31.000Z,,4,,,,7251,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-23-016726,2023-08-17,2023-08-15,2023-08-17T16:38:53.000Z,,4,,,,8701,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-23-016725,2023-08-17,2023-08-15,2023-08-17T16:38:25.000Z,,4,,,,7289,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001062993-23-016724,2023-08-17,2023-08-15,2023-08-17T16:38:01.000Z,,4,,,,7215,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
